I (237215) mpu6050 stream: AX:-0.158 AY:0.086 AZ:-0.959 | GX:-0.748 GY:-1.435 GZ:0.473 | T:25.28 C
I (237225) mpu6050 stream: AX:-0.165 AY:0.087 AZ:-0.967 | GX:-0.718 GY:-0.656 GZ:0.702 | T:25.28 C
I (237235) mpu6050 stream: AX:-0.163 AY:0.085 AZ:-0.964 | GX:-0.534 GY:0.397 GZ:1.038 | T:25.28 C
I (237245) mpu6050 stream: AX:-0.160 AY:0.088 AZ:-0.957 | GX:-0.198 GY:0.687 GZ:0.962 | T:25.19 C
I (237255) mpu6050 stream: AX:-0.154 AY:0.084 AZ:-0.946 | GX:-0.122 GY:0.870 GZ:0.992 | T:25.19 C
I (237265) mpu6050 stream: AX:-0.155 AY:0.094 AZ:-0.945 | GX:-0.229 GY:1.176 GZ:1.221 | T:25.19 C
I (237275) mpu6050 stream: AX:-0.153 AY:0.089 AZ:-0.940 | GX:-0.046 GY:1.176 GZ:1.084 | T:25.28 C
I (237285) mpu6050 stream: AX:-0.146 AY:0.082 AZ:-0.933 | GX:0.031 GY:0.641 GZ:1.374 | T:25.19 C
I (237295) mpu6050 stream: AX:-0.143 AY:0.083 AZ:-0.930 | GX:0.382 GY:0.427 GZ:1.450 | T:25.19 C
I (237305) mpu6050 stream: AX:-0.144 AY:0.078 AZ:-0.929 | GX:0.626 GY:-0.046 GZ:1.557 | T:25.19 C
I (237315) mpu6050 stream: AX:-0.149 AY:0.081 AZ:-0.937 | GX:0.611 GY:-0.885 GZ:1.542 | T:25.19 C
I (237325) mpu6050 stream: AX:-0.149 AY:0.085 AZ:-0.941 | GX:0.336 GY:-1.023 GZ:1.679 | T:25.28 C
I (237335) mpu6050 stream: AX:-0.145 AY:0.082 AZ:-0.941 | GX:0.351 GY:-1.191 GZ:1.756 | T:25.28 C
I (237345) mpu6050 stream: AX:-0.158 AY:0.081 AZ:-0.942 | GX:0.229 GY:-1.115 GZ:1.634 | T:25.19 C
I (237355) mpu6050 stream: AX:-0.162 AY:0.081 AZ:-0.947 | GX:0.076 GY:-1.115 GZ:1.786 | T:25.28 C
I (237365) mpu6050 stream: AX:-0.162 AY:0.084 AZ:-0.955 | GX:0.153 GY:-1.267 GZ:1.863 | T:25.19 C
I (237375) mpu6050 stream: AX:-0.163 AY:0.078 AZ:-0.954 | GX:0.305 GY:-0.824 GZ:1.847 | T:25.19 C
I (237385) mpu6050 stream: AX:-0.166 AY:0.077 AZ:-0.951 | GX:0.366 GY:-0.076 GZ:1.939 | T:25.28 C
I (237395) mpu6050 stream: AX:-0.159 AY:0.080 AZ:-0.955 | GX:0.305 GY:-0.046 GZ:1.924 | T:25.19 C
I (237405) mpu6050 stream: AX:-0.164 AY:0.077 AZ:-0.945 | GX:0.366 GY:0.198 GZ:2.000 | T:25.28 C
I (237415) mpu6050 stream: AX:-0.163 AY:0.070 AZ:-0.952 | GX:0.137 GY:0.626 GZ:1.969 | T:25.28 C
I (237425) mpu6050 stream: AX:-0.158 AY:0.073 AZ:-0.953 | GX:0.214 GY:0.763 GZ:2.031 | T:25.28 C
I (237435) mpu6050 stream: AX:-0.163 AY:0.074 AZ:-0.949 | GX:0.092 GY:0.763 GZ:1.924 | T:25.19 C
I (237445) mpu6050 stream: AX:-0.159 AY:0.069 AZ:-0.944 | GX:-0.122 GY:0.840 GZ:1.771 | T:25.19 C
I (237455) mpu6050 stream: AX:-0.155 AY:0.073 AZ:-0.936 | GX:-0.229 GY:0.779 GZ:1.710 | T:25.28 C
I (237465) mpu6050 stream: AX:-0.147 AY:0.073 AZ:-0.941 | GX:-0.397 GY:0.947 GZ:1.405 | T:25.19 C
I (237475) mpu6050 stream: AX:-0.154 AY:0.074 AZ:-0.945 | GX:-0.443 GY:0.427 GZ:1.191 | T:25.28 C
I (237485) mpu6050 stream: AX:-0.150 AY:0.070 AZ:-0.948 | GX:-0.611 GY:0.321 GZ:1.053 | T:25.19 C
I (237495) mpu6050 stream: AX:-0.156 AY:0.074 AZ:-0.949 | GX:-0.855 GY:0.397 GZ:0.840 | T:25.33 C
I (237505) mpu6050 stream: AX:-0.157 AY:0.069 AZ:-0.945 | GX:-0.947 GY:0.351 GZ:0.641 | T:25.28 C
I (237515) mpu6050 stream: AX:-0.154 AY:0.076 AZ:-0.952 | GX:-0.947 GY:0.397 GZ:0.366 | T:25.24 C
I (237525) mpu6050 stream: AX:-0.151 AY:0.083 AZ:-0.951 | GX:-0.885 GY:0.443 GZ:0.198 | T:25.24 C
I (237535) mpu6050 stream: AX:-0.159 AY:0.076 AZ:-0.949 | GX:-0.824 GY:0.672 GZ:0.092 | T:25.24 C
I (237545) mpu6050 stream: AX:-0.160 AY:0.085 AZ:-0.947 | GX:-0.626 GY:0.672 GZ:-0.183 | T:25.33 C
I (237555) mpu6050 stream: AX:-0.159 AY:0.081 AZ:-0.941 | GX:-0.336 GY:0.504 GZ:-0.031 | T:25.24 C
I (237565) mpu6050 stream: AX:-0.150 AY:0.083 AZ:-0.941 | GX:-0.519 GY:0.122 GZ:0.015 | T:25.24 C
