I (341655) mpu6050 stream: AX:-0.114 AY:0.099 AZ:-0.944 | GX:-0.977 GY:1.130 GZ:-0.962 | T:25.24 C
I (341665) mpu6050 stream: AX:-0.108 AY:0.107 AZ:-0.947 | GX:-0.962 GY:0.977 GZ:-0.947 | T:25.14 C
I (341675) mpu6050 stream: AX:-0.102 AY:0.106 AZ:-0.949 | GX:-0.870 GY:0.702 GZ:-1.023 | T:25.24 C
I (341685) mpu6050 stream: AX:-0.111 AY:0.109 AZ:-0.945 | GX:-0.763 GY:0.580 GZ:-0.977 | T:25.24 C
I (341695) mpu6050 stream: AX:-0.107 AY:0.107 AZ:-0.948 | GX:-0.656 GY:0.794 GZ:-0.992 | T:25.24 C
I (341705) mpu6050 stream: AX:-0.108 AY:0.108 AZ:-0.945 | GX:-0.580 GY:0.198 GZ:-0.962 | T:25.24 C
I (341715) mpu6050 stream: AX:-0.104 AY:0.109 AZ:-0.943 | GX:-0.595 GY:0.214 GZ:-0.992 | T:25.14 C
I (341725) mpu6050 stream: AX:-0.114 AY:0.107 AZ:-0.948 | GX:-0.626 GY:0.137 GZ:-0.931 | T:25.14 C
I (341735) mpu6050 stream: AX:-0.102 AY:0.106 AZ:-0.943 | GX:-0.687 GY:-0.198 GZ:-0.916 | T:25.33 C
I (341745) mpu6050 stream: AX:-0.123 AY:0.113 AZ:-0.951 | GX:-0.870 GY:-0.244 GZ:-0.763 | T:25.14 C
I (341755) mpu6050 stream: AX:-0.116 AY:0.104 AZ:-0.951 | GX:-0.672 GY:-0.244 GZ:-0.809 | T:25.24 C
I (341765) mpu6050 stream: AX:-0.117 AY:0.112 AZ:-0.949 | GX:-0.687 GY:-0.107 GZ:-0.672 | T:25.24 C
I (341775) mpu6050 stream: AX:-0.119 AY:0.108 AZ:-0.943 | GX:-0.198 GY:0.076 GZ:-0.427 | T:25.14 C
I (341785) mpu6050 stream: AX:-0.113 AY:0.109 AZ:-0.954 | GX:-0.137 GY:0.336 GZ:-0.504 | T:25.24 C
I (341795) mpu6050 stream: AX:-0.116 AY:0.111 AZ:-0.949 | GX:-0.137 GY:0.107 GZ:-0.244 | T:25.14 C
I (341805) mpu6050 stream: AX:-0.114 AY:0.108 AZ:-0.938 | GX:-0.198 GY:0.229 GZ:-0.168 | T:25.14 C
I (341815) mpu6050 stream: AX:-0.108 AY:0.116 AZ:-0.949 | GX:-0.198 GY:0.015 GZ:-0.137 | T:25.24 C
