I (463515) mpu6050 stream: AX:-0.075 AY:0.065 AZ:-0.953 | GX:0.168 GY:0.214 GZ:2.473 | T:25.05 C
I (463525) mpu6050 stream: AX:-0.075 AY:0.066 AZ:-0.962 | GX:0.122 GY:0.137 GZ:2.305 | T:25.14 C
I (463535) mpu6050 stream: AX:-0.075 AY:0.061 AZ:-0.954 | GX:0.015 GY:0.183 GZ:2.260 | T:25.05 C
I (463545) mpu6050 stream: AX:-0.072 AY:0.069 AZ:-0.956 | GX:-0.076 GY:-0.046 GZ:2.336 | T:25.14 C
I (463555) mpu6050 stream: AX:-0.074 AY:0.064 AZ:-0.962 | GX:0.107 GY:0.061 GZ:2.214 | T:25.14 C
I (463565) mpu6050 stream: AX:-0.073 AY:0.070 AZ:-0.960 | GX:0.076 GY:0.305 GZ:2.122 | T:25.14 C
I (463575) mpu6050 stream: AX:-0.064 AY:0.068 AZ:-0.964 | GX:-0.092 GY:0.687 GZ:2.122 | T:25.14 C
I (463585) mpu6050 stream: AX:-0.073 AY:0.071 AZ:-0.955 | GX:0.000 GY:0.779 GZ:1.954 | T:25.24 C
I (463595) mpu6050 stream: AX:-0.066 AY:0.064 AZ:-0.950 | GX:-0.153 GY:0.824 GZ:1.924 | T:25.05 C
I (463605) mpu6050 stream: AX:-0.062 AY:0.069 AZ:-0.950 | GX:-0.260 GY:0.534 GZ:1.817 | T:25.14 C
I (463615) mpu6050 stream: AX:-0.064 AY:0.067 AZ:-0.948 | GX:-0.122 GY:0.427 GZ:1.710 | T:25.14 C
I (463625) mpu6050 stream: AX:-0.069 AY:0.064 AZ:-0.956 | GX:-0.244 GY:0.168 GZ:1.588 | T:25.14 C
I (463635) mpu6050 stream: AX:-0.064 AY:0.064 AZ:-0.958 | GX:-0.183 GY:-0.107 GZ:1.634 | T:25.05 C
I (463645) mpu6050 stream: AX:-0.072 AY:0.067 AZ:-0.952 | GX:-0.214 GY:-0.290 GZ:1.649 | T:25.05 C
I (463655) mpu6050 stream: AX:-0.066 AY:0.068 AZ:-0.956 | GX:-0.198 GY:-0.336 GZ:1.466 | T:25.14 C
I (463665) mpu6050 stream: AX:-0.075 AY:0.064 AZ:-0.963 | GX:-0.214 GY:-0.260 GZ:1.588 | T:25.14 C
I (463675) mpu6050 stream: AX:-0.074 AY:0.062 AZ:-0.959 | GX:-0.290 GY:-0.107 GZ:1.466 | T:25.24 C
I (463685) mpu6050 stream: AX:-0.073 AY:0.063 AZ:-0.957 | GX:-0.198 GY:-0.076 GZ:1.588 | T:25.05 C
I (463695) mpu6050 stream: AX:-0.077 AY:0.070 AZ:-0.955 | GX:-0.153 GY:-0.305 GZ:1.542 | T:25.14 C
I (463705) mpu6050 stream: AX:-0.074 AY:0.071 AZ:-0.964 | GX:-0.504 GY:-0.107 GZ:1.573 | T:25.14 C
I (463715) mpu6050 stream: AX:-0.075 AY:0.068 AZ:-0.962 | GX:-0.321 GY:0.122 GZ:1.466 | T:25.05 C
I (463725) mpu6050 stream: AX:-0.075 AY:0.070 AZ:-0.960 | GX:-0.137 GY:0.321 GZ:1.573 | T:25.14 C
I (463735) mpu6050 stream: AX:-0.069 AY:0.072 AZ:-0.966 | GX:-0.046 GY:0.504 GZ:1.344 | T:25.14 C
I (463745) mpu6050 stream: AX:-0.079 AY:0.064 AZ:-0.959 | GX:0.046 GY:1.099 GZ:1.282 | T:25.14 C
I (463755) mpu6050 stream: AX:-0.074 AY:0.062 AZ:-0.967 | GX:-0.397 GY:0.870 GZ:1.130 | T:25.14 C
I (463765) mpu6050 stream: AX:-0.068 AY:0.061 AZ:-0.972 | GX:-0.977 GY:1.069 GZ:1.084 | T:25.14 C
I (463775) mpu6050 stream: AX:-0.070 AY:0.066 AZ:-0.974 | GX:-1.573 GY:1.038 GZ:0.870 | T:25.09 C
I (463785) mpu6050 stream: AX:-0.066 AY:0.075 AZ:-0.966 | GX:-1.832 GY:1.053 GZ:0.763 | T:25.05 C
I (463795) mpu6050 stream: AX:-0.065 AY:0.083 AZ:-0.957 | GX:-1.038 GY:0.626 GZ:0.809 | T:25.19 C
I (463805) mpu6050 stream: AX:-0.072 AY:0.079 AZ:-0.958 | GX:0.275 GY:0.427 GZ:1.069 | T:25.14 C
I (463815) mpu6050 stream: AX:-0.066 AY:0.075 AZ:-0.953 | GX:1.405 GY:0.641 GZ:1.282 | T:25.19 C
I (463825) mpu6050 stream: AX:-0.070 AY:0.069 AZ:-0.951 | GX:1.588 GY:0.809 GZ:1.206 | T:25.05 C
I (463835) mpu6050 stream: AX:-0.066 AY:0.063 AZ:-0.966 | GX:0.809 GY:0.718 GZ:1.405 | T:25.19 C
I (463845) mpu6050 stream: AX:-0.065 AY:0.058 AZ:-0.954 | GX:-0.702 GY:0.458 GZ:1.298 | T:25.24 C
