I (200845) mpu6050 stream: AX:-0.162 AY:0.092 AZ:-0.949 | GX:-0.092 GY:0.885 GZ:1.542 | T:25.19 C
I (200855) mpu6050 stream: AX:-0.172 AY:0.087 AZ:-0.941 | GX:-0.046 GY:0.794 GZ:1.252 | T:25.19 C
I (200865) mpu6050 stream: AX:-0.167 AY:0.092 AZ:-0.941 | GX:-0.137 GY:0.779 GZ:1.237 | T:25.19 C
I (200875) mpu6050 stream: AX:-0.165 AY:0.088 AZ:-0.950 | GX:-0.168 GY:0.763 GZ:1.084 | T:25.19 C
I (200885) mpu6050 stream: AX:-0.171 AY:0.097 AZ:-0.937 | GX:-0.168 GY:0.687 GZ:1.206 | T:25.28 C
I (200895) mpu6050 stream: AX:-0.165 AY:0.101 AZ:-0.944 | GX:-0.137 GY:0.931 GZ:0.962 | T:25.28 C
I (200905) mpu6050 stream: AX:-0.165 AY:0.092 AZ:-0.936 | GX:-0.229 GY:1.328 GZ:0.977 | T:25.19 C
I (200915) mpu6050 stream: AX:-0.161 AY:0.098 AZ:-0.940 | GX:-0.107 GY:1.435 GZ:0.870 | T:25.24 C
I (200925) mpu6050 stream: AX:-0.158 AY:0.100 AZ:-0.935 | GX:0.092 GY:1.344 GZ:0.763 | T:25.24 C
I (200935) mpu6050 stream: AX:-0.161 AY:0.100 AZ:-0.929 | GX:0.031 GY:0.947 GZ:0.947 | T:25.14 C
I (200945) mpu6050 stream: AX:-0.163 AY:0.099 AZ:-0.942 | GX:-0.015 GY:0.656 GZ:0.992 | T:25.14 C
I (200955) mpu6050 stream: AX:-0.156 AY:0.093 AZ:-0.937 | GX:-0.275 GY:0.336 GZ:0.901 | T:25.24 C
I (200965) mpu6050 stream: AX:-0.162 AY:0.096 AZ:-0.937 | GX:-0.244 GY:-0.061 GZ:0.931 | T:25.24 C
I (200975) mpu6050 stream: AX:-0.165 AY:0.101 AZ:-0.947 | GX:-0.290 GY:-0.137 GZ:1.069 | T:25.24 C
I (200985) mpu6050 stream: AX:-0.170 AY:0.095 AZ:-0.948 | GX:-0.321 GY:0.061 GZ:1.008 | T:25.14 C
I (200995) mpu6050 stream: AX:-0.170 AY:0.098 AZ:-0.947 | GX:-0.366 GY:0.244 GZ:1.145 | T:25.24 C
I (201005) mpu6050 stream: AX:-0.167 AY:0.093 AZ:-0.957 | GX:-0.122 GY:0.550 GZ:1.176 | T:25.14 C
I (201015) mpu6050 stream: AX:-0.171 AY:0.100 AZ:-0.946 | GX:-0.076 GY:1.160 GZ:1.282 | T:25.14 C
I (201025) mpu6050 stream: AX:-0.167 AY:0.098 AZ:-0.943 | GX:0.000 GY:1.176 GZ:1.328 | T:25.24 C
I (201035) mpu6050 stream: AX:-0.164 AY:0.101 AZ:-0.952 | GX:0.198 GY:1.527 GZ:1.450 | T:25.14 C
I (201045) mpu6050 stream: AX:-0.159 AY:0.098 AZ:-0.938 | GX:0.198 GY:1.344 GZ:1.206 | T:25.24 C
I (201055) mpu6050 stream: AX:-0.162 AY:0.095 AZ:-0.941 | GX:0.290 GY:0.947 GZ:1.313 | T:25.24 C
I (201065) mpu6050 stream: AX:-0.166 AY:0.096 AZ:-0.943 | GX:0.351 GY:1.130 GZ:1.282 | T:25.24 C
I (201075) mpu6050 stream: AX:-0.163 AY:0.098 AZ:-0.949 | GX:0.626 GY:1.130 GZ:1.145 | T:25.24 C
I (201085) mpu6050 stream: AX:-0.162 AY:0.091 AZ:-0.947 | GX:0.565 GY:1.191 GZ:1.237 | T:25.24 C
I (201095) mpu6050 stream: AX:-0.156 AY:0.088 AZ:-0.938 | GX:0.794 GY:1.328 GZ:1.160 | T:25.24 C
I (201105) mpu6050 stream: AX:-0.158 AY:0.090 AZ:-0.936 | GX:0.641 GY:0.718 GZ:1.008 | T:25.24 C
I (201115) mpu6050 stream: AX:-0.161 AY:0.089 AZ:-0.940 | GX:0.183 GY:0.290 GZ:0.763 | T:25.24 C
I (201125) mpu6050 stream: AX:-0.161 AY:0.092 AZ:-0.940 | GX:-0.122 GY:0.565 GZ:1.053 | T:25.24 C
I (201135) mpu6050 stream: AX:-0.162 AY:0.096 AZ:-0.953 | GX:0.031 GY:0.687 GZ:1.023 | T:25.24 C
I (201145) mpu6050 stream: AX:-0.167 AY:0.093 AZ:-0.943 | GX:0.229 GY:0.595 GZ:1.069 | T:25.24 C
I (201155) mpu6050 stream: AX:-0.163 AY:0.093 AZ:-0.938 | GX:0.382 GY:1.023 GZ:1.053 | T:25.14 C
I (201165) mpu6050 stream: AX:-0.156 AY:0.093 AZ:-0.943 | GX:0.427 GY:0.947 GZ:1.328 | T:25.24 C
I (201175) mpu6050 stream: AX:-0.153 AY:0.089 AZ:-0.941 | GX:0.244 GY:0.687 GZ:1.450 | T:25.24 C
