I (188915) mpu6050 stream: AX:-0.073 AY:0.073 AZ:-0.969 | GX:-0.153 GY:-1.191 GZ:0.992 | T:25.24 C
I (188925) mpu6050 stream: AX:-0.072 AY:0.079 AZ:-0.966 | GX:-0.244 GY:-0.992 GZ:0.977 | T:25.14 C
I (188935) mpu6050 stream: AX:-0.067 AY:0.079 AZ:-0.953 | GX:-0.076 GY:-1.038 GZ:1.099 | T:25.24 C
I (188945) mpu6050 stream: AX:-0.062 AY:0.071 AZ:-0.946 | GX:-0.397 GY:-1.069 GZ:0.931 | T:25.24 C
I (188955) mpu6050 stream: AX:-0.064 AY:0.077 AZ:-0.957 | GX:-0.550 GY:-1.328 GZ:0.885 | T:25.24 C
I (188965) mpu6050 stream: AX:-0.067 AY:0.080 AZ:-0.952 | GX:-0.718 GY:-1.420 GZ:0.977 | T:25.14 C
I (188975) mpu6050 stream: AX:-0.063 AY:0.078 AZ:-0.951 | GX:-0.824 GY:-1.634 GZ:0.779 | T:25.14 C
I (188985) mpu6050 stream: AX:-0.064 AY:0.079 AZ:-0.952 | GX:-0.702 GY:-1.649 GZ:0.779 | T:25.14 C
I (188995) mpu6050 stream: AX:-0.066 AY:0.085 AZ:-0.942 | GX:-0.458 GY:-1.466 GZ:0.855 | T:25.24 C
I (189005) mpu6050 stream: AX:-0.071 AY:0.077 AZ:-0.956 | GX:-0.244 GY:-1.557 GZ:1.053 | T:25.24 C
I (189015) mpu6050 stream: AX:-0.075 AY:0.077 AZ:-0.961 | GX:-0.351 GY:-1.450 GZ:1.221 | T:25.14 C
I (189025) mpu6050 stream: AX:-0.077 AY:0.076 AZ:-0.969 | GX:-0.595 GY:-1.405 GZ:1.115 | T:25.14 C
I (189035) mpu6050 stream: AX:-0.075 AY:0.077 AZ:-0.956 | GX:-0.931 GY:-1.511 GZ:1.176 | T:25.14 C
I (189045) mpu6050 stream: AX:-0.076 AY:0.075 AZ:-0.962 | GX:-1.069 GY:-1.359 GZ:1.328 | T:25.24 C
I (189055) mpu6050 stream: AX:-0.069 AY:0.081 AZ:-0.968 | GX:-0.916 GY:-0.870 GZ:1.466 | T:25.24 C
I (189065) mpu6050 stream: AX:-0.069 AY:0.077 AZ:-0.957 | GX:-0.733 GY:-0.916 GZ:1.450 | T:25.24 C
I (189075) mpu6050 stream: AX:-0.075 AY:0.078 AZ:-0.960 | GX:-0.626 GY:-0.779 GZ:1.328 | T:25.14 C
I (189085) mpu6050 stream: AX:-0.068 AY:0.077 AZ:-0.953 | GX:-0.656 GY:-0.840 GZ:1.084 | T:25.14 C
I (189095) mpu6050 stream: AX:-0.073 AY:0.082 AZ:-0.949 | GX:-0.779 GY:-0.824 GZ:1.008 | T:25.14 C
I (189105) mpu6050 stream: AX:-0.066 AY:0.083 AZ:-0.960 | GX:-0.992 GY:-0.962 GZ:0.916 | T:25.24 C
I (189115) mpu6050 stream: AX:-0.066 AY:0.081 AZ:-0.959 | GX:-1.359 GY:-0.977 GZ:0.794 | T:25.14 C
I (189125) mpu6050 stream: AX:-0.066 AY:0.089 AZ:-0.962 | GX:-1.359 GY:-0.580 GZ:0.626 | T:25.24 C
I (189135) mpu6050 stream: AX:-0.061 AY:0.090 AZ:-0.953 | GX:-0.916 GY:-0.824 GZ:0.550 | T:25.24 C
