I (291365) mpu6050 stream: AX:-0.157 AY:0.088 AZ:-0.949 | GX:0.794 GY:0.748 GZ:1.756 | T:25.28 C
I (291375) mpu6050 stream: AX:-0.157 AY:0.078 AZ:-0.946 | GX:0.519 GY:0.565 GZ:1.939 | T:25.28 C
I (291385) mpu6050 stream: AX:-0.156 AY:0.077 AZ:-0.944 | GX:0.275 GY:0.595 GZ:1.756 | T:25.28 C
I (291395) mpu6050 stream: AX:-0.156 AY:0.082 AZ:-0.937 | GX:0.015 GY:0.458 GZ:1.786 | T:25.19 C
I (291405) mpu6050 stream: AX:-0.161 AY:0.081 AZ:-0.939 | GX:-0.061 GY:0.443 GZ:1.786 | T:25.28 C
I (291415) mpu6050 stream: AX:-0.161 AY:0.082 AZ:-0.948 | GX:-0.183 GY:0.611 GZ:1.832 | T:25.33 C
I (291425) mpu6050 stream: AX:-0.161 AY:0.083 AZ:-0.934 | GX:0.092 GY:0.672 GZ:1.817 | T:25.24 C
I (291435) mpu6050 stream: AX:-0.160 AY:0.082 AZ:-0.946 | GX:-0.046 GY:0.794 GZ:1.618 | T:25.24 C
I (291445) mpu6050 stream: AX:-0.162 AY:0.083 AZ:-0.942 | GX:-0.076 GY:0.595 GZ:1.481 | T:25.24 C
I (291455) mpu6050 stream: AX:-0.154 AY:0.084 AZ:-0.937 | GX:-0.122 GY:0.687 GZ:1.359 | T:25.24 C
I (291465) mpu6050 stream: AX:-0.146 AY:0.082 AZ:-0.935 | GX:-0.061 GY:0.183 GZ:1.145 | T:25.24 C
I (291475) mpu6050 stream: AX:-0.149 AY:0.081 AZ:-0.945 | GX:-0.183 GY:0.122 GZ:1.115 | T:25.33 C
I (291485) mpu6050 stream: AX:-0.156 AY:0.078 AZ:-0.943 | GX:-0.321 GY:-0.183 GZ:0.916 | T:25.33 C
I (291495) mpu6050 stream: AX:-0.153 AY:0.085 AZ:-0.956 | GX:-0.351 GY:-0.168 GZ:0.885 | T:25.24 C
I (291505) mpu6050 stream: AX:-0.154 AY:0.091 AZ:-0.957 | GX:-0.565 GY:0.214 GZ:0.733 | T:25.24 C
I (291515) mpu6050 stream: AX:-0.152 AY:0.083 AZ:-0.941 | GX:-0.534 GY:-0.092 GZ:0.611 | T:25.33 C
I (291525) mpu6050 stream: AX:-0.160 AY:0.083 AZ:-0.940 | GX:-0.519 GY:0.183 GZ:0.366 | T:25.33 C
I (291535) mpu6050 stream: AX:-0.152 AY:0.090 AZ:-0.955 | GX:-0.366 GY:0.382 GZ:0.550 | T:25.24 C
I (291545) mpu6050 stream: AX:-0.156 AY:0.085 AZ:-0.949 | GX:-0.321 GY:0.687 GZ:0.550 | T:25.24 C
I (291555) mpu6050 stream: AX:-0.160 AY:0.090 AZ:-0.947 | GX:-0.321 GY:1.191 GZ:0.595 | T:25.24 C
I (291565) mpu6050 stream: AX:-0.157 AY:0.089 AZ:-0.946 | GX:-0.336 GY:1.206 GZ:0.718 | T:25.33 C
I (291575) mpu6050 stream: AX:-0.157 AY:0.094 AZ:-0.948 | GX:-0.198 GY:1.206 GZ:0.687 | T:25.24 C
I (291585) mpu6050 stream: AX:-0.155 AY:0.086 AZ:-0.947 | GX:-0.183 GY:0.962 GZ:0.916 | T:25.24 C
I (291595) mpu6050 stream: AX:-0.146 AY:0.089 AZ:-0.939 | GX:0.000 GY:0.763 GZ:0.870 | T:25.24 C
