I (658285) mpu6050 stream: AX:0.026 AY:0.122 AZ:-0.959 | GX:-0.076 GY:-0.366 GZ:0.214 | T:24.95 C
I (658295) mpu6050 stream: AX:0.027 AY:0.118 AZ:-0.958 | GX:0.000 GY:-0.794 GZ:0.061 | T:25.05 C
I (658305) mpu6050 stream: AX:0.023 AY:0.125 AZ:-0.956 | GX:-0.427 GY:-0.901 GZ:0.076 | T:24.95 C
I (658315) mpu6050 stream: AX:0.030 AY:0.123 AZ:-0.957 | GX:-0.183 GY:-0.595 GZ:-0.061 | T:24.95 C
I (658325) mpu6050 stream: AX:0.027 AY:0.127 AZ:-0.951 | GX:-0.382 GY:-0.962 GZ:0.015 | T:24.95 C
I (658335) mpu6050 stream: AX:0.025 AY:0.126 AZ:-0.948 | GX:-0.305 GY:-0.779 GZ:0.168 | T:25.05 C
I (658345) mpu6050 stream: AX:0.025 AY:0.127 AZ:-0.957 | GX:-0.031 GY:-0.748 GZ:0.519 | T:24.95 C
I (658355) mpu6050 stream: AX:0.023 AY:0.123 AZ:-0.955 | GX:-0.702 GY:-0.931 GZ:0.656 | T:25.05 C
I (658365) mpu6050 stream: AX:0.025 AY:0.126 AZ:-0.968 | GX:-0.229 GY:-0.763 GZ:0.809 | T:25.05 C
I (658375) mpu6050 stream: AX:0.019 AY:0.127 AZ:-0.952 | GX:-0.015 GY:-0.076 GZ:0.824 | T:24.95 C
I (658385) mpu6050 stream: AX:0.028 AY:0.125 AZ:-0.949 | GX:-0.183 GY:0.076 GZ:0.794 | T:25.05 C
I (658395) mpu6050 stream: AX:0.035 AY:0.119 AZ:-0.960 | GX:-0.275 GY:-0.153 GZ:0.626 | T:24.95 C
I (658405) mpu6050 stream: AX:0.032 AY:0.124 AZ:-0.958 | GX:-0.916 GY:-0.427 GZ:0.489 | T:24.95 C
I (658415) mpu6050 stream: AX:0.026 AY:0.124 AZ:-0.954 | GX:-1.481 GY:-0.473 GZ:0.458 | T:24.95 C
I (658425) mpu6050 stream: AX:0.032 AY:0.134 AZ:-0.957 | GX:-1.496 GY:-0.458 GZ:0.214 | T:25.05 C
