I (414175) mpu6050 stream: AX:-0.131 AY:0.110 AZ:-0.952 | GX:-0.412 GY:-0.947 GZ:0.916 | T:25.19 C
I (414185) mpu6050 stream: AX:-0.132 AY:0.107 AZ:-0.947 | GX:-0.916 GY:-0.779 GZ:0.779 | T:25.19 C
I (414195) mpu6050 stream: AX:-0.135 AY:0.114 AZ:-0.940 | GX:-0.870 GY:-0.931 GZ:0.305 | T:25.19 C
I (414205) mpu6050 stream: AX:-0.139 AY:0.111 AZ:-0.951 | GX:-0.779 GY:-0.702 GZ:0.321 | T:25.28 C
I (414215) mpu6050 stream: AX:-0.128 AY:0.118 AZ:-0.942 | GX:-0.397 GY:-0.504 GZ:0.153 | T:25.19 C
I (414225) mpu6050 stream: AX:-0.131 AY:0.120 AZ:-0.951 | GX:-0.061 GY:-0.641 GZ:-0.046 | T:25.19 C
I (414235) mpu6050 stream: AX:-0.135 AY:0.118 AZ:-0.961 | GX:-0.031 GY:-0.153 GZ:0.137 | T:25.09 C
I (414245) mpu6050 stream: AX:-0.138 AY:0.118 AZ:-0.951 | GX:-0.336 GY:0.076 GZ:0.443 | T:25.19 C
I (414255) mpu6050 stream: AX:-0.130 AY:0.119 AZ:-0.945 | GX:-0.794 GY:0.504 GZ:0.489 | T:25.19 C
I (414265) mpu6050 stream: AX:-0.134 AY:0.124 AZ:-0.948 | GX:-0.687 GY:0.382 GZ:0.672 | T:25.09 C
I (414275) mpu6050 stream: AX:-0.132 AY:0.130 AZ:-0.945 | GX:-0.351 GY:0.000 GZ:0.733 | T:25.19 C
I (414285) mpu6050 stream: AX:-0.135 AY:0.129 AZ:-0.953 | GX:0.076 GY:-0.275 GZ:0.916 | T:25.19 C
I (414295) mpu6050 stream: AX:-0.135 AY:0.121 AZ:-0.950 | GX:0.489 GY:0.214 GZ:1.237 | T:25.19 C
I (414305) mpu6050 stream: AX:-0.134 AY:0.114 AZ:-0.955 | GX:0.580 GY:0.275 GZ:1.435 | T:25.09 C
I (414315) mpu6050 stream: AX:-0.130 AY:0.113 AZ:-0.957 | GX:0.092 GY:0.366 GZ:1.191 | T:25.09 C
I (414325) mpu6050 stream: AX:-0.136 AY:0.112 AZ:-0.951 | GX:-0.641 GY:0.672 GZ:1.176 | T:25.19 C
I (414335) mpu6050 stream: AX:-0.125 AY:0.120 AZ:-0.941 | GX:-0.901 GY:0.916 GZ:1.115 | T:25.09 C
I (414345) mpu6050 stream: AX:-0.125 AY:0.121 AZ:-0.947 | GX:-0.779 GY:0.855 GZ:1.282 | T:25.09 C
I (414355) mpu6050 stream: AX:-0.125 AY:0.125 AZ:-0.945 | GX:-0.275 GY:0.885 GZ:1.237 | T:25.09 C
I (414365) mpu6050 stream: AX:-0.123 AY:0.131 AZ:-0.935 | GX:0.534 GY:0.840 GZ:1.405 | T:25.19 C
I (414375) mpu6050 stream: AX:-0.132 AY:0.129 AZ:-0.931 | GX:1.252 GY:0.611 GZ:1.221 | T:25.19 C
I (414385) mpu6050 stream: AX:-0.118 AY:0.119 AZ:-0.939 | GX:1.359 GY:0.580 GZ:1.328 | T:25.09 C
I (414395) mpu6050 stream: AX:-0.126 AY:0.120 AZ:-0.946 | GX:1.008 GY:0.137 GZ:1.435 | T:25.19 C
I (414405) mpu6050 stream: AX:-0.128 AY:0.112 AZ:-0.942 | GX:0.397 GY:-0.214 GZ:1.221 | T:25.19 C
I (414415) mpu6050 stream: AX:-0.121 AY:0.114 AZ:-0.954 | GX:0.000 GY:-0.183 GZ:1.237 | T:25.19 C
