I (353185) mpu6050 stream: AX:-0.125 AY:0.098 AZ:-0.961 | GX:0.061 GY:0.351 GZ:0.840 | T:25.14 C
I (353195) mpu6050 stream: AX:-0.124 AY:0.100 AZ:-0.956 | GX:0.321 GY:0.763 GZ:0.870 | T:25.05 C
I (353205) mpu6050 stream: AX:-0.129 AY:0.096 AZ:-0.954 | GX:0.748 GY:0.947 GZ:0.992 | T:25.14 C
I (353215) mpu6050 stream: AX:-0.128 AY:0.093 AZ:-0.945 | GX:0.779 GY:1.237 GZ:1.023 | T:25.24 C
I (353225) mpu6050 stream: AX:-0.120 AY:0.092 AZ:-0.949 | GX:0.672 GY:1.435 GZ:0.779 | T:25.14 C
I (353235) mpu6050 stream: AX:-0.122 AY:0.089 AZ:-0.951 | GX:0.244 GY:1.252 GZ:0.718 | T:25.24 C
I (353245) mpu6050 stream: AX:-0.127 AY:0.095 AZ:-0.968 | GX:-0.550 GY:1.634 GZ:0.779 | T:25.14 C
I (353255) mpu6050 stream: AX:-0.121 AY:0.100 AZ:-0.956 | GX:-0.595 GY:1.985 GZ:0.687 | T:25.24 C
I (353265) mpu6050 stream: AX:-0.115 AY:0.109 AZ:-0.949 | GX:0.504 GY:1.344 GZ:0.779 | T:25.14 C
I (353275) mpu6050 stream: AX:-0.113 AY:0.098 AZ:-0.935 | GX:1.618 GY:0.595 GZ:0.947 | T:25.24 C
I (353285) mpu6050 stream: AX:-0.118 AY:0.089 AZ:-0.951 | GX:2.672 GY:0.321 GZ:0.977 | T:25.14 C
I (353295) mpu6050 stream: AX:-0.114 AY:0.087 AZ:-0.940 | GX:2.305 GY:0.046 GZ:1.099 | T:25.14 C
I (353305) mpu6050 stream: AX:-0.127 AY:0.080 AZ:-0.953 | GX:1.145 GY:0.015 GZ:1.069 | T:25.14 C
I (353315) mpu6050 stream: AX:-0.121 AY:0.089 AZ:-0.945 | GX:-0.046 GY:0.092 GZ:1.145 | T:25.14 C
I (353325) mpu6050 stream: AX:-0.116 AY:0.085 AZ:-0.942 | GX:-0.565 GY:-0.305 GZ:1.115 | T:25.14 C
I (353335) mpu6050 stream: AX:-0.119 AY:0.096 AZ:-0.952 | GX:-0.229 GY:-0.550 GZ:1.252 | T:25.24 C
I (353345) mpu6050 stream: AX:-0.121 AY:0.099 AZ:-0.949 | GX:0.473 GY:-0.153 GZ:1.618 | T:25.14 C
I (353355) mpu6050 stream: AX:-0.121 AY:0.096 AZ:-0.948 | GX:0.947 GY:-0.473 GZ:1.710 | T:25.14 C
