I (517575) mpu6050 stream: AX:-0.106 AY:0.082 AZ:-0.957 | GX:-0.214 GY:0.550 GZ:1.985 | T:25.00 C
I (517585) mpu6050 stream: AX:-0.114 AY:0.082 AZ:-0.955 | GX:-0.046 GY:0.687 GZ:2.046 | T:25.00 C
I (517595) mpu6050 stream: AX:-0.111 AY:0.083 AZ:-0.952 | GX:0.183 GY:0.901 GZ:1.954 | T:25.09 C
I (517605) mpu6050 stream: AX:-0.109 AY:0.084 AZ:-0.955 | GX:0.137 GY:0.962 GZ:1.817 | T:25.00 C
I (517615) mpu6050 stream: AX:-0.104 AY:0.082 AZ:-0.960 | GX:0.168 GY:1.267 GZ:1.863 | T:25.05 C
I (517625) mpu6050 stream: AX:-0.103 AY:0.081 AZ:-0.946 | GX:0.137 GY:1.221 GZ:1.786 | T:24.95 C
I (517635) mpu6050 stream: AX:-0.102 AY:0.087 AZ:-0.944 | GX:0.229 GY:1.115 GZ:1.817 | T:24.95 C
I (517645) mpu6050 stream: AX:-0.103 AY:0.082 AZ:-0.944 | GX:0.137 GY:1.221 GZ:1.725 | T:24.95 C
I (517655) mpu6050 stream: AX:-0.106 AY:0.086 AZ:-0.947 | GX:-0.015 GY:0.962 GZ:1.786 | T:25.05 C
I (517665) mpu6050 stream: AX:-0.110 AY:0.083 AZ:-0.949 | GX:-0.076 GY:0.947 GZ:1.634 | T:25.05 C
I (517675) mpu6050 stream: AX:-0.101 AY:0.084 AZ:-0.944 | GX:-0.076 GY:0.733 GZ:1.649 | T:25.05 C
I (517685) mpu6050 stream: AX:-0.108 AY:0.079 AZ:-0.950 | GX:-0.336 GY:1.023 GZ:1.588 | T:25.05 C
I (517695) mpu6050 stream: AX:-0.096 AY:0.080 AZ:-0.967 | GX:-0.443 GY:0.733 GZ:1.771 | T:25.05 C
I (517705) mpu6050 stream: AX:-0.102 AY:0.078 AZ:-0.954 | GX:-0.473 GY:0.947 GZ:1.496 | T:25.05 C
I (517715) mpu6050 stream: AX:-0.105 AY:0.085 AZ:-0.959 | GX:-0.183 GY:0.824 GZ:1.771 | T:25.05 C
I (517725) mpu6050 stream: AX:-0.107 AY:0.088 AZ:-0.955 | GX:-0.275 GY:0.962 GZ:1.481 | T:25.05 C
I (517735) mpu6050 stream: AX:-0.101 AY:0.087 AZ:-0.944 | GX:-0.214 GY:0.870 GZ:1.542 | T:24.95 C
I (517745) mpu6050 stream: AX:-0.099 AY:0.084 AZ:-0.953 | GX:-0.260 GY:0.779 GZ:1.511 | T:24.95 C
I (517755) mpu6050 stream: AX:-0.100 AY:0.086 AZ:-0.950 | GX:-0.290 GY:0.611 GZ:1.359 | T:25.05 C
I (517765) mpu6050 stream: AX:-0.100 AY:0.081 AZ:-0.946 | GX:-0.168 GY:0.718 GZ:1.389 | T:24.95 C
I (517775) mpu6050 stream: AX:-0.100 AY:0.084 AZ:-0.953 | GX:-0.275 GY:0.595 GZ:1.328 | T:24.95 C
I (517785) mpu6050 stream: AX:-0.103 AY:0.087 AZ:-0.946 | GX:-0.305 GY:0.198 GZ:1.298 | T:25.05 C
I (517795) mpu6050 stream: AX:-0.100 AY:0.087 AZ:-0.954 | GX:-0.015 GY:-0.107 GZ:1.221 | T:25.05 C
I (517805) mpu6050 stream: AX:-0.103 AY:0.085 AZ:-0.964 | GX:-0.122 GY:0.046 GZ:1.252 | T:25.05 C
I (517815) mpu6050 stream: AX:-0.102 AY:0.077 AZ:-0.958 | GX:-0.229 GY:0.626 GZ:0.977 | T:25.05 C
I (517825) mpu6050 stream: AX:-0.102 AY:0.074 AZ:-0.954 | GX:-0.351 GY:0.916 GZ:0.763 | T:24.95 C
I (517835) mpu6050 stream: AX:-0.096 AY:0.084 AZ:-0.955 | GX:-0.779 GY:1.145 GZ:0.641 | T:25.05 C
I (517845) mpu6050 stream: AX:-0.090 AY:0.090 AZ:-0.947 | GX:-1.298 GY:1.084 GZ:0.489 | T:24.95 C
I (517855) mpu6050 stream: AX:-0.096 AY:0.088 AZ:-0.951 | GX:-1.252 GY:0.534 GZ:0.122 | T:25.05 C
I (517865) mpu6050 stream: AX:-0.097 AY:0.095 AZ:-0.956 | GX:-0.656 GY:0.153 GZ:0.153 | T:24.95 C
I (517875) mpu6050 stream: AX:-0.098 AY:0.094 AZ:-0.951 | GX:0.580 GY:0.000 GZ:0.626 | T:25.05 C
I (517885) mpu6050 stream: AX:-0.102 AY:0.086 AZ:-0.947 | GX:1.725 GY:-0.107 GZ:0.656 | T:24.95 C
I (517895) mpu6050 stream: AX:-0.100 AY:0.083 AZ:-0.944 | GX:2.000 GY:0.061 GZ:0.824 | T:24.95 C
I (517905) mpu6050 stream: AX:-0.100 AY:0.082 AZ:-0.959 | GX:1.374 GY:0.107 GZ:0.992 | T:25.05 C
I (517915) mpu6050 stream: AX:-0.104 AY:0.084 AZ:-0.947 | GX:-0.305 GY:-0.214 GZ:0.809 | T:25.00 C
I (517925) mpu6050 stream: AX:-0.103 AY:0.080 AZ:-0.944 | GX:-1.588 GY:-0.779 GZ:1.069 | T:25.09 C
I (517935) mpu6050 stream: AX:-0.102 AY:0.086 AZ:-0.950 | GX:-2.229 GY:-0.977 GZ:1.237 | T:25.00 C
I (517945) mpu6050 stream: AX:-0.101 AY:0.092 AZ:-0.945 | GX:-2.076 GY:-1.359 GZ:1.420 | T:25.00 C
I (517955) mpu6050 stream: AX:-0.104 AY:0.087 AZ:-0.941 | GX:-1.115 GY:-0.962 GZ:1.450 | T:25.00 C
I (517965) mpu6050 stream: AX:-0.110 AY:0.088 AZ:-0.952 | GX:-0.229 GY:-1.038 GZ:1.496 | T:25.09 C
I (517975) mpu6050 stream: AX:-0.104 AY:0.078 AZ:-0.944 | GX:0.122 GY:-1.176 GZ:1.130 | T:25.09 C
I (517985) mpu6050 stream: AX:-0.109 AY:0.083 AZ:-0.955 | GX:-0.107 GY:-0.885 GZ:1.008 | T:25.00 C
I (517995) mpu6050 stream: AX:-0.105 AY:0.080 AZ:-0.956 | GX:-0.763 GY:-0.718 GZ:0.626 | T:25.00 C
I (518005) mpu6050 stream: AX:-0.111 AY:0.081 AZ:-0.963 | GX:-1.176 GY:-0.504 GZ:0.443 | T:25.00 C
