5) mpu6050 stream: AX:-0.114 AY:0.110 AZ:-0.923 | GX:9.664 GY:1. AZ:-0.914 | GX:4.031 GY:0.931 GZ:1.679 | T:25.14 C
I (182735) mpu6050 stream: AX:-0.120 AY:0.083 AZ:-0.916 | GX:5.817 GY:3.145 GZ:5.771 | T:25.19 C
I (182745) mpu6050 stream: AX:-0.115 AY:0.077 AZ:-0.915 | GX:5.344 GY:3.053 GZ:5.939 | T:25.28 C
I (182755) mpu6050 stream: AX:-0.124 AY:0.076 AZ:-0.907 | GX:4.702 GY:2.870 GZ:5.450 | T:25.19 C
I (182765) mpu6050 stream: AX:-0.124 AY:0.079 AZ:-0.916 | GX:4.260 GY:2.336 GZ:5.420 | T:25.19 C
I (182775) mpu6050 stream: AX:-0.121 AY:0.081 AZ:-0.915 | GX:3.298 GY:1.588 GZ:4.992 | T:25.19 C
I (182785) mpu6050 stream: AX:-0.116 AY:0.076 AZ:-0.917 | GX:2.931 GY:0.733 GZ:4.595 | T:25.28 C
I (182795) mpu6050 stream: AX:-0.123 AY:0.080 AZ:-0.923 | GX:2.427 GY:0.366 GZ:4.137 | T:25.19 C
I (182805) mpu6050 stream: AX:-0.124 AY:0.073 AZ:-0.920 | GX:2.641 GY:0.519 GZ:3.649 | T:25.19 C
I (182815) mpu6050 stream: AX:-0.128 AY:0.075 AZ:-0.930 | GX:2.840 GY:0.260 GZ:3.176 | T:25.19 C
I (182825) mpu6050 stream: AX:-0.123 AY:0.079 AZ:-0.939 | GX:3.176 GY:0.107 GZ:2.565 | T:25.19 C
I (182835) mpu6050 stream: AX:-0.123 AY:0.076 AZ:-0.944 | GX:3.038 GY:0.321 GZ:2.061 | T:25.14 C
I (182845) mpu6050 stream: AX:-0.122 AY:0.075 AZ:-0.949 | GX:2.626 GY:0.107 GZ:1.405 | T:25.24 C
I (182855) mpu6050 stream: AX:-0.121 AY:0.072 AZ:-0.948 | GX:2.229 GY:-0.595 GZ:0.611 | T:25.24 C
I (182865) mpu6050 stream: AX:-0.122 AY:0.075 AZ:-0.948 | GX:1.695 GY:-1.023 GZ:-0.229 | T:25.14 C
I (182875) mpu6050 stream: AX:-0.117 AY:0.069 AZ:-0.940 | GX:0.901 GY:-2.214 GZ:-1.145 | T:25.14 C
I (182885) mpu6050 stream: AX:-0.119 AY:0.082 AZ:-0.946 | GX:0.290 GY:-3.466 GZ:-1.924 | T:25.24 C
I (182895) mpu6050 stream: AX:-0.129 AY:0.076 AZ:-0.955 | GX:-0.565 GY:-4.076 GZ:-2.534 | T:25.24 C
I (182905) mpu6050 stream: AX:-0.131 AY:0.088 AZ:-0.962 | GX:-1.618 GY:-4.137 GZ:-3.023 | T:25.14 C
I (182915) mpu6050 stream: AX:-0.144 AY:0.094 AZ:-0.966 | GX:-2.504 GY:-4.031 GZ:-3.328 | T:25.09 C
I (182925) mpu6050 stream: AX:-0.141 AY:0.092 AZ:-0.951 | GX:-2.992 GY:-4.153 GZ:-3.710 | T:25.19 C
I (182935) mpu6050 stream: AX:-0.147 AY:0.103 AZ:-0.957 | GX:-2.519 GY:-4.519 GZ:-3.771 | T:25.19 C
I (182945) mpu6050 stream: AX:-0.160 AY:0.113 AZ:-0.957 | GX:-2.229 GY:-4.351 GZ:-3.802 | T:25.19 C
I (182955) mpu6050 stream: AX:-0.161 AY:0.118 AZ:-0.955 | GX:-1.908 GY:-4.092 GZ:-3.374 | T:25.19 C
I (182965) mpu6050 stream: AX:-0.165 AY:0.112 AZ:-0.958 | GX:-1.756 GY:-3.588 GZ:-3.237 | T:25.19 C
I (182975) mpu6050 stream: AX:-0.168 AY:0.111 AZ:-0.953 | GX:-2.214 GY:-3.389 GZ:-3.038 | T:25.19 C
I (182985) mpu6050 stream: AX:-0.176 AY:0.108 AZ:-0.951 | GX:-2.290 GY:-2.840 GZ:-2.931 | T:25.19 C
I (182995) mpu6050 stream: AX:-0.179 AY:0.112 AZ:-0.954 | GX:-2.718 GY:-2.412 GZ:-2.824 | T:25.28 C
I (183005) mpu6050 stream: AX:-0.180 AY:0.119 AZ:-0.973 | GX:-3.405 GY:-1.878 GZ:-2.748 | T:25.19 C
I (183015) mpu6050 stream: AX:-0.181 AY:0.120 AZ:-0.972 | GX:-3.344 GY:-0.794 GZ:-2.580 | T:25.19 C
I (183025) mpu6050 stream: AX:-0.180 AY:0.135 AZ:-0.975 | GX:-3.634 GY:0.809 GZ:-2.046 | T:25.19 C
I (183035) mpu6050 stream: AX:-0.190 AY:0.131 AZ:-0.980 | GX:-2.763 GY:2.397 GZ:-1.725 | T:25.19 C
I (183045) mpu6050 stream: AX:-0.166 AY:0.129 AZ:-0.981 | GX:-1.756 GY:3.664 GZ:-1.679 | T:25.19 C
I (183055) mpu6050 stream: AX:-0.163 AY:0.126 AZ:-0.965 | GX:-0.824 GY:5.069 GZ:-1.435 | T:25.19 C
I (183065) mpu6050 stream: AX:-0.149 AY:0.122 AZ:-0.959 | GX:0.137 GY:5.847 GZ:-1.389 | T:25.28 C
I (183075) mpu6050 stream: AX:-0.142 AY:0.119 AZ:-0.948 | GX:0.489 GY:6.015 GZ:-1.573 | T:25.19 C
I (183085) mpu6050 stream: AX:-0.136 AY:0.109 AZ:-0.941 | GX:0.840 GY:5.847 GZ:-1.466 | T:25.19 C
I (183095) mpu6050 stream: AX:-0.132 AY:0.101 AZ:-0.932 | GX:1.206 GY:5.191 GZ:-2.000 | T:25.09 C
I (183105) mpu6050 stream: AX:-0.117 AY:0.100 AZ:-0.927 | GX:1.450 GY:3.802 GZ:-2.198 | T:25.28 C
I (183115) mpu6050 stream: AX:-0.113 AY:0.105 AZ:-0.928 | GX:1.099 GY:2.809 GZ:-2.244 | T:25.19 C
I (183125) mpu6050 stream: AX:-0.124 AY:0.109 AZ:-0.948 | GX:0.641 GY:2.305 GZ:-2.260 | T:25.19 C
I (183135) mpu6050 stream: AX:-0.126 AY:0.107 AZ:-0.949 | GX:0.031 GY:2.504 GZ:-1.786 | T:25.05 C
I (183145) mpu6050 stream: AX:-0.125 AY:0.114 AZ:-0.946 | GX:-0.260 GY:2.870 GZ:-1.542 | T:25.24 C
I (183155) mpu6050 stream: AX:-0.131 AY:0.117 AZ:-0.961 | GX:0.198 GY:3.160 GZ:-0.901 | T:25.24 C
I (183165) mpu6050 stream: AX:-0.118 AY:0.113 AZ:-0.944 | GX:0.992 GY:3.450 GZ:-0.458 | T:25.24 C
I (183175) mpu6050 stream: AX:-0.114 AY:0.107 AZ:-0.943 | GX:1.634 GY:3.359 GZ:0.046 | T:25.14 C
I (183185) mpu6050 stream: AX:-0.105 AY:0.110 AZ:-0.946 | GX:1.969 GY:3.221 GZ:0.153 | T:25.24 C
I (183195) mpu6050 stream: AX:-0.113 AY:0.086 AZ:-0.919 | GX:1.954 GY:2.260 GZ:0.183 | T:25.14 C
I (183205) mpu6050 stream: AX:-0.115 AY:0.082 AZ:-0.927 | GX:1.038 GY:1.313 GZ:-0.015 | T:25.24 C
I (183215) mpu6050 stream: AX:-0.128 AY:0.087 AZ:-0.933 | GX:0.046 GY:0.687 GZ:-0.641 | T:25.24 C
I (183225) mpu6050 stream: AX:-0.129 AY:0.087 AZ:-0.939 | GX:-0.656 GY:0.824 GZ:-0.824 | T:25.24 C
I (183235) mpu6050 stream: AX:-0.132 AY:0.093 AZ:-0.939 | GX:-0.779 GY:0.763 GZ:-1.176 | T:25.14 C
I (183245) mpu6050 stream: AX:-0.139 AY:0.097 AZ:-0.943 | GX:-0.275 GY:0.611 GZ:-1.634 | T:25.24 C
I (183255) mpu6050 stream: AX:-0.137 AY:0.102 AZ:-0.951 | GX:0.397 GY:0.901 GZ:-1.710 | T:25.14 C
I (183265) mpu6050 stream: AX:-0.134 AY:0.100 AZ:-0.947 | GX:0.763 GY:0.901 GZ:-1.817 | T:25.24 C
I (183275) mpu6050 stream: AX:-0.135 AY:0.104 AZ:-0.943 | GX:0.901 GY:1.282 GZ:-1.725 | T:25.14 C
I (183285) mpu6050 stream: AX:-0.130 AY:0.099 AZ:-0.932 | GX:1.267 GY:0.565 GZ:-2.015 | T:25.19 C
I (183295) mpu6050 stream: AX:-0.134 AY:0.100 AZ:-0.924 | GX:1.924 GY:0.153 GZ:-2.107 | T:25.19 C
I (183305) mpu6050 stream: AX:-0.131 AY:0.098 AZ:-0.932 | GX:2.244 GY:-0.290 GZ:-2.183 | T:25.19 C
I (183315) mpu6050 stream: AX:-0.136 AY:0.089 AZ:-0.931 | GX:2.275 GY:-0.672 GZ:-2.183 | T:25.09 C
I (183325) mpu6050 stream: AX:-0.134 AY:0.091 AZ:-0.937 | GX:1.328 GY:-1.527 GZ:-2.382 | T:25.19 C
I (183335) mpu6050 stream: AX:-0.138 AY:0.090 AZ:-0.938 | GX:0.321 GY:-1.557 GZ:-2.382 | T:25.19 C
I (183345) mpu6050 stream: AX:-0.137 AY:0.088 AZ:-0.951 | GX:-0.702 GY:-2.321 GZ:-2.641 | T:25.19 C
I (183355) mpu6050 stream: AX:-0.138 AY:0.091 AZ:-0.950 | GX:-1.405 GY:-2.718 GZ:-2.748 | T:25.19 C
I (183365) mpu6050 stream: AX:-0.136 AY:0.097 AZ:-0.945 | GX:-1.328 GY:-2.840 GZ:-2.672 | T:25.28 C
I (183375) mpu6050 stream: AX:-0.141 AY:0.104 AZ:-0.942 | GX:-0.702 GY:-3.237 GZ:-2.305 | T:25.28 C
I (183385) mpu6050 stream: AX:-0.143 AY:0.102 AZ:-0.943 | GX:-0.290 GY:-3.557 GZ:-2.198 | T:25.19 C
I (183395) mpu6050 stream: AX:-0.145 AY:0.103 AZ:-0.944 | GX:-0.076 GY:-3.695 GZ:-1.573 | T:25.28 C
I (183405) mpu6050 stream: AX:-0.146 AY:0.094 AZ:-0.943 | GX:-0.412 GY:-3.908 GZ:-1.481 | T:25.19 C
I (183415) mpu6050 stream: AX:-0.144 AY:0.087 AZ:-0.940 | GX:-1.374 GY:-4.137 GZ:-1.267 | T:25.19 C
I (183425) mpu6050 stream: AX:-0.144 AY:0.089 AZ:-0.943 | GX:-2.397 GY:-4.565 GZ:-1.542 | T:25.19 C
I (183435) mpu6050 stream: AX:-0.146 AY:0.100 AZ:-0.940 | GX:-2.962 GY:-4.611 GZ:-1.466 | T:25.28 C
I (183445) mpu6050 stream: AX:-0.145 AY:0.091 AZ:-0.947 | GX:-3.084 GY:-4.595 GZ:-1.679 | T:25.09 C
I (183455) mpu6050 stream: AX:-0.137 AY:0.101 AZ:-0.946 | GX:-2.718 GY:-4.305 GZ:-1.328 | T:25.14 C
I (183465) mpu6050 stream: AX:-0.141 AY:0.092 AZ:-0.934 | GX:-2.519 GY:-5.038 GZ:-1.389 | T:25.24 C
I (183475) mpu6050 stream: AX:-0.141 AY:0.095 AZ:-0.929 | GX:-2.595 GY:-6.046 GZ:-1.405 | T:25.14 C
I (183485) mpu6050 stream: AX:-0.135 AY:0.103 AZ:-0.921 | GX:-2.901 GY:-6.687 GZ:-1.679 | T:25.24 C
I (183495) mpu6050 stream: AX:-0.146 AY:0.105 AZ:-0.921 | GX:-2.733 GY:-8.000 GZ:-1.557 | T:25.05 C
I (183505) mpu6050 stream: AX:-0.156 AY:0.113 AZ:-0.941 | GX:-3.267 GY:-8.305 GZ:-1.542 | T:25.24 C
I (183515) mpu6050 stream: AX:-0.166 AY:0.111 AZ:-0.952 | GX:-3.344 GY:-7.786 GZ:-1.298 | T:25.14 C
I (183525) mpu6050 stream: AX:-0.177 AY:0.109 AZ:-0.965 | GX:-2.977 GY:-6.962 GZ:-0.992 | T:25.24 C
I (183535) mpu6050 stream: AX:-0.172 AY:0.117 AZ:-0.960 | GX:-2.260 GY:-5.817 GZ:-0.779 | T:25.14 C
I (183545) mpu6050 stream: AX:-0.162 AY:0.115 AZ:-0.954 | GX:-1.466 GY:-4.870 GZ:-0.656 | T:25.24 C
