I (664075) mpu6050 stream: AX:0.047 AY:0.097 AZ:-0.972 | GX:0.275 GY:-0.824 GZ:0.763 | T:25.00 C
I (664085) mpu6050 stream: AX:0.052 AY:0.102 AZ:-0.967 | GX:-0.214 GY:-0.168 GZ:0.779 | T:25.00 C
I (664095) mpu6050 stream: AX:0.051 AY:0.100 AZ:-0.967 | GX:-0.076 GY:0.214 GZ:0.595 | T:25.00 C
I (664105) mpu6050 stream: AX:0.051 AY:0.108 AZ:-0.959 | GX:0.244 GY:0.214 GZ:0.733 | T:25.00 C
I (664115) mpu6050 stream: AX:0.050 AY:0.111 AZ:-0.960 | GX:0.748 GY:0.168 GZ:1.130 | T:25.00 C
I (664125) mpu6050 stream: AX:0.051 AY:0.107 AZ:-0.971 | GX:0.962 GY:0.137 GZ:1.176 | T:25.09 C
I (664135) mpu6050 stream: AX:0.046 AY:0.101 AZ:-0.959 | GX:0.855 GY:0.458 GZ:1.237 | T:25.00 C
I (664145) mpu6050 stream: AX:0.049 AY:0.100 AZ:-0.954 | GX:0.458 GY:0.687 GZ:0.916 | T:25.00 C
I (664155) mpu6050 stream: AX:0.045 AY:0.095 AZ:-0.949 | GX:0.214 GY:0.473 GZ:0.595 | T:25.00 C
I (664165) mpu6050 stream: AX:0.051 AY:0.100 AZ:-0.944 | GX:0.046 GY:0.473 GZ:0.595 | T:25.00 C
I (664175) mpu6050 stream: AX:0.053 AY:0.105 AZ:-0.946 | GX:0.321 GY:0.321 GZ:0.672 | T:24.95 C
I (664185) mpu6050 stream: AX:0.050 AY:0.104 AZ:-0.951 | GX:0.336 GY:0.107 GZ:0.733 | T:25.05 C
I (664195) mpu6050 stream: AX:0.052 AY:0.107 AZ:-0.965 | GX:0.366 GY:0.168 GZ:0.947 | T:25.05 C
I (664205) mpu6050 stream: AX:0.054 AY:0.108 AZ:-0.959 | GX:0.412 GY:0.351 GZ:0.992 | T:24.95 C
I (664215) mpu6050 stream: AX:0.050 AY:0.106 AZ:-0.967 | GX:0.550 GY:0.687 GZ:1.313 | T:24.95 C
I (664225) mpu6050 stream: AX:0.059 AY:0.110 AZ:-0.952 | GX:0.763 GY:0.855 GZ:1.237 | T:24.95 C
I (664235) mpu6050 stream: AX:0.052 AY:0.111 AZ:-0.959 | GX:0.794 GY:0.840 GZ:1.328 | T:24.95 C
I (664245) mpu6050 stream: AX:0.052 AY:0.098 AZ:-0.972 | GX:0.702 GY:0.855 GZ:1.282 | T:25.05 C
I (664255) mpu6050 stream: AX:0.062 AY:0.101 AZ:-0.967 | GX:0.565 GY:0.534 GZ:1.130 | T:24.95 C
I (664265) mpu6050 stream: AX:0.056 AY:0.103 AZ:-0.958 | GX:0.443 GY:0.305 GZ:1.191 | T:24.95 C
I (664275) mpu6050 stream: AX:0.062 AY:0.099 AZ:-0.956 | GX:0.550 GY:0.290 GZ:1.206 | T:24.95 C
I (664285) mpu6050 stream: AX:0.053 AY:0.098 AZ:-0.954 | GX:0.901 GY:-0.046 GZ:1.282 | T:25.05 C
I (664295) mpu6050 stream: AX:0.056 AY:0.102 AZ:-0.955 | GX:0.870 GY:0.031 GZ:1.328 | T:24.95 C
I (664305) mpu6050 stream: AX:0.054 AY:0.096 AZ:-0.960 | GX:1.038 GY:-0.137 GZ:1.389 | T:24.95 C
I (664315) mpu6050 stream: AX:0.051 AY:0.104 AZ:-0.960 | GX:0.977 GY:0.015 GZ:1.542 | T:24.95 C
I (664325) mpu6050 stream: AX:0.053 AY:0.103 AZ:-0.955 | GX:1.023 GY:0.015 GZ:1.695 | T:24.95 C
I (664335) mpu6050 stream: AX:0.051 AY:0.097 AZ:-0.958 | GX:0.885 GY:0.366 GZ:1.786 | T:25.05 C
I (664345) mpu6050 stream: AX:0.051 AY:0.099 AZ:-0.955 | GX:0.794 GY:0.397 GZ:1.847 | T:25.05 C
I (664355) mpu6050 stream: AX:0.051 AY:0.095 AZ:-0.956 | GX:0.595 GY:0.290 GZ:1.969 | T:24.95 C
I (664365) mpu6050 stream: AX:0.052 AY:0.095 AZ:-0.956 | GX:0.656 GY:0.489 GZ:1.985 | T:24.95 C
I (664375) mpu6050 stream: AX:0.055 AY:0.100 AZ:-0.951 | GX:0.519 GY:0.214 GZ:1.817 | T:24.95 C
I (664385) mpu6050 stream: AX:0.059 AY:0.095 AZ:-0.948 | GX:0.519 GY:0.137 GZ:1.740 | T:25.05 C
I (664395) mpu6050 stream: AX:0.056 AY:0.095 AZ:-0.960 | GX:0.519 GY:0.000 GZ:1.863 | T:25.05 C
I (664405) mpu6050 stream: AX:0.054 AY:0.093 AZ:-0.956 | GX:0.458 GY:0.046 GZ:1.710 | T:25.05 C
I (664415) mpu6050 stream: AX:0.048 AY:0.094 AZ:-0.959 | GX:0.489 GY:-0.015 GZ:1.573 | T:25.05 C
I (664425) mpu6050 stream: AX:0.050 AY:0.097 AZ:-0.965 | GX:0.550 GY:0.183 GZ:1.557 | T:24.95 C
I (664435) mpu6050 stream: AX:0.055 AY:0.096 AZ:-0.962 | GX:0.550 GY:-0.214 GZ:1.344 | T:25.00 C
I (664445) mpu6050 stream: AX:0.052 AY:0.095 AZ:-0.972 | GX:0.458 GY:0.168 GZ:1.374 | T:25.00 C
I (664455) mpu6050 stream: AX:0.051 AY:0.098 AZ:-0.960 | GX:0.473 GY:0.489 GZ:1.557 | T:25.09 C
I (664465) mpu6050 stream: AX:0.061 AY:0.098 AZ:-0.966 | GX:0.427 GY:0.275 GZ:1.481 | T:25.00 C
I (664475) mpu6050 stream: AX:0.052 AY:0.097 AZ:-0.960 | GX:0.458 GY:0.504 GZ:1.420 | T:25.00 C
I (664485) mpu6050 stream: AX:0.050 AY:0.092 AZ:-0.956 | GX:0.443 GY:0.763 GZ:1.496 | T:25.00 C
I (664495) mpu6050 stream: AX:0.050 AY:0.096 AZ:-0.961 | GX:0.092 GY:0.595 GZ:1.374 | T:25.00 C
I (664505) mpu6050 stream: AX:0.058 AY:0.098 AZ:-0.948 | GX:0.000 GY:0.229 GZ:1.313 | T:25.00 C
