I (219165) mpu6050 stream: AX:-0.253 AY:0.116 AZ:-0.911 | GX:-0.840 GY:0.977 GZ:0.580 | T:25.28 C
I (219175) mpu6050 stream: AX:-0.255 AY:0.119 AZ:-0.922 | GX:0.489 GY:0.275 GZ:0.534 | T:25.19 C
I (219185) mpu6050 stream: AX:-0.252 AY:0.110 AZ:-0.911 | GX:1.496 GY:0.076 GZ:0.458 | T:25.19 C
I (219195) mpu6050 stream: AX:-0.250 AY:0.103 AZ:-0.906 | GX:1.710 GY:0.092 GZ:0.702 | T:25.19 C
I (219205) mpu6050 stream: AX:-0.255 AY:0.101 AZ:-0.908 | GX:0.977 GY:-0.763 GZ:0.748 | T:25.19 C
I (219215) mpu6050 stream: AX:-0.263 AY:0.106 AZ:-0.928 | GX:-0.198 GY:-0.427 GZ:0.779 | T:25.19 C
I (219225) mpu6050 stream: AX:-0.274 AY:0.107 AZ:-0.929 | GX:-0.992 GY:-0.046 GZ:0.870 | T:25.28 C
I (219235) mpu6050 stream: AX:-0.270 AY:0.112 AZ:-0.930 | GX:-0.885 GY:0.672 GZ:0.962 | T:25.19 C
I (219245) mpu6050 stream: AX:-0.269 AY:0.107 AZ:-0.924 | GX:-0.275 GY:1.099 GZ:1.145 | T:25.19 C
I (219255) mpu6050 stream: AX:-0.268 AY:0.104 AZ:-0.919 | GX:0.397 GY:1.313 GZ:1.298 | T:25.38 C
I (219265) mpu6050 stream: AX:-0.263 AY:0.107 AZ:-0.916 | GX:0.366 GY:1.237 GZ:1.374 | T:25.19 C
I (219275) mpu6050 stream: AX:-0.258 AY:0.110 AZ:-0.906 | GX:0.061 GY:1.008 GZ:1.435 | T:25.28 C
I (219285) mpu6050 stream: AX:-0.262 AY:0.104 AZ:-0.902 | GX:-0.534 GY:0.656 GZ:1.405 | T:25.28 C
I (219295) mpu6050 stream: AX:-0.261 AY:0.112 AZ:-0.913 | GX:-0.718 GY:0.260 GZ:1.374 | T:25.19 C
I (219305) mpu6050 stream: AX:-0.269 AY:0.110 AZ:-0.930 | GX:-0.870 GY:0.198 GZ:1.237 | T:25.19 C
I (219315) mpu6050 stream: AX:-0.273 AY:0.108 AZ:-0.935 | GX:-1.008 GY:1.374 GZ:1.267 | T:25.28 C
I (219325) mpu6050 stream: AX:-0.272 AY:0.108 AZ:-0.929 | GX:-0.595 GY:2.137 GZ:1.130 | T:25.19 C
I (219335) mpu6050 stream: AX:-0.271 AY:0.109 AZ:-0.919 | GX:-0.107 GY:2.931 GZ:1.069 | T:25.28 C
I (219345) mpu6050 stream: AX:-0.271 AY:0.115 AZ:-0.919 | GX:0.321 GY:2.733 GZ:0.992 | T:25.28 C
I (219355) mpu6050 stream: AX:-0.270 AY:0.115 AZ:-0.924 | GX:0.260 GY:2.794 GZ:0.794 | T:25.28 C
I (219365) mpu6050 stream: AX:-0.264 AY:0.109 AZ:-0.914 | GX:-0.153 GY:3.130 GZ:0.748 | T:25.19 C
I (219375) mpu6050 stream: AX:-0.270 AY:0.115 AZ:-0.922 | GX:-0.519 GY:2.519 GZ:0.947 | T:25.19 C
