I (317695) mpu6050 stream: AX:-0.129 AY:0.113 AZ:-0.944 | GX:0.321 GY:0.443 GZ:1.267 | T:25.28 C
I (317705) mpu6050 stream: AX:-0.131 AY:0.108 AZ:-0.949 | GX:0.260 GY:0.244 GZ:1.527 | T:25.28 C
I (317715) mpu6050 stream: AX:-0.130 AY:0.114 AZ:-0.948 | GX:0.046 GY:0.168 GZ:1.542 | T:25.28 C
I (317725) mpu6050 stream: AX:-0.123 AY:0.113 AZ:-0.946 | GX:-0.046 GY:0.366 GZ:1.450 | T:25.28 C
I (317735) mpu6050 stream: AX:-0.138 AY:0.107 AZ:-0.949 | GX:-0.092 GY:0.443 GZ:1.405 | T:25.28 C
I (317745) mpu6050 stream: AX:-0.132 AY:0.105 AZ:-0.952 | GX:0.153 GY:0.443 GZ:1.557 | T:25.28 C
I (317755) mpu6050 stream: AX:-0.129 AY:0.107 AZ:-0.951 | GX:0.214 GY:0.687 GZ:1.603 | T:25.19 C
I (317765) mpu6050 stream: AX:-0.126 AY:0.110 AZ:-0.952 | GX:0.061 GY:0.580 GZ:1.191 | T:25.28 C
I (317775) mpu6050 stream: AX:-0.128 AY:0.104 AZ:-0.950 | GX:-0.412 GY:0.824 GZ:1.115 | T:25.19 C
I (317785) mpu6050 stream: AX:-0.124 AY:0.111 AZ:-0.956 | GX:-0.931 GY:1.145 GZ:1.023 | T:25.19 C
I (317795) mpu6050 stream: AX:-0.122 AY:0.116 AZ:-0.952 | GX:-1.130 GY:1.206 GZ:0.855 | T:25.19 C
I (317805) mpu6050 stream: AX:-0.119 AY:0.126 AZ:-0.936 | GX:-0.260 GY:0.763 GZ:0.885 | T:25.19 C
I (317815) mpu6050 stream: AX:-0.122 AY:0.122 AZ:-0.932 | GX:1.145 GY:0.015 GZ:0.855 | T:25.28 C
I (317825) mpu6050 stream: AX:-0.128 AY:0.112 AZ:-0.940 | GX:2.122 GY:-0.718 GZ:0.947 | T:25.28 C
I (317835) mpu6050 stream: AX:-0.130 AY:0.111 AZ:-0.941 | GX:2.107 GY:-0.534 GZ:0.977 | T:25.28 C
I (317845) mpu6050 stream: AX:-0.129 AY:0.108 AZ:-0.951 | GX:1.206 GY:-0.534 GZ:1.130 | T:25.19 C
I (317855) mpu6050 stream: AX:-0.129 AY:0.112 AZ:-0.943 | GX:0.092 GY:-0.611 GZ:0.931 | T:25.28 C
I (317865) mpu6050 stream: AX:-0.134 AY:0.115 AZ:-0.947 | GX:-0.733 GY:-0.519 GZ:1.084 | T:25.19 C
I (317875) mpu6050 stream: AX:-0.124 AY:0.112 AZ:-0.944 | GX:-0.885 GY:-0.855 GZ:1.176 | T:25.19 C
I (317885) mpu6050 stream: AX:-0.138 AY:0.120 AZ:-0.941 | GX:-0.656 GY:-1.084 GZ:1.496 | T:25.28 C
I (317895) mpu6050 stream: AX:-0.135 AY:0.114 AZ:-0.945 | GX:-0.076 GY:-1.221 GZ:1.603 | T:25.38 C
I (317905) mpu6050 stream: AX:-0.131 AY:0.113 AZ:-0.940 | GX:0.092 GY:-0.992 GZ:1.786 | T:25.28 C
I (317915) mpu6050 stream: AX:-0.136 AY:0.121 AZ:-0.946 | GX:0.183 GY:-0.947 GZ:1.664 | T:25.19 C
I (317925) mpu6050 stream: AX:-0.136 AY:0.111 AZ:-0.942 | GX:0.504 GY:-0.809 GZ:1.847 | T:25.19 C
I (317935) mpu6050 stream: AX:-0.139 AY:0.111 AZ:-0.942 | GX:0.336 GY:-1.084 GZ:1.588 | T:25.28 C
I (317945) mpu6050 stream: AX:-0.141 AY:0.110 AZ:-0.953 | GX:-0.137 GY:-0.947 GZ:1.435 | T:25.28 C
I (317955) mpu6050 stream: AX:-0.139 AY:0.109 AZ:-0.950 | GX:-0.595 GY:-0.611 GZ:0.962 | T:25.24 C
I (317965) mpu6050 stream: AX:-0.132 AY:0.109 AZ:-0.954 | GX:-0.870 GY:-0.244 GZ:0.763 | T:25.28 C
I (317975) mpu6050 stream: AX:-0.141 AY:0.108 AZ:-0.955 | GX:-0.641 GY:-0.275 GZ:0.534 | T:25.33 C
I (317985) mpu6050 stream: AX:-0.132 AY:0.110 AZ:-0.954 | GX:-0.275 GY:-0.137 GZ:0.305 | T:25.24 C
I (317995) mpu6050 stream: AX:-0.142 AY:0.115 AZ:-0.953 | GX:0.061 GY:-0.198 GZ:0.260 | T:25.33 C
I (318005) mpu6050 stream: AX:-0.130 AY:0.109 AZ:-0.949 | GX:0.305 GY:-0.076 GZ:0.473 | T:25.24 C
I (318015) mpu6050 stream: AX:-0.134 AY:0.107 AZ:-0.953 | GX:0.015 GY:0.031 GZ:0.336 | T:25.14 C
I (318025) mpu6050 stream: AX:-0.142 AY:0.104 AZ:-0.951 | GX:-0.656 GY:0.122 GZ:0.382 | T:25.14 C
I (318035) mpu6050 stream: AX:-0.131 AY:0.116 AZ:-0.957 | GX:-1.053 GY:0.427 GZ:0.489 | T:25.24 C
I (318045) mpu6050 stream: AX:-0.136 AY:0.124 AZ:-0.949 | GX:-0.763 GY:0.061 GZ:0.427 | T:25.24 C
I (318055) mpu6050 stream: AX:-0.133 AY:0.122 AZ:-0.944 | GX:-0.046 GY:-0.229 GZ:0.550 | T:25.24 C
I (318065) mpu6050 stream: AX:-0.134 AY:0.122 AZ:-0.948 | GX:0.748 GY:-0.046 GZ:1.053 | T:25.24 C
I (318075) mpu6050 stream: AX:-0.138 AY:0.122 AZ:-0.952 | GX:1.145 GY:0.076 GZ:1.344 | T:25.33 C
