I (335335) mpu6050 stream: AX:-0.150 AY:0.100 AZ:-0.940 | GX:0.031 GY:0.351 GZ:2.000 | T:25.14 C
I (335345) mpu6050 stream: AX:-0.153 AY:0.100 AZ:-0.953 | GX:0.153 GY:0.427 GZ:1.969 | T:25.14 C
I (335355) mpu6050 stream: AX:-0.146 AY:0.098 AZ:-0.944 | GX:-0.092 GY:0.412 GZ:1.908 | T:25.14 C
I (335365) mpu6050 stream: AX:-0.148 AY:0.098 AZ:-0.952 | GX:0.076 GY:0.504 GZ:1.725 | T:25.33 C
I (335375) mpu6050 stream: AX:-0.146 AY:0.101 AZ:-0.949 | GX:0.260 GY:0.595 GZ:2.031 | T:25.24 C
I (335385) mpu6050 stream: AX:-0.146 AY:0.100 AZ:-0.948 | GX:0.351 GY:0.718 GZ:1.679 | T:25.24 C
I (335395) mpu6050 stream: AX:-0.141 AY:0.104 AZ:-0.952 | GX:0.244 GY:0.687 GZ:1.817 | T:25.24 C
I (335405) mpu6050 stream: AX:-0.139 AY:0.095 AZ:-0.942 | GX:0.198 GY:0.656 GZ:1.634 | T:25.14 C
I (335415) mpu6050 stream: AX:-0.142 AY:0.100 AZ:-0.942 | GX:-0.122 GY:0.748 GZ:1.664 | T:25.33 C
I (335425) mpu6050 stream: AX:-0.152 AY:0.096 AZ:-0.940 | GX:-0.321 GY:0.336 GZ:1.603 | T:25.24 C
I (335435) mpu6050 stream: AX:-0.140 AY:0.098 AZ:-0.943 | GX:-0.397 GY:0.748 GZ:1.527 | T:25.24 C
I (335445) mpu6050 stream: AX:-0.140 AY:0.099 AZ:-0.941 | GX:-0.427 GY:0.397 GZ:1.664 | T:25.24 C
I (335455) mpu6050 stream: AX:-0.140 AY:0.101 AZ:-0.940 | GX:-0.412 GY:0.214 GZ:1.557 | T:25.24 C
I (335465) mpu6050 stream: AX:-0.145 AY:0.098 AZ:-0.944 | GX:-0.473 GY:0.076 GZ:1.282 | T:25.14 C
I (335475) mpu6050 stream: AX:-0.142 AY:0.101 AZ:-0.939 | GX:-0.672 GY:0.015 GZ:1.328 | T:25.24 C
I (335485) mpu6050 stream: AX:-0.144 AY:0.100 AZ:-0.938 | GX:-0.702 GY:0.122 GZ:1.328 | T:25.14 C
I (335495) mpu6050 stream: AX:-0.140 AY:0.102 AZ:-0.947 | GX:-0.718 GY:-0.046 GZ:0.885 | T:25.24 C
I (335505) mpu6050 stream: AX:-0.136 AY:0.103 AZ:-0.952 | GX:-0.580 GY:0.183 GZ:0.977 | T:25.24 C
I (335515) mpu6050 stream: AX:-0.142 AY:0.102 AZ:-0.947 | GX:-0.397 GY:0.015 GZ:0.702 | T:25.24 C
I (335525) mpu6050 stream: AX:-0.149 AY:0.108 AZ:-0.944 | GX:-0.321 GY:0.290 GZ:0.443 | T:25.24 C
I (335535) mpu6050 stream: AX:-0.145 AY:0.109 AZ:-0.948 | GX:-0.214 GY:0.122 GZ:0.519 | T:25.24 C
I (335545) mpu6050 stream: AX:-0.147 AY:0.104 AZ:-0.943 | GX:-0.046 GY:0.031 GZ:0.427 | T:25.24 C
I (335555) mpu6050 stream: AX:-0.148 AY:0.102 AZ:-0.949 | GX:0.107 GY:-0.122 GZ:0.382 | T:25.24 C
I (335565) mpu6050 stream: AX:-0.150 AY:0.101 AZ:-0.945 | GX:0.107 GY:0.000 GZ:0.290 | T:25.14 C
I (335575) mpu6050 stream: AX:-0.147 AY:0.104 AZ:-0.945 | GX:0.137 GY:0.061 GZ:0.336 | T:25.33 C
I (335585) mpu6050 stream: AX:-0.144 AY:0.108 AZ:-0.938 | GX:-0.015 GY:0.137 GZ:0.443 | T:25.24 C
I (335595) mpu6050 stream: AX:-0.152 AY:0.099 AZ:-0.948 | GX:0.122 GY:0.229 GZ:0.504 | T:25.24 C
I (335605) mpu6050 stream: AX:-0.151 AY:0.103 AZ:-0.955 | GX:-0.015 GY:0.595 GZ:0.672 | T:25.24 C
I (335615) mpu6050 stream: AX:-0.140 AY:0.111 AZ:-0.953 | GX:0.092 GY:0.687 GZ:0.992 | T:25.19 C
I (335625) mpu6050 stream: AX:-0.144 AY:0.101 AZ:-0.960 | GX:0.137 GY:0.901 GZ:0.748 | T:25.14 C
I (335635) mpu6050 stream: AX:-0.145 AY:0.105 AZ:-0.948 | GX:0.183 GY:1.206 GZ:1.023 | T:25.19 C
I (335645) mpu6050 stream: AX:-0.145 AY:0.104 AZ:-0.947 | GX:0.321 GY:1.313 GZ:1.160 | T:25.19 C
I (335655) mpu6050 stream: AX:-0.145 AY:0.101 AZ:-0.946 | GX:0.458 GY:1.115 GZ:0.992 | T:25.19 C
I (335665) mpu6050 stream: AX:-0.137 AY:0.097 AZ:-0.946 | GX:0.061 GY:1.511 GZ:1.237 | T:25.19 C
I (335675) mpu6050 stream: AX:-0.139 AY:0.093 AZ:-0.946 | GX:-0.076 GY:1.527 GZ:0.870 | T:25.19 C
I (335685) mpu6050 stream: AX:-0.138 AY:0.097 AZ:-0.954 | GX:-0.351 GY:1.420 GZ:0.748 | T:25.28 C
I (335695) mpu6050 stream: AX:-0.141 AY:0.100 AZ:-0.953 | GX:-1.008 GY:1.405 GZ:0.672 | T:25.19 C
I (335705) mpu6050 stream: AX:-0.134 AY:0.112 AZ:-0.959 | GX:-1.282 GY:1.527 GZ:0.595 | T:25.19 C
I (335715) mpu6050 stream: AX:-0.138 AY:0.115 AZ:-0.943 | GX:-0.397 GY:1.267 GZ:0.550 | T:25.28 C
I (335725) mpu6050 stream: AX:-0.138 AY:0.110 AZ:-0.939 | GX:1.252 GY:0.641 GZ:0.718 | T:25.19 C
I (335735) mpu6050 stream: AX:-0.131 AY:0.103 AZ:-0.933 | GX:2.351 GY:-0.031 GZ:0.824 | T:25.19 C
I (335745) mpu6050 stream: AX:-0.139 AY:0.103 AZ:-0.934 | GX:2.565 GY:-0.076 GZ:0.840 | T:25.28 C
I (335755) mpu6050 stream: AX:-0.141 AY:0.097 AZ:-0.950 | GX:1.435 GY:-0.061 GZ:0.809 | T:25.38 C
I (335765) mpu6050 stream: AX:-0.142 AY:0.103 AZ:-0.946 | GX:0.076 GY:-0.168 GZ:1.115 | T:25.28 C
I (335775) mpu6050 stream: AX:-0.140 AY:0.105 AZ:-0.938 | GX:-0.489 GY:-0.351 GZ:1.328 | T:25.28 C
I (335785) mpu6050 stream: AX:-0.143 AY:0.104 AZ:-0.929 | GX:-0.153 GY:-0.718 GZ:1.267 | T:25.24 C
I (335795) mpu6050 stream: AX:-0.141 AY:0.109 AZ:-0.945 | GX:0.626 GY:-0.855 GZ:1.511 | T:25.19 C
I (335805) mpu6050 stream: AX:-0.147 AY:0.107 AZ:-0.947 | GX:1.282 GY:-0.870 GZ:1.817 | T:25.19 C
I (335815) mpu6050 stream: AX:-0.146 AY:0.098 AZ:-0.937 | GX:1.450 GY:-0.656 GZ:1.985 | T:25.19 C
I (335825) mpu6050 stream: AX:-0.143 AY:0.100 AZ:-0.942 | GX:1.298 GY:-0.718 GZ:1.954 | T:25.19 C
I (335835) mpu6050 stream: AX:-0.146 AY:0.095 AZ:-0.942 | GX:0.870 GY:-0.824 GZ:1.969 | T:25.19 C
I (335845) mpu6050 stream: AX:-0.143 AY:0.089 AZ:-0.942 | GX:0.275 GY:-0.947 GZ:1.802 | T:25.28 C
I (335855) mpu6050 stream: AX:-0.146 AY:0.090 AZ:-0.948 | GX:0.153 GY:-1.221 GZ:1.695 | T:25.28 C
I (335865) mpu6050 stream: AX:-0.153 AY:0.085 AZ:-0.953 | GX:0.046 GY:-1.008 GZ:1.588 | T:25.09 C
I (335875) mpu6050 stream: AX:-0.147 AY:0.092 AZ:-0.950 | GX:-0.122 GY:-0.702 GZ:1.282 | T:25.28 C
I (335885) mpu6050 stream: AX:-0.150 AY:0.099 AZ:-0.951 | GX:-0.153 GY:-0.733 GZ:1.084 | T:25.19 C
I (335895) mpu6050 stream: AX:-0.144 AY:0.089 AZ:-0.937 | GX:-0.412 GY:-0.931 GZ:0.824 | T:25.19 C
I (335905) mpu6050 stream: AX:-0.147 AY:0.099 AZ:-0.945 | GX:-0.336 GY:-0.626 GZ:0.427 | T:25.19 C
I (335915) mpu6050 stream: AX:-0.153 AY:0.096 AZ:-0.946 | GX:-0.214 GY:-0.840 GZ:0.260 | T:25.19 C
I (335925) mpu6050 stream: AX:-0.158 AY:0.108 AZ:-0.962 | GX:-0.092 GY:-0.275 GZ:0.198 | T:25.19 C
I (335935) mpu6050 stream: AX:-0.147 AY:0.100 AZ:-0.951 | GX:-0.229 GY:-0.321 GZ:0.107 | T:25.19 C
I (335945) mpu6050 stream: AX:-0.156 AY:0.101 AZ:-0.951 | GX:-0.550 GY:0.504 GZ:-0.046 | T:25.28 C
I (335955) mpu6050 stream: AX:-0.146 AY:0.110 AZ:-0.949 | GX:-0.489 GY:0.611 GZ:0.076 | T:25.19 C
I (335965) mpu6050 stream: AX:-0.148 AY:0.108 AZ:-0.945 | GX:-0.061 GY:0.336 GZ:-0.092 | T:25.19 C
I (335975) mpu6050 stream: AX:-0.151 AY:0.105 AZ:-0.945 | GX:0.458 GY:0.519 GZ:0.351 | T:25.19 C
I (335985) mpu6050 stream: AX:-0.152 AY:0.100 AZ:-0.945 | GX:0.611 GY:0.794 GZ:0.489 | T:25.28 C
I (335995) mpu6050 stream: AX:-0.149 AY:0.101 AZ:-0.946 | GX:0.656 GY:1.069 GZ:0.672 | T:25.19 C
I (336005) mpu6050 stream: AX:-0.150 AY:0.096 AZ:-0.946 | GX:0.626 GY:1.160 GZ:0.824 | T:25.28 C
