I (225225) mpu6050 stream: AX:-0.173 AY:0.100 AZ:-0.938 | GX:0.351 GY:0.626 GZ:0.061 | T:25.19 C
I (225235) mpu6050 stream: AX:-0.180 AY:0.098 AZ:-0.939 | GX:1.511 GY:0.183 GZ:0.137 | T:25.19 C
I (225245) mpu6050 stream: AX:-0.188 AY:0.094 AZ:-0.948 | GX:1.649 GY:0.473 GZ:0.397 | T:25.19 C
I (225255) mpu6050 stream: AX:-0.179 AY:0.092 AZ:-0.937 | GX:0.809 GY:0.885 GZ:0.550 | T:25.28 C
I (225265) mpu6050 stream: AX:-0.180 AY:0.086 AZ:-0.939 | GX:-0.458 GY:0.931 GZ:0.427 | T:25.28 C
I (225275) mpu6050 stream: AX:-0.180 AY:0.095 AZ:-0.933 | GX:-1.145 GY:0.611 GZ:0.534 | T:25.19 C
I (225285) mpu6050 stream: AX:-0.179 AY:0.098 AZ:-0.948 | GX:-1.450 GY:0.885 GZ:0.641 | T:25.19 C
I (225295) mpu6050 stream: AX:-0.180 AY:0.096 AZ:-0.938 | GX:-1.176 GY:0.779 GZ:0.733 | T:25.28 C
I (225305) mpu6050 stream: AX:-0.180 AY:0.094 AZ:-0.935 | GX:-0.809 GY:0.870 GZ:0.962 | T:25.28 C
I (225315) mpu6050 stream: AX:-0.186 AY:0.098 AZ:-0.934 | GX:-0.260 GY:0.672 GZ:1.084 | T:25.28 C
I (225325) mpu6050 stream: AX:-0.171 AY:0.093 AZ:-0.926 | GX:-0.092 GY:0.443 GZ:1.084 | T:25.19 C
I (225335) mpu6050 stream: AX:-0.177 AY:0.094 AZ:-0.937 | GX:-0.076 GY:0.321 GZ:1.160 | T:25.28 C
I (225345) mpu6050 stream: AX:-0.178 AY:0.099 AZ:-0.939 | GX:-0.260 GY:0.382 GZ:1.191 | T:25.19 C
I (225355) mpu6050 stream: AX:-0.177 AY:0.095 AZ:-0.946 | GX:-0.519 GY:0.122 GZ:1.053 | T:25.19 C
I (225365) mpu6050 stream: AX:-0.180 AY:0.090 AZ:-0.945 | GX:-0.565 GY:0.473 GZ:0.962 | T:25.28 C
I (225375) mpu6050 stream: AX:-0.178 AY:0.088 AZ:-0.939 | GX:-0.443 GY:0.458 GZ:0.626 | T:25.19 C
I (225385) mpu6050 stream: AX:-0.175 AY:0.096 AZ:-0.940 | GX:-0.458 GY:0.336 GZ:0.473 | T:25.28 C
I (225395) mpu6050 stream: AX:-0.173 AY:0.097 AZ:-0.944 | GX:-0.550 GY:0.107 GZ:0.519 | T:25.28 C
I (225405) mpu6050 stream: AX:-0.175 AY:0.099 AZ:-0.939 | GX:-0.321 GY:0.183 GZ:0.427 | T:25.19 C
I (225415) mpu6050 stream: AX:-0.171 AY:0.094 AZ:-0.934 | GX:-0.061 GY:-0.321 GZ:0.382 | T:25.19 C
I (225425) mpu6050 stream: AX:-0.176 AY:0.090 AZ:-0.943 | GX:-0.061 GY:-0.718 GZ:0.565 | T:25.19 C
I (225435) mpu6050 stream: AX:-0.174 AY:0.097 AZ:-0.947 | GX:-0.519 GY:-0.779 GZ:0.504 | T:25.19 C
I (225445) mpu6050 stream: AX:-0.183 AY:0.098 AZ:-0.958 | GX:-1.099 GY:-0.260 GZ:0.779 | T:25.28 C
I (225455) mpu6050 stream: AX:-0.178 AY:0.105 AZ:-0.953 | GX:-1.038 GY:-0.168 GZ:0.534 | T:25.19 C
I (225465) mpu6050 stream: AX:-0.175 AY:0.099 AZ:-0.951 | GX:-0.382 GY:-0.168 GZ:1.099 | T:25.28 C
I (225475) mpu6050 stream: AX:-0.177 AY:0.102 AZ:-0.937 | GX:0.443 GY:0.000 GZ:1.130 | T:25.19 C
I (225485) mpu6050 stream: AX:-0.177 AY:0.098 AZ:-0.951 | GX:0.916 GY:0.275 GZ:1.420 | T:25.28 C
I (225495) mpu6050 stream: AX:-0.173 AY:0.095 AZ:-0.935 | GX:0.794 GY:0.153 GZ:1.420 | T:25.19 C
I (225505) mpu6050 stream: AX:-0.172 AY:0.088 AZ:-0.935 | GX:0.229 GY:0.504 GZ:1.405 | T:25.28 C
I (225515) mpu6050 stream: AX:-0.168 AY:0.088 AZ:-0.929 | GX:-0.382 GY:0.015 GZ:1.435 | T:25.24 C
I (225525) mpu6050 stream: AX:-0.170 AY:0.085 AZ:-0.929 | GX:-0.656 GY:-0.137 GZ:1.298 | T:25.24 C
I (225535) mpu6050 stream: AX:-0.172 AY:0.102 AZ:-0.930 | GX:-0.779 GY:-0.565 GZ:1.221 | T:25.24 C
I (225545) mpu6050 stream: AX:-0.171 AY:0.094 AZ:-0.927 | GX:-0.595 GY:-0.947 GZ:1.237 | T:25.24 C
I (225555) mpu6050 stream: AX:-0.175 AY:0.095 AZ:-0.945 | GX:-0.153 GY:-0.992 GZ:1.298 | T:25.24 C
I (225565) mpu6050 stream: AX:-0.174 AY:0.094 AZ:-0.935 | GX:0.595 GY:-1.099 GZ:1.389 | T:25.24 C
I (225575) mpu6050 stream: AX:-0.173 AY:0.092 AZ:-0.934 | GX:0.672 GY:-1.542 GZ:1.252 | T:25.24 C
I (225585) mpu6050 stream: AX:-0.180 AY:0.092 AZ:-0.940 | GX:0.473 GY:-1.527 GZ:1.267 | T:25.14 C
I (225595) mpu6050 stream: AX:-0.181 AY:0.092 AZ:-0.936 | GX:0.229 GY:-1.420 GZ:1.359 | T:25.24 C
I (225605) mpu6050 stream: AX:-0.180 AY:0.092 AZ:-0.939 | GX:-0.137 GY:-1.405 GZ:1.282 | T:25.24 C
I (225615) mpu6050 stream: AX:-0.179 AY:0.093 AZ:-0.943 | GX:-0.382 GY:-1.374 GZ:1.466 | T:25.14 C
I (225625) mpu6050 stream: AX:-0.186 AY:0.098 AZ:-0.951 | GX:-0.366 GY:-1.053 GZ:1.740 | T:25.14 C
I (225635) mpu6050 stream: AX:-0.181 AY:0.094 AZ:-0.944 | GX:-0.092 GY:-0.992 GZ:1.542 | T:25.24 C
I (225645) mpu6050 stream: AX:-0.182 AY:0.094 AZ:-0.938 | GX:0.107 GY:-0.840 GZ:1.740 | T:25.24 C
I (225655) mpu6050 stream: AX:-0.183 AY:0.094 AZ:-0.943 | GX:-0.061 GY:-0.916 GZ:1.832 | T:25.24 C
I (225665) mpu6050 stream: AX:-0.181 AY:0.091 AZ:-0.940 | GX:-0.092 GY:-0.916 GZ:1.908 | T:25.33 C
I (225675) mpu6050 stream: AX:-0.179 AY:0.090 AZ:-0.940 | GX:-0.153 GY:-1.221 GZ:1.695 | T:25.14 C
I (225685) mpu6050 stream: AX:-0.179 AY:0.088 AZ:-0.940 | GX:-0.244 GY:-1.481 GZ:1.603 | T:25.14 C
I (225695) mpu6050 stream: AX:-0.180 AY:0.091 AZ:-0.943 | GX:-0.397 GY:-1.603 GZ:1.588 | T:25.14 C
I (225705) mpu6050 stream: AX:-0.180 AY:0.088 AZ:-0.944 | GX:-0.382 GY:-1.649 GZ:1.618 | T:25.24 C
I (225715) mpu6050 stream: AX:-0.187 AY:0.085 AZ:-0.963 | GX:-0.687 GY:-1.450 GZ:1.298 | T:25.24 C
I (225725) mpu6050 stream: AX:-0.192 AY:0.098 AZ:-0.953 | GX:-0.840 GY:-0.962 GZ:1.191 | T:25.14 C
I (225735) mpu6050 stream: AX:-0.191 AY:0.093 AZ:-0.951 | GX:-0.672 GY:-0.382 GZ:0.977 | T:25.24 C
I (225745) mpu6050 stream: AX:-0.188 AY:0.092 AZ:-0.934 | GX:-0.351 GY:0.153 GZ:1.115 | T:25.24 C
I (225755) mpu6050 stream: AX:-0.181 AY:0.089 AZ:-0.938 | GX:-0.183 GY:0.626 GZ:0.916 | T:25.24 C
I (225765) mpu6050 stream: AX:-0.180 AY:0.093 AZ:-0.940 | GX:-0.168 GY:0.473 GZ:0.824 | T:25.24 C
I (225775) mpu6050 stream: AX:-0.177 AY:0.089 AZ:-0.928 | GX:-0.504 GY:0.183 GZ:0.656 | T:25.14 C
I (225785) mpu6050 stream: AX:-0.177 AY:0.090 AZ:-0.937 | GX:-0.870 GY:-0.168 GZ:0.504 | T:25.24 C
I (225795) mpu6050 stream: AX:-0.177 AY:0.093 AZ:-0.928 | GX:-1.160 GY:-0.809 GZ:0.275 | T:25.24 C
I (225805) mpu6050 stream: AX:-0.180 AY:0.096 AZ:-0.919 | GX:-1.145 GY:-1.420 GZ:0.244 | T:25.24 C
I (225815) mpu6050 stream: AX:-0.179 AY:0.101 AZ:-0.942 | GX:-0.962 GY:-1.420 GZ:0.198 | T:25.24 C
I (225825) mpu6050 stream: AX:-0.187 AY:0.103 AZ:-0.946 | GX:-0.809 GY:-1.298 GZ:0.412 | T:25.24 C
I (225835) mpu6050 stream: AX:-0.193 AY:0.103 AZ:-0.945 | GX:-0.595 GY:-1.069 GZ:0.443 | T:25.24 C
I (225845) mpu6050 stream: AX:-0.188 AY:0.104 AZ:-0.941 | GX:-0.031 GY:-0.687 GZ:0.595 | T:25.14 C
I (225855) mpu6050 stream: AX:-0.185 AY:0.103 AZ:-0.942 | GX:-0.031 GY:-0.733 GZ:0.763 | T:25.24 C
I (225865) mpu6050 stream: AX:-0.189 AY:0.101 AZ:-0.935 | GX:0.015 GY:-0.626 GZ:0.672 | T:25.24 C
I (225875) mpu6050 stream: AX:-0.183 AY:0.100 AZ:-0.938 | GX:-0.214 GY:-0.809 GZ:0.916 | T:25.24 C
I (225885) mpu6050 stream: AX:-0.184 AY:0.093 AZ:-0.937 | GX:-0.015 GY:-0.840 GZ:0.977 | T:25.24 C
I (225895) mpu6050 stream: AX:-0.182 AY:0.102 AZ:-0.940 | GX:-0.061 GY:-0.824 GZ:1.115 | T:25.14 C
