I (573775) mpu6050 stream: AX:-0.050 AY:0.114 AZ:-0.970 | GX:-0.504 GY:-0.153 GZ:1.069 | T:25.05 C
I (573785) mpu6050 stream: AX:-0.046 AY:0.113 AZ:-0.968 | GX:-0.122 GY:0.198 GZ:1.038 | T:24.86 C
I (573795) mpu6050 stream: AX:-0.054 AY:0.107 AZ:-0.964 | GX:-0.092 GY:0.733 GZ:1.160 | T:24.95 C
I (573805) mpu6050 stream: AX:-0.047 AY:0.109 AZ:-0.950 | GX:0.031 GY:0.626 GZ:1.191 | T:24.86 C
I (573815) mpu6050 stream: AX:-0.043 AY:0.106 AZ:-0.960 | GX:0.580 GY:0.687 GZ:1.237 | T:24.95 C
I (573825) mpu6050 stream: AX:-0.037 AY:0.105 AZ:-0.953 | GX:0.061 GY:0.168 GZ:1.237 | T:25.05 C
I (573835) mpu6050 stream: AX:-0.042 AY:0.105 AZ:-0.946 | GX:-0.137 GY:0.061 GZ:0.885 | T:25.05 C
I (573845) mpu6050 stream: AX:-0.041 AY:0.108 AZ:-0.952 | GX:-0.519 GY:-0.351 GZ:0.718 | T:24.95 C
I (573855) mpu6050 stream: AX:-0.043 AY:0.102 AZ:-0.943 | GX:-0.534 GY:-0.626 GZ:0.702 | T:24.95 C
I (573865) mpu6050 stream: AX:-0.045 AY:0.106 AZ:-0.950 | GX:-0.366 GY:-0.885 GZ:0.458 | T:24.95 C
I (573875) mpu6050 stream: AX:-0.043 AY:0.110 AZ:-0.950 | GX:-0.412 GY:-1.313 GZ:0.489 | T:24.95 C
I (573885) mpu6050 stream: AX:-0.051 AY:0.107 AZ:-0.955 | GX:-0.534 GY:-0.931 GZ:0.473 | T:24.95 C
I (573895) mpu6050 stream: AX:-0.052 AY:0.105 AZ:-0.965 | GX:-0.458 GY:-0.718 GZ:0.458 | T:24.95 C
I (573905) mpu6050 stream: AX:-0.046 AY:0.111 AZ:-0.961 | GX:-0.443 GY:-0.641 GZ:0.351 | T:24.86 C
I (573915) mpu6050 stream: AX:-0.050 AY:0.109 AZ:-0.960 | GX:-0.656 GY:-0.305 GZ:0.397 | T:24.95 C
I (573925) mpu6050 stream: AX:-0.050 AY:0.114 AZ:-0.967 | GX:-0.427 GY:-0.229 GZ:0.550 | T:24.95 C
I (573935) mpu6050 stream: AX:-0.053 AY:0.108 AZ:-0.960 | GX:-0.153 GY:-0.244 GZ:0.489 | T:24.95 C
I (573945) mpu6050 stream: AX:-0.056 AY:0.106 AZ:-0.965 | GX:-0.107 GY:-0.107 GZ:0.412 | T:24.95 C
I (573955) mpu6050 stream: AX:-0.042 AY:0.103 AZ:-0.954 | GX:0.015 GY:0.489 GZ:0.519 | T:24.95 C
I (573965) mpu6050 stream: AX:-0.040 AY:0.115 AZ:-0.962 | GX:-0.412 GY:0.565 GZ:0.427 | T:24.86 C
I (573975) mpu6050 stream: AX:-0.048 AY:0.105 AZ:-0.956 | GX:-1.206 GY:0.550 GZ:0.321 | T:24.95 C
I (573985) mpu6050 stream: AX:-0.041 AY:0.110 AZ:-0.962 | GX:-1.802 GY:0.122 GZ:0.244 | T:24.95 C
I (573995) mpu6050 stream: AX:-0.044 AY:0.117 AZ:-0.965 | GX:-1.557 GY:0.137 GZ:0.137 | T:24.95 C
I (574005) mpu6050 stream: AX:-0.042 AY:0.118 AZ:-0.951 | GX:-0.229 GY:-0.046 GZ:0.427 | T:24.95 C
I (574015) mpu6050 stream: AX:-0.052 AY:0.121 AZ:-0.944 | GX:1.527 GY:0.183 GZ:0.718 | T:24.95 C
I (574025) mpu6050 stream: AX:-0.044 AY:0.113 AZ:-0.944 | GX:2.504 GY:-0.015 GZ:1.053 | T:24.95 C
I (574035) mpu6050 stream: AX:-0.046 AY:0.104 AZ:-0.962 | GX:2.000 GY:0.061 GZ:0.824 | T:24.95 C
I (574045) mpu6050 stream: AX:-0.047 AY:0.102 AZ:-0.956 | GX:0.641 GY:-0.244 GZ:1.023 | T:24.95 C
I (574055) mpu6050 stream: AX:-0.044 AY:0.106 AZ:-0.950 | GX:-0.824 GY:-0.595 GZ:1.176 | T:24.95 C
I (574065) mpu6050 stream: AX:-0.041 AY:0.107 AZ:-0.953 | GX:-1.939 GY:-1.176 GZ:1.115 | T:24.95 C
I (574075) mpu6050 stream: AX:-0.043 AY:0.111 AZ:-0.951 | GX:-1.679 GY:-1.496 GZ:1.328 | T:24.95 C
I (574085) mpu6050 stream: AX:-0.049 AY:0.112 AZ:-0.954 | GX:-1.008 GY:-1.359 GZ:1.573 | T:24.95 C
I (574095) mpu6050 stream: AX:-0.046 AY:0.111 AZ:-0.954 | GX:0.122 GY:-1.191 GZ:1.557 | T:24.95 C
I (574105) mpu6050 stream: AX:-0.051 AY:0.106 AZ:-0.955 | GX:0.595 GY:-0.611 GZ:1.802 | T:24.95 C
I (574115) mpu6050 stream: AX:-0.046 AY:0.110 AZ:-0.953 | GX:0.687 GY:-0.748 GZ:1.802 | T:24.95 C
I (574125) mpu6050 stream: AX:-0.050 AY:0.100 AZ:-0.952 | GX:0.122 GY:-0.992 GZ:1.542 | T:24.95 C
I (574135) mpu6050 stream: AX:-0.053 AY:0.102 AZ:-0.962 | GX:-0.672 GY:-1.023 GZ:1.221 | T:24.95 C
I (574145) mpu6050 stream: AX:-0.048 AY:0.101 AZ:-0.958 | GX:-1.115 GY:-0.763 GZ:0.870 | T:24.86 C
I (574155) mpu6050 stream: AX:-0.052 AY:0.106 AZ:-0.950 | GX:-1.023 GY:-0.595 GZ:0.443 | T:24.86 C
I (574165) mpu6050 stream: AX:-0.056 AY:0.109 AZ:-0.955 | GX:-0.351 GY:-0.382 GZ:0.122 | T:24.95 C
I (574175) mpu6050 stream: AX:-0.052 AY:0.106 AZ:-0.962 | GX:0.443 GY:-0.473 GZ:-0.061 | T:25.05 C
I (574185) mpu6050 stream: AX:-0.055 AY:0.104 AZ:-0.966 | GX:0.687 GY:-0.550 GZ:0.107 | T:24.95 C
I (574195) mpu6050 stream: AX:-0.060 AY:0.107 AZ:-0.967 | GX:0.321 GY:-0.229 GZ:0.031 | T:24.91 C
I (574205) mpu6050 stream: AX:-0.049 AY:0.100 AZ:-0.960 | GX:-0.443 GY:0.198 GZ:-0.015 | T:24.91 C
I (574215) mpu6050 stream: AX:-0.055 AY:0.111 AZ:-0.963 | GX:-0.977 GY:0.290 GZ:0.092 | T:25.00 C
I (574225) mpu6050 stream: AX:-0.052 AY:0.117 AZ:-0.948 | GX:-0.794 GY:-0.076 GZ:0.046 | T:24.91 C
I (574235) mpu6050 stream: AX:-0.053 AY:0.116 AZ:-0.952 | GX:-0.198 GY:-0.382 GZ:0.427 | T:25.00 C
