I (610105) mpu6050 stream: AX:0.050 AY:0.086 AZ:-0.960 | GX:-0.168 GY:-1.466 GZ:0.519 | T:24.95 C
I (610115) mpu6050 stream: AX:0.046 AY:0.085 AZ:-0.965 | GX:-0.198 GY:-1.298 GZ:0.718 | T:24.95 C
I (610125) mpu6050 stream: AX:0.050 AY:0.088 AZ:-0.963 | GX:-0.229 GY:-1.252 GZ:0.763 | T:25.05 C
I (610135) mpu6050 stream: AX:0.051 AY:0.083 AZ:-0.961 | GX:-0.366 GY:-1.038 GZ:0.931 | T:25.05 C
I (610145) mpu6050 stream: AX:0.048 AY:0.089 AZ:-0.959 | GX:-0.137 GY:-1.389 GZ:1.344 | T:24.95 C
I (610155) mpu6050 stream: AX:0.045 AY:0.082 AZ:-0.955 | GX:-0.122 GY:-1.099 GZ:1.328 | T:24.95 C
I (610165) mpu6050 stream: AX:0.049 AY:0.081 AZ:-0.960 | GX:-0.962 GY:-1.282 GZ:1.496 | T:24.86 C
I (610175) mpu6050 stream: AX:0.051 AY:0.085 AZ:-0.971 | GX:-0.046 GY:-0.794 GZ:1.634 | T:24.91 C
I (610185) mpu6050 stream: AX:0.050 AY:0.084 AZ:-0.962 | GX:0.336 GY:-0.458 GZ:1.588 | T:25.00 C
I (610195) mpu6050 stream: AX:0.052 AY:0.085 AZ:-0.963 | GX:0.336 GY:0.000 GZ:1.527 | T:24.91 C
I (610205) mpu6050 stream: AX:0.054 AY:0.078 AZ:-0.964 | GX:-0.733 GY:-0.198 GZ:1.405 | T:24.91 C
I (610215) mpu6050 stream: AX:0.048 AY:0.081 AZ:-0.970 | GX:-1.389 GY:-0.061 GZ:1.145 | T:24.91 C
I (610225) mpu6050 stream: AX:0.051 AY:0.093 AZ:-0.975 | GX:-1.588 GY:-0.198 GZ:1.267 | T:25.00 C
I (610235) mpu6050 stream: AX:0.058 AY:0.101 AZ:-0.959 | GX:-1.405 GY:-0.092 GZ:1.145 | T:24.91 C
I (610245) mpu6050 stream: AX:0.057 AY:0.091 AZ:-0.952 | GX:0.412 GY:-0.214 GZ:1.466 | T:24.91 C
I (610255) mpu6050 stream: AX:0.056 AY:0.093 AZ:-0.953 | GX:1.832 GY:-0.198 GZ:1.374 | T:25.00 C
