I (556135) mpu6050 stream: AX:-0.103 AY:0.108 AZ:-0.959 | GX:0.122 GY:0.702 GZ:0.855 | T:24.95 C
I (556145) mpu6050 stream: AX:-0.097 AY:0.110 AZ:-0.953 | GX:0.321 GY:0.489 GZ:1.130 | T:25.05 C
I (556155) mpu6050 stream: AX:-0.104 AY:0.098 AZ:-0.961 | GX:0.031 GY:0.397 GZ:0.992 | T:24.95 C
I (556165) mpu6050 stream: AX:-0.104 AY:0.108 AZ:-0.945 | GX:-0.504 GY:0.290 GZ:1.160 | T:25.05 C
I (556175) mpu6050 stream: AX:-0.098 AY:0.103 AZ:-0.952 | GX:-0.733 GY:0.443 GZ:1.344 | T:24.95 C
I (556185) mpu6050 stream: AX:-0.097 AY:0.101 AZ:-0.939 | GX:-0.504 GY:0.366 GZ:1.389 | T:24.95 C
I (556195) mpu6050 stream: AX:-0.102 AY:0.107 AZ:-0.946 | GX:-0.580 GY:0.198 GZ:1.130 | T:25.00 C
I (556205) mpu6050 stream: AX:-0.102 AY:0.101 AZ:-0.949 | GX:-0.718 GY:0.229 GZ:0.977 | T:25.00 C
I (556215) mpu6050 stream: AX:-0.101 AY:0.106 AZ:-0.952 | GX:-0.947 GY:0.321 GZ:0.916 | T:25.00 C
I (556225) mpu6050 stream: AX:-0.100 AY:0.103 AZ:-0.954 | GX:-1.420 GY:0.489 GZ:0.855 | T:25.00 C
I (556235) mpu6050 stream: AX:-0.104 AY:0.111 AZ:-0.956 | GX:-1.878 GY:0.733 GZ:0.656 | T:25.09 C
I (556245) mpu6050 stream: AX:-0.102 AY:0.107 AZ:-0.954 | GX:-1.573 GY:0.580 GZ:0.504 | T:25.09 C
I (556255) mpu6050 stream: AX:-0.097 AY:0.125 AZ:-0.951 | GX:-0.443 GY:0.229 GZ:0.260 | T:25.00 C
I (556265) mpu6050 stream: AX:-0.100 AY:0.121 AZ:-0.940 | GX:1.053 GY:0.076 GZ:0.626 | T:25.00 C
I (556275) mpu6050 stream: AX:-0.097 AY:0.110 AZ:-0.944 | GX:2.061 GY:-0.076 GZ:0.794 | T:25.00 C
I (556285) mpu6050 stream: AX:-0.096 AY:0.103 AZ:-0.943 | GX:1.710 GY:-0.260 GZ:0.962 | T:25.00 C
I (556295) mpu6050 stream: AX:-0.108 AY:0.103 AZ:-0.947 | GX:0.962 GY:-0.260 GZ:1.008 | T:25.00 C
I (556305) mpu6050 stream: AX:-0.097 AY:0.104 AZ:-0.947 | GX:-0.718 GY:-0.718 GZ:1.084 | T:24.91 C
I (556315) mpu6050 stream: AX:-0.102 AY:0.107 AZ:-0.941 | GX:-1.878 GY:-1.298 GZ:0.962 | T:25.00 C
I (556325) mpu6050 stream: AX:-0.105 AY:0.108 AZ:-0.942 | GX:-2.290 GY:-1.695 GZ:1.206 | T:24.91 C
I (556335) mpu6050 stream: AX:-0.102 AY:0.117 AZ:-0.953 | GX:-1.771 GY:-1.588 GZ:1.420 | T:25.00 C
I (556345) mpu6050 stream: AX:-0.110 AY:0.119 AZ:-0.946 | GX:-0.962 GY:-1.115 GZ:1.893 | T:25.00 C
I (556355) mpu6050 stream: AX:-0.113 AY:0.110 AZ:-0.958 | GX:-0.305 GY:-0.870 GZ:1.725 | T:25.00 C
I (556365) mpu6050 stream: AX:-0.109 AY:0.108 AZ:-0.946 | GX:0.092 GY:-0.244 GZ:1.695 | T:25.00 C
I (556375) mpu6050 stream: AX:-0.109 AY:0.100 AZ:-0.948 | GX:0.122 GY:-0.092 GZ:1.481 | T:24.91 C
I (556385) mpu6050 stream: AX:-0.108 AY:0.103 AZ:-0.955 | GX:-0.427 GY:0.122 GZ:1.374 | T:24.91 C
I (556395) mpu6050 stream: AX:-0.106 AY:0.101 AZ:-0.949 | GX:-1.069 GY:0.290 GZ:0.748 | T:24.91 C
I (556405) mpu6050 stream: AX:-0.107 AY:0.106 AZ:-0.948 | GX:-1.344 GY:0.198 GZ:0.351 | T:25.09 C
I (556415) mpu6050 stream: AX:-0.104 AY:0.110 AZ:-0.947 | GX:-1.053 GY:0.000 GZ:-0.214 | T:24.91 C
I (556425) mpu6050 stream: AX:-0.110 AY:0.110 AZ:-0.946 | GX:-0.779 GY:0.198 GZ:-0.198 | T:25.09 C
I (556435) mpu6050 stream: AX:-0.104 AY:0.109 AZ:-0.954 | GX:-0.137 GY:0.229 GZ:-0.290 | T:24.91 C
I (556445) mpu6050 stream: AX:-0.098 AY:0.110 AZ:-0.940 | GX:0.366 GY:0.092 GZ:-0.427 | T:24.91 C
I (556455) mpu6050 stream: AX:-0.104 AY:0.103 AZ:-0.959 | GX:0.305 GY:0.183 GZ:-0.290 | T:25.00 C
I (556465) mpu6050 stream: AX:-0.104 AY:0.107 AZ:-0.961 | GX:-0.489 GY:0.412 GZ:-0.076 | T:25.00 C
I (556475) mpu6050 stream: AX:-0.112 AY:0.115 AZ:-0.951 | GX:-1.206 GY:0.305 GZ:-0.153 | T:24.91 C
I (556485) mpu6050 stream: AX:-0.104 AY:0.120 AZ:-0.952 | GX:-1.420 GY:0.107 GZ:0.061 | T:24.91 C
I (556495) mpu6050 stream: AX:-0.104 AY:0.121 AZ:-0.948 | GX:-0.779 GY:-0.305 GZ:0.168 | T:25.00 C
I (556505) mpu6050 stream: AX:-0.103 AY:0.120 AZ:-0.946 | GX:0.046 GY:-0.534 GZ:0.702 | T:24.91 C
I (556515) mpu6050 stream: AX:-0.107 AY:0.119 AZ:-0.949 | GX:0.672 GY:-0.229 GZ:0.947 | T:24.95 C
I (556525) mpu6050 stream: AX:-0.111 AY:0.108 AZ:-0.950 | GX:0.718 GY:0.000 GZ:1.344 | T:24.95 C
I (556535) mpu6050 stream: AX:-0.103 AY:0.109 AZ:-0.955 | GX:0.321 GY:0.427 GZ:1.450 | T:24.95 C
I (556545) mpu6050 stream: AX:-0.106 AY:0.106 AZ:-0.953 | GX:-0.229 GY:0.366 GZ:1.252 | T:25.05 C
I (556555) mpu6050 stream: AX:-0.108 AY:0.102 AZ:-0.948 | GX:-0.779 GY:0.519 GZ:1.160 | T:24.95 C
I (556565) mpu6050 stream: AX:-0.100 AY:0.108 AZ:-0.942 | GX:-0.687 GY:0.336 GZ:1.053 | T:24.95 C
I (556575) mpu6050 stream: AX:-0.103 AY:0.110 AZ:-0.946 | GX:-0.092 GY:0.107 GZ:1.298 | T:24.95 C
I (556585) mpu6050 stream: AX:-0.102 AY:0.109 AZ:-0.943 | GX:0.595 GY:-0.107 GZ:1.282 | T:24.95 C
I (556595) mpu6050 stream: AX:-0.110 AY:0.106 AZ:-0.944 | GX:0.794 GY:-0.214 GZ:1.191 | T:24.95 C
I (556605) mpu6050 stream: AX:-0.103 AY:0.105 AZ:-0.942 | GX:0.962 GY:-0.351 GZ:1.038 | T:24.95 C
I (556615) mpu6050 stream: AX:-0.106 AY:0.103 AZ:-0.958 | GX:0.595 GY:-0.489 GZ:0.916 | T:24.95 C
I (556625) mpu6050 stream: AX:-0.109 AY:0.106 AZ:-0.953 | GX:0.031 GY:-0.305 GZ:0.840 | T:25.05 C
I (556635) mpu6050 stream: AX:-0.112 AY:0.107 AZ:-0.952 | GX:-0.092 GY:-0.031 GZ:0.580 | T:24.95 C
I (556645) mpu6050 stream: AX:-0.111 AY:0.106 AZ:-0.952 | GX:-0.275 GY:-0.351 GZ:0.840 | T:25.05 C
I (556655) mpu6050 stream: AX:-0.102 AY:0.106 AZ:-0.953 | GX:-0.061 GY:0.015 GZ:0.672 | T:24.95 C
I (556665) mpu6050 stream: AX:-0.109 AY:0.105 AZ:-0.951 | GX:0.290 GY:0.000 GZ:0.748 | T:24.95 C
I (556675) mpu6050 stream: AX:-0.104 AY:0.108 AZ:-0.945 | GX:0.336 GY:0.076 GZ:0.885 | T:24.95 C
I (556685) mpu6050 stream: AX:-0.102 AY:0.105 AZ:-0.954 | GX:0.122 GY:0.153 GZ:0.977 | T:24.95 C
I (556695) mpu6050 stream: AX:-0.106 AY:0.109 AZ:-0.953 | GX:-0.092 GY:-0.015 GZ:0.962 | T:24.86 C
I (556705) mpu6050 stream: AX:-0.108 AY:0.106 AZ:-0.945 | GX:-0.458 GY:-0.275 GZ:1.023 | T:25.05 C
I (556715) mpu6050 stream: AX:-0.105 AY:0.104 AZ:-0.961 | GX:-0.519 GY:0.015 GZ:0.962 | T:24.95 C
I (556725) mpu6050 stream: AX:-0.108 AY:0.105 AZ:-0.956 | GX:-0.366 GY:-0.015 GZ:0.977 | T:24.95 C
I (556735) mpu6050 stream: AX:-0.108 AY:0.105 AZ:-0.950 | GX:-0.229 GY:0.153 GZ:1.252 | T:24.95 C
I (556745) mpu6050 stream: AX:-0.110 AY:0.111 AZ:-0.955 | GX:-0.321 GY:0.489 GZ:1.038 | T:25.05 C
I (556755) mpu6050 stream: AX:-0.109 AY:0.102 AZ:-0.947 | GX:-0.092 GY:0.366 GZ:1.130 | T:25.05 C
I (556765) mpu6050 stream: AX:-0.104 AY:0.110 AZ:-0.949 | GX:-0.275 GY:0.351 GZ:0.962 | T:25.05 C
I (556775) mpu6050 stream: AX:-0.113 AY:0.102 AZ:-0.945 | GX:-0.290 GY:0.305 GZ:1.053 | T:24.95 C
I (556785) mpu6050 stream: AX:-0.104 AY:0.100 AZ:-0.951 | GX:-0.382 GY:0.458 GZ:0.824 | T:24.95 C
I (556795) mpu6050 stream: AX:-0.103 AY:0.106 AZ:-0.948 | GX:-0.626 GY:0.412 GZ:0.443 | T:24.95 C
I (556805) mpu6050 strea104 AY:0.103 AZ:-0.954 | GX:-0.275 GY:0.107 GZ:0.992 | T:24.91 C
I (557055) mpu6050 stream: AX:-0.103 AY:0.105 AZ:-0.941 | GX:-0.504 GY:0.076 GZ:0.977 | T:24.91 C
