I (231225) mpu6050 stream: AX:-0.177 AY:0.101 AZ:-0.932 | GX:0.855 GY:-0.031 GZ:0.840 | T:25.33 C
I (231235) mpu6050 stream: AX:-0.187 AY:0.104 AZ:-0.931 | GX:1.313 GY:-0.733 GZ:0.931 | T:25.33 C
I (231245) mpu6050 stream: AX:-0.187 AY:0.099 AZ:-0.945 | GX:0.794 GY:-0.824 GZ:0.855 | T:25.33 C
I (231255) mpu6050 stream: AX:-0.189 AY:0.097 AZ:-0.942 | GX:-0.092 GY:-0.687 GZ:0.794 | T:25.14 C
I (231265) mpu6050 stream: AX:-0.193 AY:0.095 AZ:-0.937 | GX:-0.763 GY:-0.214 GZ:0.824 | T:25.24 C
I (231275) mpu6050 stream: AX:-0.191 AY:0.102 AZ:-0.938 | GX:-0.718 GY:-0.336 GZ:1.038 | T:25.14 C
I (231285) mpu6050 stream: AX:-0.192 AY:0.096 AZ:-0.941 | GX:-0.214 GY:-0.244 GZ:0.977 | T:25.24 C
I (231295) mpu6050 stream: AX:-0.192 AY:0.101 AZ:-0.953 | GX:0.244 GY:-0.046 GZ:1.023 | T:25.24 C
I (231305) mpu6050 stream: AX:-0.191 AY:0.100 AZ:-0.948 | GX:0.550 GY:0.366 GZ:1.344 | T:25.24 C
I (231315) mpu6050 stream: AX:-0.188 AY:0.097 AZ:-0.935 | GX:0.580 GY:0.443 GZ:1.511 | T:25.24 C
I (231325) mpu6050 stream: AX:-0.192 AY:0.095 AZ:-0.938 | GX:0.565 GY:0.504 GZ:1.634 | T:25.24 C
I (231335) mpu6050 stream: AX:-0.188 AY:0.091 AZ:-0.938 | GX:0.275 GY:0.534 GZ:1.710 | T:25.24 C
I (231345) mpu6050 stream: AX:-0.182 AY:0.094 AZ:-0.933 | GX:0.031 GY:0.336 GZ:1.710 | T:25.24 C
I (231355) mpu6050 stream: AX:-0.184 AY:0.092 AZ:-0.940 | GX:-0.565 GY:0.260 GZ:1.405 | T:25.28 C
I (231365) mpu6050 stream: AX:-0.180 AY:0.093 AZ:-0.931 | GX:-0.855 GY:0.366 GZ:1.099 | T:25.28 C
I (231375) mpu6050 stream: AX:-0.184 AY:0.089 AZ:-0.932 | GX:-1.099 GY:0.092 GZ:0.962 | T:25.19 C
I (231385) mpu6050 stream: AX:-0.187 AY:0.096 AZ:-0.919 | GX:-1.115 GY:-0.107 GZ:0.809 | T:25.19 C
I (231395) mpu6050 stream: AX:-0.184 AY:0.099 AZ:-0.935 | GX:-0.840 GY:-0.641 GZ:0.504 | T:25.19 C
I (231405) mpu6050 stream: AX:-0.187 AY:0.100 AZ:-0.938 | GX:-0.550 GY:-0.489 GZ:0.336 | T:25.28 C
I (231415) mpu6050 stream: AX:-0.185 AY:0.093 AZ:-0.950 | GX:-0.565 GY:-0.519 GZ:0.275 | T:25.19 C
I (231425) mpu6050 stream: AX:-0.189 AY:0.094 AZ:-0.934 | GX:-0.916 GY:-0.092 GZ:0.290 | T:25.28 C
I (231435) mpu6050 stream: AX:-0.194 AY:0.099 AZ:-0.942 | GX:-1.481 GY:0.046 GZ:-0.031 | T:25.38 C
I (231445) mpu6050 stream: AX:-0.185 AY:0.101 AZ:-0.939 | GX:-1.542 GY:-0.076 GZ:-0.214 | T:25.28 C
I (231455) mpu6050 stream: AX:-0.190 AY:0.108 AZ:-0.932 | GX:-1.313 GY:-0.397 GZ:-0.290 | T:25.28 C
I (231465) mpu6050 stream: AX:-0.188 AY:0.109 AZ:-0.950 | GX:-0.473 GY:-0.427 GZ:0.015 | T:25.09 C
I (231475) mpu6050 stream: AX:-0.197 AY:0.105 AZ:-0.943 | GX:-0.260 GY:-0.290 GZ:0.092 | T:25.28 C
