I (481645) mpu6050 stream: AX:-0.094 AY:0.089 AZ:-0.957 | GX:-0.107 GY:0.076 GZ:2.641 | T:25.09 C
I (481655) mpu6050 stream: AX:-0.093 AY:0.100 AZ:-0.955 | GX:0.489 GY:0.031 GZ:2.718 | T:25.09 C
I (481665) mpu6050 stream: AX:-0.093 AY:0.083 AZ:-0.959 | GX:0.748 GY:0.305 GZ:3.069 | T:25.00 C
I (481675) mpu6050 stream: AX:-0.088 AY:0.094 AZ:-0.951 | GX:0.977 GY:0.565 GZ:2.962 | T:25.14 C
I (481685) mpu6050 stream: AX:-0.095 AY:0.087 AZ:-0.945 | GX:1.115 GY:0.366 GZ:2.977 | T:25.14 C
I (481695) mpu6050 stream: AX:-0.095 AY:0.084 AZ:-0.954 | GX:1.008 GY:0.336 GZ:2.992 | T:25.05 C
I (481705) mpu6050 stream: AX:-0.091 AY:0.089 AZ:-0.948 | GX:0.855 GY:0.000 GZ:3.099 | T:25.09 C
I (481715) mpu6050 stream: AX:-0.096 AY:0.090 AZ:-0.953 | GX:0.580 GY:-0.153 GZ:2.840 | T:25.09 C
I (481725) mpu6050 stream: AX:-0.086 AY:0.084 AZ:-0.954 | GX:0.489 GY:-0.305 GZ:2.885 | T:25.19 C
I (481735) mpu6050 stream: AX:-0.086 AY:0.079 AZ:-0.955 | GX:0.366 GY:-0.702 GZ:2.718 | T:25.00 C
I (481745) mpu6050 stream: AX:-0.087 AY:0.078 AZ:-0.951 | GX:0.229 GY:-0.718 GZ:2.565 | T:25.09 C
I (481755) mpu6050 stream: AX:-0.091 AY:0.085 AZ:-0.952 | GX:0.076 GY:-0.641 GZ:2.519 | T:25.14 C
I (481765) mpu6050 stream: AX:-0.088 AY:0.086 AZ:-0.957 | GX:0.061 GY:-0.718 GZ:2.397 | T:25.14 C
I (481775) mpu6050 stream: AX:-0.094 AY:0.083 AZ:-0.954 | GX:-0.076 GY:-0.611 GZ:2.244 | T:25.14 C
I (481785) mpu6050 stream: AX:-0.093 AY:0.083 AZ:-0.963 | GX:0.076 GY:-0.489 GZ:2.061 | T:25.14 C
I (481795) mpu6050 stream: AX:-0.091 AY:0.085 AZ:-0.948 | GX:0.183 GY:-0.168 GZ:2.107 | T:25.05 C
I (481805) mpu6050 stream: AX:-0.104 AY:0.086 AZ:-0.956 | GX:0.260 GY:-0.229 GZ:1.954 | T:25.14 C
I (481815) mpu6050 stream: AX:-0.095 AY:0.083 AZ:-0.955 | GX:0.519 GY:0.015 GZ:1.939 | T:25.05 C
I (481825) mpu6050 stream: AX:-0.094 AY:0.079 AZ:-0.954 | GX:0.351 GY:-0.198 GZ:1.802 | T:25.14 C
I (481835) mpu6050 stream: AX:-0.089 AY:0.080 AZ:-0.952 | GX:0.198 GY:-0.198 GZ:1.817 | T:25.14 C
I (481845) mpu6050 stream: AX:-0.088 AY:0.086 AZ:-0.956 | GX:-0.168 GY:-0.153 GZ:1.634 | T:25.05 C
I (481855) mpu6050 stream: AX:-0.095 AY:0.081 AZ:-0.943 | GX:-0.443 GY:0.183 GZ:1.725 | T:25.05 C
I (481865) mpu6050 stream: AX:-0.085 AY:0.080 AZ:-0.952 | GX:-0.137 GY:-0.885 GZ:1.313 | T:24.95 C
I (481875) mpu6050 stream: AX:-0.093 AY:0.087 AZ:-0.958 | GX:-0.412 GY:-0.458 GZ:1.252 | T:25.05 C
I (481885) mpu6050 stream: AX:-0.092 AY:0.089 AZ:-0.959 | GX:-0.641 GY:-0.595 GZ:1.511 | T:25.05 C
