I (512575) mpu6050 stream: AX:-0.085 AY:0.082 AZ:-0.955 | GX:-0.519 GY:-0.626 GZ:1.038 | T:25.00 C
I (512585) mpu6050 stream: AX:-0.086 AY:0.079 AZ:-0.958 | GX:-1.328 GY:-0.595 GZ:0.947 | T:25.09 C
I (512595) mpu6050 stream: AX:-0.085 AY:0.086 AZ:-0.960 | GX:-1.573 GY:-0.473 GZ:0.504 | T:25.00 C
I (512605) mpu6050 stream: AX:-0.087 AY:0.085 AZ:-0.951 | GX:-1.252 GY:-0.412 GZ:0.458 | T:25.09 C
I (512615) mpu6050 stream: AX:-0.086 AY:0.093 AZ:-0.963 | GX:-0.519 GY:-0.092 GZ:0.427 | T:25.00 C
I (512625) mpu6050 stream: AX:-0.089 AY:0.088 AZ:-0.962 | GX:0.305 GY:-0.443 GZ:0.321 | T:25.00 C
I (512635) mpu6050 stream: AX:-0.089 AY:0.084 AZ:-0.958 | GX:0.260 GY:-0.198 GZ:0.595 | T:25.09 C
I (512645) mpu6050 stream: AX:-0.086 AY:0.088 AZ:-0.963 | GX:0.260 GY:0.336 GZ:0.656 | T:25.00 C
I (512655) mpu6050 stream: AX:-0.087 AY:0.090 AZ:-0.959 | GX:-0.427 GY:0.397 GZ:0.733 | T:25.00 C
I (512665) mpu6050 stream: AX:-0.083 AY:0.095 AZ:-0.956 | GX:-0.702 GY:0.260 GZ:0.702 | T:25.00 C
I (512675) mpu6050 stream: AX:-0.086 AY:0.093 AZ:-0.961 | GX:-0.458 GY:0.046 GZ:0.840 | T:25.09 C
I (512685) mpu6050 stream: AX:-0.089 AY:0.099 AZ:-0.955 | GX:-0.092 GY:-0.153 GZ:1.130 | T:25.00 C
I (512695) mpu6050 stream: AX:-0.088 AY:0.089 AZ:-0.962 | GX:0.611 GY:-0.031 GZ:1.634 | T:25.00 C
I (512705) mpu6050 stream: AX:-0.I (512945) mpu6050 stream: AX:-0.084 AY:0.083 AZ:-0.955 | GX:0.244 GY:0.458 GZ:1.511 | T:25.05 C
I (512955) mpu6050 stream: AX:-0.079 AY:0.080 AZ:-0.960 | GX:0.168 GY:0.595 GZ:1.344 | T:24.95 C
I (512965) mpu6050 stream: AX:-0.084 AY:0.085 AZ:-0.961 | GX:-0.015 GY:0.489 GZ:1.038 | T:24.95 C
I (512975) mpu6050 stream: AX:-0.079 AY:0.082 AZ:-0.960 | GX:-0.092 GY:0.260 GZ:1.328 | T:24.95 C
I (512985) mpu6050 stream: AX:-0.078 AY:0.085 AZ:-0.953 | GX:-0.076 GY:0.214 GZ:1.069 | T:25.05 C
I (512995) mpu6050 stream: AX:-0.076 AY:0.084 AZ:-0.957 | GX:-0.229 GY:0.336 GZ:0.855 | T:25.05 C
I (513005) mpu6050 stream: AX:-0.078 AY:0.088 AZ:-0.959 | GX:-0.183 GY:0.366 GZ:1.038 | T:24.95 C
I (513015) mpu6050 stream: AX:-0.077 AY:0.076 AZ:-0.956 | GX:-0.137 GY:0.168 GZ:0.779 | T:25.00 C
I (513025) mpu6050 stream: AX:-0.085 AY:0.090 AZ:-0.959 | GX:0.198 GY:0.397 GZ:0.763 | T:25.09 C
I (513035) mpu6050 stream: AX:-0.082 AY:0.096 AZ:-0.946 | GX:0.489 GY:0.427 GZ:0.870 | T:25.09 C
I (513045) mpu6050 stream: AX:-0.077 AY:0.083 AZ:-0.954 | GX:0.565 GY:0.244 GZ:0.809 | T:25.09 C
I (513055) mpu6050 stream: AX:-0.079 AY:0.082 AZ:-0.957 | GX:0.275 GY:0.122 GZ:0.885 | T:25.09 C
I (513065) mpu6050 stream: AX:-0.083 AY:0.088 AZ:-0.951 | GX:0.366 GY:0.183 GZ:0.748 | T:25.00 C
I (513075) mpu6050 stream: AX:-0.088 AY:0.082 AZ:-0.953 | GX:0.275 GY:-0.214 GZ:0.672 | T:25.09 C
I (513085) mpu6050 stream: AX:-0.085 AY:0.088 AZ:-0.963 | GX:0.244 GY:0.260 GZ:0.992 | T:25.09 C
I (513095) mpu6050 stream: AX:-0.088 AY:0.079 AZ:-0.953 | GX:-0.107 GY:0.672 GZ:0.794 | T:25.09 C
