I (311245) mpu6050 stream: AX:-0.142 AY:0.112 AZ:-0.948 | GX:-0.214 GY:0.260 GZ:0.702 | T:25.24 C
I (311255) mpu6050 stream: AX:-0.145 AY:0.108 AZ:-0.948 | GX:-0.412 GY:0.260 GZ:0.824 | T:25.24 C
I (311265) mpu6050 stream: AX:-0.143 AY:0.110 AZ:-0.938 | GX:-0.183 GY:0.229 GZ:0.443 | T:25.24 C
I (311275) mpu6050 stream: AX:-0.142 AY:0.109 AZ:-0.945 | GX:-0.183 GY:0.427 GZ:0.427 | T:25.24 C
I (311285) mpu6050 stream: AX:-0.138 AY:0.104 AZ:-0.945 | GX:0.137 GY:0.107 GZ:0.336 | T:25.33 C
I (311295) mpu6050 stream: AX:-0.146 AY:0.109 AZ:-0.943 | GX:0.153 GY:0.015 GZ:0.473 | T:25.24 C
I (311305) mpu6050 stream: AX:-0.142 AY:0.110 AZ:-0.946 | GX:-0.046 GY:-0.214 GZ:0.366 | T:25.24 C
I (311315) mpu6050 stream: AX:-0.141 AY:0.108 AZ:-0.942 | GX:-0.153 GY:0.000 GZ:0.275 | T:25.24 C
I (311325) mpu6050 stream: AX:-0.145 AY:0.106 AZ:-0.948 | GX:-0.244 GY:-0.275 GZ:0.443 | T:25.24 C
I (311335) mpu6050 stream: AX:-0.134 AY:0.105 AZ:-0.945 | GX:-0.305 GY:-0.061 GZ:0.382 | T:25.24 C
I (311345) mpu6050 stream: AX:-0.144 AY:0.112 AZ:-0.940 | GX:-0.061 GY:-0.168 GZ:0.382 | T:25.24 C
I (311355) mpu6050 stream: AX:-0.150 AY:0.112 AZ:-0.944 | GX:0.107 GY:-0.427 GZ:0.397 | T:25.24 C
I (311365) mpu6050 stream: AX:-0.140 AY:0.115 AZ:-0.946 | GX:0.351 GY:-0.168 GZ:0.427 | T:25.24 C
I (311375) mpu6050 stream: AX:-0.139 AY:0.111 AZ:-0.935 | GX:0.427 GY:-0.031 GZ:0.550 | T:25.24 C
I (311385) mpu6050 stream: AX:-0.145 AY:0.108 AZ:-0.940 | GX:0.534 GY:0.061 GZ:0.702 | T:25.33 C
I (311395) mpu6050 stream: AX:-0.144 AY:0.109 AZ:-0.945 | GX:0.672 GY:-0.046 GZ:0.687 | T:25.33 C
I (311405) mpu6050 stream: AX:-0.136 AY:0.107 AZ:-0.945 | GX:0.382 GY:0.046 GZ:0.702 | T:25.24 C
I (311415) mpu6050 stream: AX:-0.147 AY:0.106 AZ:-0.942 | GX:0.397 GY:-0.168 GZ:0.473 | T:25.24 C
I (311425) mpu6050 stream: AX:-0.142 AY:0.103 AZ:-0.938 | GX:0.290 GY:-0.244 GZ:0.550 | T:25.24 C
I (311435) mpu6050 stream: AX:-0.140 AY:0.105 AZ:-0.941 | GX:0.137 GY:-0.107 GZ:0.611 | T:25.24 C
I (311445) mpu6050 stream: AX:-0.139 AY:0.103 AZ:-0.943 | GX:-0.015 GY:-0.229 GZ:0.565 | T:25.24 C
I (311455) mpu6050 stream: AX:-0.140 AY:0.109 AZ:-0.945 | GX:-0.076 GY:-0.137 GZ:0.519 | T:25.24 C
I (311465) mpu6050 stream: AX:-0.143 AY:0.113 AZ:-0.948 | GX:-0.244 GY:-0.305 GZ:0.672 | T:25.33 C
I (311475) mpu6050 stream: AX:-0.146 AY:0.110 AZ:-0.944 | GX:-0.137 GY:-0.061 GZ:0.519 | T:25.24 C
I (311485) mpu6050 stream: AX:-0.143 AY:0.118 AZ:-0.955 | GX:-0.046 GY:0.122 GZ:0.611 | T:25.24 C
I (311495) mpu6050 stream: AX:-0.144 AY:0.103 AZ:-0.941 | GX:0.443 GY:0.443 GZ:0.519 | T:25.24 C
I (311505) mpu6050 stream: AX:-0.142 AY:0.102 AZ:-0.941 | GX:0.366 GY:0.122 GZ:0.550 | T:25.33 C
I (311515) mpu6050 stream: AX:-0.148 AY:0.100 AZ:-0.951 | GX:-0.168 GY:0.656 GZ:0.656 | T:25.24 C
