I (371785) mpu6050 stream: AX:-0.065 AY:0.071 AZ:-0.960 | GX:-0.046 GY:0.198 GZ:0.550 | T:25.14 C
I (371795) mpu6050 stream: AX:-0.069 AY:0.072 AZ:-0.957 | GX:-0.244 GY:0.443 GZ:0.397 | T:25.19 C
I (371805) mpu6050 stream: AX:-0.057 AY:0.069 AZ:-0.956 | GX:-0.473 GY:0.137 GZ:0.412 | T:25.19 C
I (371815) mpu6050 stream: AX:-0.068 AY:0.074 AZ:-0.960 | GX:-0.687 GY:0.046 GZ:0.427 | T:25.19 C
I (371825) mpu6050 stream: AX:-0.067 AY:0.072 AZ:-0.953 | GX:-0.672 GY:0.122 GZ:0.412 | T:25.09 C
I (371835) mpu6050 stream: AX:-0.063 AY:0.068 AZ:-0.948 | GX:-0.641 GY:-0.214 GZ:0.412 | T:25.19 C
I (371845) mpu6050 stream: AX:-0.066 AY:0.072 AZ:-0.963 | GX:-0.656 GY:-0.427 GZ:0.321 | T:25.19 C
I (371855) mpu6050 stream: AX:-0.063 AY:0.070 AZ:-0.964 | GX:-0.611 GY:-0.275 GZ:0.244 | T:25.19 C
I (371865) mpu6050 stream: AX:-0.064 AY:0.078 AZ:-0.967 | GX:-0.779 GY:0.015 GZ:0.137 | T:25.09 C
I (371875) mpu6050 stream: AX:-0.074 AY:0.078 AZ:-0.957 | GX:-0.672 GY:0.015 GZ:0.366 | T:25.19 C
I (371885) mpu6050 stream: AX:-0.059 AY:0.073 AZ:-0.958 | GX:-0.229 GY:0.092 GZ:0.137 | T:25.19 C
I (371895) mpu6050 stream: AX:-0.067 AY:0.074 AZ:-0.951 | GX:0.015 GY:0.076 GZ:0.229 | T:25.09 C
I (371905) mpu6050 stream: AX:-0.066 AY:0.076 AZ:-0.959 | GX:0.244 GY:0.092 GZ:0.366 | T:25.19 C
I (371915) mpu6050 stream: AX:-0.062 AY:0.077 AZ:-0.952 | GX:0.137 GY:0.137 GZ:0.336 | T:25.19 C
I (371925) mpu6050 stream: AX:-0.067 AY:0.073 AZ:-0.968 | GX:0.046 GY:0.351 GZ:0.397 | T:25.19 C
I (371935) mpu6050 stream: AX:-0.063 AY:0.076 AZ:-0.971 | GX:0.183 GY:0.229 GZ:0.550 | T:25.19 C
I (371945) mpu6050 stream: AX:-0.067 AY:0.073 AZ:-0.953 | GX:0.382 GY:0.229 GZ:0.519 | T:25.19 C
I (371955) mpu6050 stream: AX:-0.066 AY:0.077 AZ:-0.955 | GX:0.458 GY:0.229 GZ:0.641 | T:25.19 C
I (371965) mpu6050 stream: AX:-0.064 AY:0.074 AZ:-0.958 | GX:0.382 GY:0.275 GZ:0.748 | T:25.09 C
I (371975) mpu6050 stream: AX:-0.064 AY:0.074 AZ:-0.958 | GX:0.382 GY:0.351 GZ:0.916 | T:25.19 C
I (371985) mpu6050 stream: AX:-0.067 AY:0.072 AZ:-0.957 | GX:0.305 GY:0.061 GZ:0.885 | T:25.09 C
I (371995) mpu6050 stream: AX:-0.060 AY:0.068 AZ:-0.949 | GX:0.107 GY:0.260 GZ:0.916 | T:25.19 C
I (372005) mpu6050 stream: AX:-0.062 AY:0.069 AZ:-0.964 | GX:-0.458 GY:0.412 GZ:0.931 | T:25.19 C
I (372015) mpu6050 stream: AX:-0.065 AY:0.072 AZ:-0.970 | GX:-0.977 GY:0.168 GZ:0.809 | T:25.19 C
I (372025) mpu6050 stream: AX:-0.067 AY:0.072 AZ:-0.968 | GX:-1.359 GY:0.580 GZ:0.901 | T:25.19 C
I (372035) mpu6050 stream: AX:-0.057 AY:0.083 AZ:-0.971 | GX:-1.191 GY:0.992 GZ:0.763 | T:25.19 C
I (372045) mpu6050 stream: AX:-0.055 AY:0.084 AZ:-0.952 | GX:-0.076 GY:0.626 GZ:0.672 | T:25.19 C
I (372055) mpu6050 stream: AX:-0.060 AY:0.084 AZ:-0.954 | GX:1.359 GY:0.229 GZ:0.718 | T:25.09 C
I (372065) mpu6050 stream: AX:-0.060 AY:0.079 AZ:-0.942 | GX:2.183 GY:-0.153 GZ:0.779 | T:25.19 C
I (372075) mpu6050 stream: AX:-0.058 AY:0.068 AZ:-0.943 | GX:1.878 GY:-0.550 GZ:1.008 | T:25.19 C
I (372085) mpu6050 stream: AX:-0.060 AY:0.066 AZ:-0.961 | GX:0.672 GY:-0.595 GZ:0.870 | T:25.19 C
I (372095) mpu6050 stream: AX:-0.058 AY:0.067 AZ:-0.958 | GX:-0.504 GY:-1.145 GZ:0.962 | T:25.19 C
I (372105) mpu6050 stream: AX:-0.072 AY:0.073 AZ:-0.952 | GX:-0.962 GY:-0.947 GZ:0.748 | T:25.09 C
I (372115) mpu6050 stream: AX:-0.072 AY:0.067 AZ:-0.961 | GX:-0.885 GY:-1.374 GZ:0.947 | T:25.09 C
I (372125) mpu6050 stream: AX:-0.070 AY:0.076 AZ:-0.967 | GX:-0.244 GY:-0.992 GZ:1.344 | T:25.19 C
I (372135) mpu6050 stream: AX:-0.072 AY:0.079 AZ:-0.953 | GX:0.473 GY:-1.069 GZ:1.511 | T:25.19 C
I (372145) mpu6050 stream: AX:-0.071 AY:0.074 AZ:-0.960 | GX:0.763 GY:-0.840 GZ:1.695 | T:25.19 C
I (372155) mpu6050 stream: AX:-0.073 AY:0.068 AZ:-0.962 | GX:0.595 GY:-0.611 GZ:1.344 | T:25.19 C
I (372165) mpu6050 stream: AX:-0.071 AY:0.071 AZ:-0.966 | GX:0.061 GY:-0.519 GZ:1.298 | T:25.19 C
I (372175) mpu6050 stream: AX:-0.068 AY:0.064 AZ:-0.960 | GX:-0.458 GY:0.000 GZ:1.008 | T:25.19 C
I (372185) mpu6050 stream: AX:-0.068 AY:0.070 AZ:-0.960 | GX:-0.504 GY:0.229 GZ:0.840 | T:25.19 C
I (372195) mpu6050 stream: AX:-0.073 AY:0.066 AZ:-0.963 | GX:-0.656 GY:0.214 GZ:0.595 | T:25.09 C
I (372205) mpu6050 stream: AX:-0.067 AY:0.068 AZ:-0.958 | GX:-0.107 GY:0.137 GZ:0.290 | T:25.19 C
I (372215) mpu6050 stream: AX:-0.065 AY:0.070 AZ:-0.952 | GX:0.351 GY:0.321 GZ:0.305 | T:25.19 C
I (372225) mpu6050 stream: AX:-0.066 AY:0.068 AZ:-0.954 | GX:0.519 GY:0.244 GZ:0.061 | T:25.09 C
I (372235) mpu6050 stream: AX:-0.068 AY:0.068 AZ:-0.957 | GX:0.382 GY:-0.305 GZ:-0.031 | T:25.19 C
I (372245) mpu6050 stream: AX:-0.070 AY:0.062 AZ:-0.965 | GX:-0.168 GY:-0.244 GZ:0.107 | T:25.09 C
I (372255) mpu6050 stream: AX:-0.068 AY:0.063 AZ:-0.963 | GX:-0.351 GY:-0.168 GZ:0.214 | T:25.19 C
I (372265) mpu6050 stream: AX:-0.068 AY:0.068 AZ:-0.957 | GX:-0.550 GY:-0.015 GZ:-0.122 | T:25.28 C
I (372275) mpu6050 stream: AX:-0.066 AY:0.071 AZ:-0.960 | GX:-0.290 GY:0.000 GZ:-0.305 | T:25.09 C
I (372285) mpu6050 stream: AX:-0.062 AY:0.074 AZ:-0.960 | GX:-0.031 GY:-0.092 GZ:-0.290 | T:25.19 C
I (372295) mpu6050 stream: AX:-0.065 AY:0.067 AZ:-0.960 | GX:0.412 GY:-0.382 GZ:-0.244 | T:25.19 C
I (372305) mpu6050 stream: AX:-0.070 AY:0.064 AZ:-0.966 | GX:0.763 GY:0.168 GZ:-0.611 | T:25.19 C
I (372315) mpu6050 stream: AX:-0.065 AY:0.057 AZ:-0.959 | GX:0.809 GY:0.290 GZ:-1.191 | T:25.19 C
I (372325) mpu6050 stream: AX:-0.067 AY:0.046 AZ:-0.965 | GX:0.611 GY:0.489 GZ:-2.137 | T:25.19 C
I (372335) mpu6050 stream: AX:-0.067 AY:0.049 AZ:-0.957 | GX:0.046 GY:0.611 GZ:-3.008 | T:25.24 C
I (372345) mpu6050 stream: AX:-0.067 AY:0.061 AZ:-0.964 | GX:-0.305 GY:0.626 GZ:-3.573 | T:25.14 C
I (372355) mpu6050 stream: AX:-0.064 AY:0.072 AZ:-0.953 | GX:-0.427 GY:0.748 GZ:-3.634 | T:25.24 C
I (372365) mpu6050 stream: AX:-0.069 AY:0.081 AZ:-0.952 | GX:-0.275 GY:0.763 GZ:-3.344 | T:25.24 C
I (372375) mpu6050 stream: AX:-0.065 AY:0.082 AZ:-0.958 | GX:-0.198 GY:0.519 GZ:-2.870 | T:25.14 C
I (372385) mpu6050 stream: AX:-0.068 AY:0.084 AZ:-0.950 | GX:0.107 GY:0.794 GZ:-2.107 | T:25.14 C
I (372395) mpu6050 stream: AX:-0.071 AY:0.080 AZ:-0.949 | GX:0.427 GY:0.305 GZ:-1.603 | T:25.14 C
I (372405) mpu6050 stream: AX:-0.065 AY:0.085 AZ:-0.956 | GX:0.366 GY:0.412 GZ:-0.840 | T:25.24 C
I (372415) mpu6050 stream: AX:-0.064 AY:0.084 AZ:-0.950 | GX:0.229 GY:0.122 GZ:0.000 | T:25.24 C
I (372425) mpu6050 stream: AX:-0.064 AY:0.080 AZ:-0.957 | GX:-0.046 GY:0.031 GZ:0.870 | T:25.14 C
I (372435) mpu6050 stream: AX.958 | GX:-0.382 GY:-0.977 GZ:0.519 | T:25.14 C
I (372685) mpu6050 stream: AX:-0.074 AY:0.074 AZ:-0.965 | GX:-0.473 GY:-0.794 GZ:0.824 | T:25.14 C
I (372695) mpu6050 stream: AX:-0.068 AY:0.081 AZ:-0.959 | GX:-0.260 GY:-0.809 GZ:0.901 | T:25.14 C
I (372705) mpu6050 stream: AX:-0.069 AY:0.077 AZ:-0.950 | GX:-0.229 GY:-0.916 GZ:1.160 | T:25.14 C
I (372715) mpu6050 stream: AX:-0.070 AY:0.073 AZ:-0.954 | GX:0.000 GY:-0.748 GZ:1.267 | T:25.14 C
I (372725) mpu6050 stream: AX:-0.070 AY:0.075 AZ:-0.954 | GX:-0.031 GY:-0.534 GZ:1.374 | T:25.14 C
I (372735) mpu6050 stream: AX:-0.067 AY:0.069 AZ:-0.953 | GX:0.000 GY:-0.626 GZ:1.374 | T:25.24 C
I (372745) mpu6050 stream: AX:-0.072 AY:0.071 AZ:-0.960 | GX:-0.122 GY:-0.595 GZ:1.374 | T:25.24 C
I (372755) mpu6050 stream: AX:-0.074 AY:0.074 AZ:-0.971 | GX:-0.397 GY:-0.519 GZ:1.313 | T:25.14 C
I (372765) mpu6050 stream: AX:-0.067 AY:0.078 AZ:-0.956 | GX:-0.275 GY:-0.153 GZ:1.298 | T:25.14 C
I (372775) mpu6050 stream: AX:-0.064 AY:0.070 AZ:-0.958 | GX:-0.046 GY:-0.107 GZ:1.221 | T:25.24 C
I (372785) mpu6050 stream: AX:-0.072 AY:0.067 AZ:-0.969 | GX:0.137 GY:0.244 GZ:1.099 | T:25.14 C
I (372795) mpu6050 stream: AX:-0.068 AY:0.067 AZ:-0.965 | GX:-0.031 GY:0.794 GZ:1.008 | T:25.14 C
I (372805) mpu6050 stream: AX:-0.061 AY:0.072 AZ:-0.963 | GX:-0.153 GY:0.901 GZ:0.779 | T:25.14 C
I (372815) mpu6050 stream: AX:-0.067 AY:0.075 AZ:-0.961 | GX:-0.397 GY:0.779 GZ:0.550 | T:25.24 C
I (372825) mpu6050 stream: AX:-0.065 AY:0.076 AZ:-0.970 | GX:-0.626 GY:1.008 GZ:0.550 | T:25.14 C
