I (457655) mpu6050 stream: AX:-0.095 AY:0.077 AZ:-0.958 | GX:-0.153 GY:0.427 GZ:1.405 | T:25.14 C
I (457665) mpu6050 stream: AX:-0.092 AY:0.078 AZ:-0.955 | GX:-0.290 GY:0.672 GZ:1.282 | T:25.14 C
I (457675) mpu6050 stream: AX:-0.091 AY:0.070 AZ:-0.962 | GX:-0.748 GY:0.427 GZ:1.176 | T:25.05 C
I (457685) mpu6050 stream: AX:-0.092 AY:0.073 AZ:-0.961 | GX:-0.687 GY:0.656 GZ:1.160 | T:25.05 C
I (457695) mpu6050 stream: AX:-0.090 AY:0.080 AZ:-0.959 | GX:-0.443 GY:0.885 GZ:0.947 | T:25.14 C
I (457705) mpu6050 stream: AX:-0.092 AY:0.081 AZ:-0.960 | GX:-0.229 GY:0.794 GZ:1.038 | T:25.14 C
I (457715) mpu6050 stream: AX:-0.089 AY:0.076 AZ:-0.958 | GX:-0.412 GY:0.855 GZ:0.901 | T:25.14 C
I (457725) mpu6050 stream: AX:-0.086 AY:0.076 AZ:-0.957 | GX:-0.534 GY:0.992 GZ:0.779 | T:25.14 C
I (457735) mpu6050 stream: AX:-0.083 AY:0.077 AZ:-0.952 | GX:-0.779 GY:0.916 GZ:0.855 | T:25.05 C
I (457745) mpu6050 stream: AX:-0.082 AY:0.086 AZ:-0.947 | GX:-0.733 GY:0.382 GZ:0.687 | T:25.14 C
I (457755) mpu6050 stream: AX:-0.084 AY:0.076 AZ:-0.944 | GX:-0.824 GY:0.153 GZ:0.473 | T:25.14 C
I (457765) mpu6050 stream: AX:-0.093 AY:0.081 AZ:-0.947 | GX:-1.130 GY:-0.122 GZ:0.397 | T:25.14 C
I (457775) mpu6050 stream: AX:-0.092 AY:0.088 AZ:-0.940 | GX:-0.992 GY:0.000 GZ:0.168 | T:25.14 C
I (457785) mpu6050 stream: AX:-0.090 AY:0.086 AZ:-0.943 | GX:-1.038 GY:-0.260 GZ:0.229 | T:25.14 C
I (457795) mpu6050 stream: AX:-0.095 AY:0.087 AZ:-0.957 | GX:-0.947 GY:-0.504 GZ:0.275 | T:25.14 C
I (457805) mpu6050 stream: AX:-0.095 AY:0.088 AZ:-0.958 | GX:-0.885 GY:-0.305 GZ:0.275 | T:25.14 C
I (457815) mpu6050 stream: AX:-0.093 AY:0.087 AZ:-0.956 | GX:-0.702 GY:0.031 GZ:0.321 | T:25.14 C
I (457825) mpu6050 stream: AX:-0.099 AY:0.085 AZ:-0.958 | GX:-0.824 GY:0.122 GZ:0.550 | T:25.14 C
I (457835) mpu6050 stream: AX:-0.094 AY:0.091 AZ:-0.957 | GX:-0.733 GY:0.534 GZ:0.672 | T:25.14 C
