I (439515) mpu6050 stream: AX:-0.096 AY:0.100 AZ:-0.958 | GX:-0.656 GY:-1.008 GZ:1.389 | T:25.09 C
I (439525) mpu6050 stream: AX:-0.101 AY:0.096 AZ:-0.957 | GX:-1.176 GY:-0.641 GZ:1.328 | T:25.19 C
I (439535) mpu6050 stream: AX:-0.102 AY:0.100 AZ:-0.954 | GX:-1.038 GY:-0.122 GZ:1.344 | T:25.09 C
I (439545) mpu6050 stream: AX:-0.101 AY:0.099 AZ:-0.952 | GX:-0.397 GY:0.351 GZ:1.267 | T:25.00 C
I (439555) mpu6050 stream: AX:-0.099 AY:0.100 AZ:-0.955 | GX:0.260 GY:0.427 GZ:1.313 | T:25.14 C
I (439565) mpu6050 stream: AX:-0.092 AY:0.101 AZ:-0.959 | GX:0.412 GY:0.626 GZ:1.557 | T:25.14 C
I (439575) mpu6050 stream: AX:-0.098 AY:0.100 AZ:-0.958 | GX:0.214 GY:1.023 GZ:1.313 | T:25.14 C
I (439585) mpu6050 stream: AX:-0.095 AY:0.095 AZ:-0.958 | GX:-0.458 GY:0.687 GZ:1.237 | T:25.14 C
I (439595) mpu6050 stream: AX:-0.092 AY:0.100 AZ:-0.960 | GX:-0.931 GY:0.366 GZ:1.450 | T:25.14 C
I (439605) mpu6050 stream: AX:-0.091 AY:0.108 AZ:-0.953 | GX:-0.702 GY:0.168 GZ:1.298 | T:25.14 C
I (439615) mpu6050 stream: AX:-0.098 AY:0.106 AZ:-0.942 | GX:-0.244 GY:-0.183 GZ:1.466 | T:25.05 C
I (439625) mpu6050 stream: AX:-0.089 AY:0.106 AZ:-0.949 | GX:0.611 GY:-0.366 GZ:1.863 | T:25.05 C
I (439635) mpu6050 stream: AX:-0.097 AY:0.105 AZ:-0.953 | GX:0.962 GY:-0.046 GZ:2.046 | T:25.14 C
I (439645) mpu6050 stream: AX:-0.094 AY:0.091 AZ:-0.961 | GX:0.489 GY:-0.153 GZ:1.847 | T:25.05 C
I (439655) mpu6050 stream: AX:-0.095 AY:0.093 AZ:-0.950 | GX:-0.260 GY:0.336 GZ:1.786 | T:25.24 C
I (439665) mpu6050 stream: AX:-0.098 AY:0.099 AZ:-0.957 | GX:-0.855 GY:0.336 GZ:1.802 | T:25.24 C
I (439675) mpu6050 stream: AX:-0.099 AY:0.104 AZ:-0.960 | GX:-0.855 GY:0.580 GZ:1.725 | T:25.14 C
I (439685) mpu6050 stream: AX:-0.093 AY:0.107 AZ:-0.950 | GX:-0.595 GY:0.412 GZ:1.893 | T:25.14 C
I (439695) mpu6050 stream: AX:-0.089 AY:0.102 AZ:-0.958 | GX:0.076 GY:0.519 GZ:2.076 | T:25.14 C
I (439705) mpu6050 stream: AX:-0.094 AY:0.110 AZ:-0.951 | GX:0.641 GY:0.504 GZ:2.244 | T:25.14 C
I (439715) mpu6050 stream: AX:-0.090 AY:0.103 AZ:-0.954 | GX:1.099 GY:0.641 GZ:2.565 | T:25.14 C
I (439725) mpu6050 stream: AX:-0.089 AY:0.103 AZ:-0.937 | GX:1.023 GY:0.809 GZ:2.824 | T:25.14 C
I (439735) mpu6050 stream: AX:-0.088 AY:0.098 AZ:-0.951 | GX:0.992 GY:-0.153 GZ:2.977 | T:25.05 C
I (439745) mpu6050 stream: AX:-0.081 AY:0.096 AZ:-0.947 | GX:0.641 GY:-0.412 GZ:2.916 | T:25.14 C
I (439755) mpu6050 stream: AX:-0.095 AY:0.096 AZ:-0.946 | GX:0.198 GY:-1.069 GZ:2.748 | T:25.14 C
I (439765) mpu6050 stream: AX:-0.096 AY:0.093 AZ:-0.945 | GX:-0.031 GY:-0.885 GZ:2.870 | T:25.14 C
I (439775) mpu6050 stream: AX:-0.095 AY:0.096 AZ:-0.958 | GX:0.092 GY:-0.489 GZ:2.763 | T:25.05 C
I (439785) mpu6050 stream: AX:-0.092 AY:0.093 AZ:-0.956 | GX:0.183 GY:-0.366 GZ:2.458 | T:25.05 C
