I (562035) mpu6050 stream: AX:-0.054 AY:0.106 AZ:-0.930 | GX:2.672 GY:-2.107 GZ:-1.038 | T:25.05 C
I (562045) mpu6050 stream: AX:-0.058 AY:0.110 AZ:-0.926 | GX:2.779 GY:-1.420 GZ:-0.458 | T:25.05 C
I (562055) mpu6050 stream: AX:-0.047 AY:0.111 AZ:-0.961 | GX:1.924 GY:-2.687 GZ:-0.336 | T:24.95 C
I (562065) mpu6050 stream: AX:-0.071 AY:0.113 AZ:-1.024 | GX:-0.351 GY:-1.618 GZ:-0.107 | T:25.05 C
I (562075) mpu6050 stream: AX:-0.081 AY:0.115 AZ:-1.034 | GX:-0.855 GY:3.084 GZ:1.038 | T:25.05 C
I (562085) mpu6050 stream: AX:-0.062 AY:0.117 AZ:-0.986 | GX:1.725 GY:5.634 GZ:1.557 | T:24.95 C
I (562095) mpu6050 stream: AX:-0.043 AY:0.111 AZ:-0.970 | GX:5.160 GY:5.221 GZ:1.802 | T:24.95 C
I (562105) mpu6050 stream: AX:-0.059 AY:0.115 AZ:-1.009 | GX:5.099 GY:4.198 GZ:2.214 | T:24.86 C
I (562115) mpu6050 stream: AX:-0.069 AY:0.116 AZ:-1.021 | GX:1.985 GY:6.198 GZ:3.282 | T:24.95 C
I (562125) mpu6050 stream: AX:-0.062 AY:0.124 AZ:-0.982 | GX:1.023 GY:7.130 GZ:4.137 | T:24.86 C
I (562135) mpu6050 stream: AX:-0.055 AY:0.120 AZ:-0.985 | GX:0.397 GY:4.916 GZ:4.840 | T:24.95 C
I (562145) mpu6050 stream: AX:-0.066 AY:0.134 AZ:-1.004 | GX:0.107 GY:5.313 GZ:6.061 | T:24.86 C
I (562155) mpu6050 stream: AX:-0.086 AY:0.132 AZ:-1.001 | GX:1.863 GY:8.565 GZ:7.664 | T:25.05 C
I (562165) mpu6050 stream: AX:-0.080 AY:0.131 AZ:-0.982 | GX:3.069 GY:11.145 GZ:9.191 | T:24.95 C
I (562175) mpu6050 stream: AX:-0.067 AY:0.122 AZ:-0.963 | GX:4.595 GY:13.420 GZ:10.534 | T:24.95 C
I (562185) mpu6050 stream: AX:-0.051 AY:0.119 AZ:-0.949 | GX:5.924 GY:15.130 GZ:11.511 | T:24.95 C
I (562195) mpu6050 stream: AX:-0.046 AY:0.118 AZ:-0.937 | GX:5.985 GY:15.786 GZ:12.718 | T:25.05 C
I (562205) mpu6050 stream: AX:-0.040 AY:0.116 AZ:-0.911 | GX:4.962 GY:16.275 GZ:14.443 | T:24.86 C
I (562215) mpu6050 stream: AX:-0.024 AY:0.117 AZ:-0.885 | GX:5.389 GY:15.496 GZ:15.954 | T:24.95 C
I (562225) mpu6050 stream: AX:-0.013 AY:0.104 AZ:-0.859 | GX:6.153 GY:13.344 GZ:17.008 | T:24.95 C
I (562235) mpu6050 stream: AX:-0.016 AY:0.106 AZ:-0.877 | GX:6.702 GY:9.374 GZ:17.908 | T:24.95 C
I (562245) mpu6050 stream: AX:-0.028 AY:0.098 AZ:-0.896 | GX:7.008 GY:6.947 GZ:19.008 | T:24.95 C
I (562255) mpu6050 stream: AX:-0.031 AY:0.087 AZ:-0.896 | GX:6.550 GY:5.023 GZ:19.969 | T:24.95 C
I (562265) mpu6050 stream: AX:-0.031 AY:0.078 AZ:-0.915 | GX:6.183 GY:3.252 GZ:20.504 | T:24.95 C
I (562275) mpu6050 stream: AX:-0.030 AY:0.070 AZ:-0.903 | GX:5.817 GY:2.519 GZ:20.733 | T:24.91 C
I (562285) mpu6050 stream: AX:-0.052 AY:0.061 AZ:-0.901 | GX:5.573 GY:1.786 GZ:20.244 | T:25.00 C
I (562295) mpu6050 stream: AX:-0.045 AY:0.052 AZ:-0.913 | GX:5.435 GY:1.252 GZ:19.832 | T:24.91 C
I (562305) mpu6050 stream: AX:-0.048 AY:0.055 AZ:-0.921 | GX:4.794 GY:0.733 GZ:18.901 | T:25.00 C
I (562315) mpu6050 stream: AX:-0.044 AY:0.043 AZ:-0.922 | GX:3.450 GY:0.214 GZ:17.985 | T:25.00 C
I (562325) mpu6050 stream: AX:-0.051 AY:0.047 AZ:-0.916 | GX:2.458 GY:-0.947 GZ:16.641 | T:25.00 C
I (562335) mpu6050 stream: AX:-0.055 AY:0.039 AZ:-0.932 | GX:1.481 GY:-2.794 GZ:14.824 | T:24.91 C
I (562345) mpu6050 stream: AX:-0.063 AY:0.044 AZ:-0.957 | GX:0.779 GY:-3.573 GZ:12.611 | T:25.00 C
I (562355) mpu6050 stream: AX:-0.065 AY:0.053 AZ:-0.970 | GX:-0.580 GY:-4.305 GZ:10.504 | T:24.91 C
I (562365) mpu6050 stream: AX:-0.062 AY:0.055 AZ:-0.991 | GX:-0.947 GY:-4.870 GZ:8.290 | T:25.00 C
I (562375) mpu6050 stream: AX:-0.077 AY:0.055 AZ:-1.017 | GX:-1.725 GY:-4.641 GZ:6.092 | T:25.00 C
I (562385) mpu6050 stream: AX:-0.098 AY:0.058 AZ:-1.017 | GX:-1.618 GY:-3.374 GZ:3.740 | T:25.00 C
I (562395) mpu6050 stream: AX:-0.096 AY:0.067 AZ:-1.027 | GX:-1.115 GY:-1.924 GZ:1.420 | T:25.00 C
I (562405) mpu6050 stream: AX:-0.101 AY:0.074 AZ:-1.019 | GX:-0.656 GY:0.397 GZ:-0.855 | T:25.09 C
I (562415) mpu6050 stream: AX:-0.097 AY:0.073 AZ:-1.018 | GX:-0.458 GY:2.702 GZ:-2.718 | T:25.00 C
I (562425) mpu6050 stream: AX:-0.090 AY:0.081 AZ:-0.988 | GX:-0.519 GY:4.351 GZ:-4.427 | T:25.00 C
I (562435) mpu6050 stream: AX:-0.079 AY:0.082 AZ:-0.969 | GX:-0.565 GY:4.626 GZ:-6.351 | T:25.00 C
I (562445) mpu6050 stream: AX:-0.073 AY:0.078 AZ:-0.945 | GX:0.015 GY:4.137 GZ:-7.924 | T:25.00 C
I (562455) mpu6050 stream: AX:-0.066 AY:0.080 AZ:-0.940 | GX:-0.687 GY:2.840 GZ:-9.298 | T:25.00 C
I (562465) mpu6050 stream: AX:-0.062 AY:0.085 AZ:-0.934 | GX:-2.366 GY:0.794 GZ:-10.748 | T:24.91 C
I (562475) mpu6050 stream: AX:-0.065 AY:0.091 AZ:-0.944 | GX:-3.618 GY:-0.718 GZ:-11.817 | T:25.00 C
I (562485) mpu6050 stream: AX:-0.068 AY:0.100 AZ:-0.966 | GX:-5.328 GY:-0.519 GZ:-12.687 | T:25.00 C
I (562495) mpu6050 stream: AX:-0.069 AY:0.108 AZ:-0.954 | GX:-4.840 GY:1.282 GZ:-12.824 | T:24.91 C
I (562505) mpu6050 stream: AX:-0.071 AY:0.115 AZ:-0.976 | GX:-3.832 GY:2.687 GZ:-12.824 | T:25.00 C
I (562515) mpu6050 stream: AX:-0.066 AY:0.110 AZ:-0.970 | GX:-3.237 GY:4.443 GZ:-12.168 | T:25.00 C
I (562525) mpu6050 stream: AX:-0.061 AY:0.112 AZ:-0.961 | GX:-2.397 GY:5.267 GZ:-11.924 | T:24.91 C
I (562535) mpu6050 stream: AX:-0.037 AY:0.123 AZ:-0.947 | GX:-2.626 GY:5.069 GZ:-11.511 | T:25.00 C
I (562545) mpu6050 stream: AX:-0.036 AY:0.128 AZ:-0.926 | GX:-2.137 GY:3.817 GZ:-11.084 | T:25.00 C
I (562555) mpu6050 stream: AX:-0.033 AY:0.126 AZ:-0.914 | GX:-2.351 GY:2.351 GZ:-10.290 | T:25.00 C
I (562565) mpu6050 stream: AX:-0.027 AY:0.118 AZ:-0.905 | GX:-3.237 GY:-0.015 GZ:-9.679 | T:25.00 C
I (562575) mpu6050 stream: AX:-0.035 AY:0.119 AZ:-0.911 | GX:-3.756 GY:-2.321 GZ:-9.267 | T:25.09 C
I (562585) mpu6050 stream: AX:-0.034 AY:0.119 AZ:-0.920 | GX:-5.435 GY:-4.321 GZ:-8.931 | T:24.91 C
I (562595) mpu6050 stream: AX:-0.050 AY:0.129 AZ:-0.927 | GX:-6.015 GY:-5.863 GZ:-8.580 | T:25.00 C
I (562605) mpu6050 stream: AX:-0.053 AY:0.130 AZ:-0.929 | GX:-6.672 GY:-6.489 GZ:-8.153 | T:24.91 C
I (562615) mpu6050 stream: AX:-0.062 AY:0.141 AZ:-0.929 | GX:-6.168 GY:-6.550 GZ:-7.527 | T:25.00 C
I (562625) mpu6050 stream: AX:-0.064 AY:0.141 AZ:-0.948 | GX:-5.145 GY:-6.122 GZ:-7.084 | T:25.09 C
