I (598425) mpu6050 stream: AX:-0.000 AY:0.091 AZ:-0.963 | GX:-0.794 GY:0.473 GZ:0.733 | T:24.91 C
I (598435) mpu6050 stream: AX:-0.002 AY:0.099 AZ:-0.966 | GX:-1.405 GY:0.641 GZ:0.641 | T:25.00 C
I (598445) mpu6050 stream: AX:-0.004 AY:0.104 AZ:-0.978 | GX:-1.588 GY:0.550 GZ:0.336 | T:25.00 C
I (598455) mpu6050 stream: AX:0.003 AY:0.110 AZ:-0.963 | GX:-0.595 GY:0.351 GZ:0.336 | T:24.91 C
I (598465) mpu6050 stream: AX:0.001 AY:0.111 AZ:-0.953 | GX:1.023 GY:0.153 GZ:0.550 | T:24.91 C
I (598475) mpu6050 stream: AX:0.000 AY:0.105 AZ:-0.944 | GX:2.595 GY:0.168 GZ:0.656 | T:24.91 C
I (598485) mpu6050 stream: AX:-0.001 AY:0.097 AZ:-0.954 | GX:2.870 GY:0.076 GZ:0.824 | T:24.91 C
I (598495) mpu6050 stream: AX:-0.004 AY:0.090 AZ:-0.960 | GX:2.061 GY:0.061 GZ:0.885 | T:24.91 C
I (598505) mpu6050 stream: AX:0.003 AY:0.088 AZ:-0.961 | GX:0.336 GY:-0.107 GZ:0.779 | T:25.05 C
I (598515) mpu6050 stream: AX:0.006 AY:0.092 AZ:-0.961 | GX:-1.221 GY:-1.191 GZ:0.870 | T:25.05 C
I (598525) mpu6050 stream: AX:0.000 AY:0.101 AZ:-0.949 | GX:-1.756 GY:-1.298 GZ:1.084 | T:24.95 C
I (598535) mpu6050 stream: AX:0.000 AY:0.101 AZ:-0.940 | GX:-1.328 GY:-1.466 GZ:1.282 | T:24.95 C
I (598545) mpu6050 stream: AX:0.000 AY:0.100 AZ:-0.951 | GX:-0.336 GY:-1.191 GZ:1.756 | T:24.86 C
I (598555) mpu6050 stream: AX:-0.013 AY:0.092 AZ:-0.956 | GX:0.321 GY:-1.115 GZ:1.939 | T:24.95 C
I (598565) mpu6050 stream: AX:-0.014 AY:0.100 AZ:-0.962 | GX:0.427 GY:-0.748 GZ:1.878 | T:24.95 C
I (598575) mpu6050 stream: AX:-0.010 AY:0.093 AZ:-0.958 | GX:-0.137 GY:-0.870 GZ:2.000 | T:24.95 C
I (598585) mpu6050 stream: AX:-0.007 AY:0.092 AZ:-0.965 | GX:-0.794 GY:-1.008 GZ:1.817 | T:24.86 C
I (598595) mpu6050 stream: AX:-0.012 AY:0.094 AZ:-0.959 | GX:-1.130 GY:-1.038 GZ:1.359 | T:24.86 C
I (598605) mpu6050 stream: AX:-0.012 AY:0.094 AZ:-0.956 | GX:-1.374 GY:-0.718 GZ:1.221 | T:24.95 C
I (598615) mpu6050 stream: AX:-0.011 AY:0.089 AZ:-0.961 | GX:-1.313 GY:-0.382 GZ:0.992 | T:25.00 C
I (598625) mpu6050 stream: AX:-0.008 AY:0.097 AZ:-0.964 | GX:-0.779 GY:-0.214 GZ:0.397 | T:25.00 C
I (598635) mpu6050 stream: AX:-0.009 AY:0.095 AZ:-0.955 | GX:-0.595 GY:-0.015 GZ:0.260 | T:24.91 C
I (598645) mpu6050 stream: AX:-0.002 AY:0.094 AZ:-0.958 | GX:-0.168 GY:-0.046 GZ:0.107 | T:25.00 C
I (598655) mpu6050 stream: AX:-0.005 AY:0.099 AZ:-0.972 | GX:0.107 GY:0.031 GZ:-0.015 | T:24.91 C
