I (206915) mpu6050 stream: AX:-0.142 AY:0.100 AZ:-0.940 | GX:0.244 GY:0.366 GZ:0.916 | T:25.24 C
I (206925) mpu6050 stream: AX:-0.156 AY:0.099 AZ:-0.945 | GX:0.198 GY:0.321 GZ:0.931 | T:25.24 C
I (206935) mpu6050 stream: AX:-0.160 AY:0.100 AZ:-0.944 | GX:-0.061 GY:-0.092 GZ:0.901 | T:25.24 C
I (206945) mpu6050 stream: AX:-0.156 AY:0.099 AZ:-0.952 | GX:-0.580 GY:0.031 GZ:1.008 | T:25.14 C
I (206955) mpu6050 stream: AX:-0.157 AY:0.107 AZ:-0.942 | GX:-0.565 GY:0.183 GZ:0.824 | T:25.24 C
I (206965) mpu6050 stream: AX:-0.152 AY:0.098 AZ:-0.942 | GX:-0.260 GY:0.168 GZ:0.885 | T:25.14 C
I (206975) mpu6050 stream: AX:-0.153 AY:0.098 AZ:-0.946 | GX:0.122 GY:-0.031 GZ:0.870 | T:25.24 C
I (206985) mpu6050 stream: AX:-0.153 AY:0.101 AZ:-0.941 | GX:-0.061 GY:0.305 GZ:0.794 | T:25.14 C
I (206995) mpu6050 stream: AX:-0.150 AY:0.094 AZ:-0.941 | GX:-0.336 GY:0.122 GZ:0.641 | T:25.24 C
I (207005) mpu6050 stream: AX:-0.150 AY:0.094 AZ:-0.943 | GX:-1.084 GY:0.046 GZ:0.550 | T:25.28 C
I (207015) mpu6050 stream: AX:-0.150 AY:0.102 AZ:-0.953 | GX:-1.557 GY:0.153 GZ:0.397 | T:25.28 C
I (207025) mpu6050 stream: AX:-0.155 AY:0.109 AZ:-0.939 | GX:-1.496 GY:0.519 GZ:0.473 | T:25.19 C
I (207035) mpu6050 stream: AX:-0.154 AY:0.115 AZ:-0.941 | GX:-0.687 GY:0.595 GZ:0.198 | T:25.19 C
I (207045) mpu6050 stream: AX:-0.149 AY:0.108 AZ:-0.937 | GX:0.656 GY:-0.214 GZ:0.397 | T:25.28 C
I (207055) mpu6050 stream: AX:-0.142 AY:0.104 AZ:-0.940 | GX:1.710 GY:-0.748 GZ:0.534 | T:25.19 C
I (207065) mpu6050 stream: AX:-0.154 AY:0.099 AZ:-0.946 | GX:1.893 GY:-0.687 GZ:0.840 | T:25.28 C
I (207075) mpu6050 stream: AX:-0.161 AY:0.100 AZ:-0.950 | GX:1.084 GY:-1.038 GZ:1.008 | T:25.28 C
I (207085) mpu6050 stream: AX:-0.156 AY:0.095 AZ:-0.945 | GX:-0.153 GY:-0.855 GZ:0.870 | T:25.19 C
I (207095) mpu6050 stream: AX:-0.162 AY:0.095 AZ:-0.948 | GX:-1.038 GY:-0.733 GZ:1.267 | T:25.19 C
I (207105) mpu6050 stream: AX:-0.163 AY:0.099 AZ:-0.933 | GX:-1.252 GY:-0.855 GZ:1.527 | T:25.19 C
I (207115) mpu6050 stream: AX:-0.169 AY:0.106 AZ:-0.947 | GX:-0.794 GY:-0.672 GZ:1.237 | T:25.19 C
I (207125) mpu6050 stream: AX:-0.164 AY:0.099 AZ:-0.952 | GX:-0.321 GY:-0.397 GZ:1.573 | T:25.19 C
I (207135) mpu6050 stream: AX:-0.162 AY:0.104 AZ:-0.940 | GX:0.046 GY:-0.137 GZ:1.603 | T:25.28 C
I (207145) mpu6050 stream: AX:-0.163 AY:0.102 AZ:-0.938 | GX:0.198 GY:-0.321 GZ:1.740 | T:25.19 C
I (207155) mpu6050 stream: AX:-0.160 AY:0.095 AZ:-0.942 | GX:0.031 GY:-0.382 GZ:1.481 | T:25.28 C
I (207165) mpu6050 stream: AX:-0.160 AY:0.092 AZ:-0.937 | GX:-0.153 GY:-0.687 GZ:1.344 | T:25.19 C
I (207175) mpu6050 stream: AX:-0.161 AY:0.097 AZ:-0.941 | GX:-0.641 GY:-0.779 GZ:1.099 | T:25.19 C
I (207185) mpu6050 stream: AX:-0.159 AY:0.099 AZ:-0.935 | GX:-0.824 GY:-0.656 GZ:0.916 | T:25.19 C
I (207195) mpu6050 stream: AX:-0.167 AY:0.091 AZ:-0.951 | GX:-1.130 GY:-0.824 GZ:0.626 | T:25.19 C
I (207205) mpu6050 stream: AX:-0.166 AY:0.102 AZ:-0.947 | GX:-0.931 GY:-0.443 GZ:0.580 | T:25.19 C
I (207215) mpu6050 stream: AX:-0.160 AY:0.106 AZ:-0.951 | GX:-0.779 GY:-0.244 GZ:0.565 | T:25.19 C
I (207225) mpu6050 stream: AX:-0.157 AY:0.104 AZ:-0.948 | GX:-0.458 GY:-0.061 GZ:0.595 | T:25.19 C
I (207235) mpu6050 stream: AX:-0.161 AY:0.102 AZ:-0.949 | GX:-0.153 GY:-0.183 GZ:0.702 | T:25.28 C
I (207245) mpu6050 stream: AX:-0.158 AY:0.104 AZ:-0.943 | GX:0.061 GY:0.092 GZ:0.656 | T:25.19 C
I (207255) mpu6050 stream: AX:-0.162 AY:0.097 AZ:-0.949 | GX:-0.229 GY:-0.382 GZ:0.748 | T:25.19 C
I (207265) mpu6050 stream: AX:-0.166 AY:0.100 AZ:-0.960 | GX:-0.855 GY:0.031 GZ:0.641 | T:25.19 C
I (207275) mpu6050 stream: AX:-0.158 AY:0.104 AZ:-0.948 | GX:-1.542 GY:0.290 GZ:0.962 | T:25.19 C
I (207285) mpu6050 stream: AX:-0.155 AY:0.106 AZ:-0.940 | GX:-1.527 GY:0.504 GZ:0.718 | T:25.19 C
I (207295) mpu6050 stream: AX:-0.162 AY:0.110 AZ:-0.942 | GX:-0.748 GY:0.366 GZ:0.748 | T:25.28 C
I (207305) mpu6050 stream: AX:-0.157 AY:0.112 AZ:-0.946 | GX:0.076 GY:0.290 GZ:0.733 | T:25.19 C
I (207315) mpu6050 stream: AX:-0.163 AY:0.103 AZ:-0.944 | GX:0.870 GY:0.351 GZ:0.779 | T:25.19 C
I (207325) mpu6050 stream: AX:-0.158 AY:0.099 AZ:-0.952 | GX:0.672 GY:0.397 GZ:0.840 | T:25.28 C
I (207335) mpu6050 stream: AX:-0.160 AY:0.098 AZ:-0.950 | GX:0.137 GY:0.336 GZ:0.763 | T:25.24 C
I (207345) mpu6050 stream: AX:-0.156 AY:0.092 AZ:-0.943 | GX:-0.519 GY:0.550 GZ:0.641 | T:25.24 C
