I (639845) mpu6050 stream: AX:-0.001 AY:0.109 AZ:-0.953 | GX:0.519 GY:0.061 GZ:1.023 | T:25.05 C
I (639855) mpu6050 stream: AX:-0.008 AY:0.102 AZ:-0.953 | GX:2.031 GY:-0.046 GZ:1.191 | T:24.91 C
I (639865) mpu6050 stream: AX:-0.004 AY:0.101 AZ:-0.955 | GX:2.824 GY:0.046 GZ:1.481 | T:25.00 C
I (639875) mpu6050 stream: AX:-0.005 AY:0.100 AZ:-0.961 | GX:2.397 GY:0.107 GZ:1.466 | T:25.00 C
I (639885) mpu6050 stream: AX:-0.006 AY:0.095 AZ:-0.958 | GX:1.313 GY:0.046 GZ:1.359 | T:24.91 C
I (639895) mpu6050 stream: AX:0.002 AY:0.094 AZ:-0.956 | GX:0.031 GY:0.061 GZ:1.374 | T:25.00 C
I (639905) mpu6050 stream: AX:-0.003 AY:0.092 AZ:-0.960 | GX:-0.901 GY:-0.534 GZ:1.145 | T:25.00 C
I (639915) mpu6050 stream: AX:-0.000 AY:0.095 AZ:-0.947 | GX:-0.870 GY:-0.870 GZ:1.282 | T:25.00 C
I (639925) mpu6050 stream: AX:-0.002 AY:0.104 AZ:-0.944 | GX:-0.244 GY:-0.962 GZ:1.252 | T:25.00 C
I (639935) mpu6050 stream: AX:-0.007 AY:0.107 AZ:-0.954 | GX:0.550 GY:-1.069 GZ:1.435 | T:25.00 C
I (639945) mpu6050 stream: AX:-0.006 AY:0.099 AZ:-0.960 | GX:0.931 GY:-1.008 GZ:1.282 | T:25.00 C
I (639955) mpu6050 stream: AX:-0.004 AY:0.100 AZ:-0.961 | GX:0.962 GY:-0.702 GZ:1.313 | T:24.91 C
I (639965) mpu6050 stream: AX:-0.006 AY:0.098 AZ:-0.955 | GX:0.901 GY:-0.779 GZ:1.252 | T:25.00 C
I (639975) mpu6050 stream: AX:-0.007 AY:0.095 AZ:-0.957 | GX:0.580 GY:-0.794 GZ:1.252 | T:25.00 C
I (639985) mpu6050 stream: AX:-0.006 AY:0.095 AZ:-0.960 | GX:0.351 GY:-0.626 GZ:0.809 | T:25.00 C
I (639995) mpu6050 stream: AX:-0.001 AY:0.094 AZ:-0.966 | GX:0.305 GY:-0.611 GZ:0.733 | T:25.00 C
I (640005) mpu6050 stream: AX:0.000 AY:0.103 AZ:-0.958 | GX:0.473 GY:-0.580 GZ:0.504 | T:25.00 C
I (640015) mpu6050 stream: AX:-0.007 AY:0.098 AZ:-0.956 | GX:1.069 GY:-0.962 GZ:0.458 | T:24.91 C
I (640025) mpu6050 stream: AX:-0.007 AY:0.103 AZ:-0.965 | GX:1.252 GY:-0.779 GZ:0.550 | T:25.00 C
I (640035) mpu6050 stream: AX:-0.011 AY:0.100 AZ:-0.969 | GX:1.069 GY:-0.321 GZ:0.672 | T:25.00 C
I (640045) mpu6050 stream: AX:-0.011 AY:0.098 AZ:-0.962 | GX:0.885 GY:-0.244 GZ:0.672 | T:24.91 C
I (640055) mpu6050 stream: AX:-0.005 AY:0.095 AZ:-0.967 | GX:0.412 GY:0.000 GZ:0.794 | T:24.91 C
I (640065) mpu6050 stream: AX:-0.009 AY:0.105 AZ:-0.962 | GX:0.458 GY:-0.397 GZ:0.687 | T:24.91 C
I (640075) mpu6050 stream: AX:-0.004 AY:0.107 AZ:-0.958 | GX:0.885 GY:-0.611 GZ:0.824 | T:24.91 C
I (640085) mpu6050 stream: AX:-0.013 AY:0.107 AZ:-0.952 | GX:1.359 GY:-0.809 GZ:1.160 | T:24.91 C
I (640095) mpu6050 stream: AX:-0.008 AY:0.101 AZ:-0.958 | GX:1.679 GY:-0.382 GZ:1.359 | T:25.09 C
I (640105) mpu6050 stream: AX:-0.005 AY:0.096 AZ:-0.967 | GX:1.756 GY:-0.198 GZ:1.679 | T:25.00 C
I (640115) mpu6050 stream: AX:-0.007 AY:0.094 AZ:-0.966 | GX:1.588 GY:0.214 GZ:1.725 | T:25.00 C
I (640125) mpu6050 stream: AX:-0.017 AY:0.090 AZ:-0.953 | GX:1.328 GY:0.061 GZ:1.725 | T:24.91 C
I (640135) mpu6050 stream: AX:-0.010 AY:0.095 AZ:-0.961 | GX:0.977 GY:0.504 GZ:1.847 | T:25.00 C
I (640145) mpu6050 stream: AX:-0.008 AY:0.098 AZ:-0.958 | GX:1.084 GY:0.397 GZ:2.092 | T:24.91 C
I (640155) mpu6050 stream: AX:-0.007 AY:0.097 AZ:-0.954 | GX:0.870 GY:0.321 GZ:1.954 | T:25.00 C
I (640165) mpu6050 stream: AX:-0.004 AY:0.095 AZ:-0.958 | GX:1.267 GY:0.122 GZ:2.015 | T:25.00 C
I (640175) mpu6050 stream: AX:-0.006 AY:0.094 AZ:-0.961 | GX:1.282 GY:0.214 GZ:2.046 | T:25.00 C
I (640185) mpu6050 stream: AX:-0.007 AY:0.093 AZ:-0.956 | GX:1.374 GY:0.061 GZ:1.863 | T:25.00 C
I (640195) mpu6050 stream: AX:-0.004 AY:0.088 AZ:-0.956 | GX:1.282 GY:0.061 GZ:1.924 | T:25.00 C
I (640205) mpu6050 stream: AX:-0.011 AY:0.086 AZ:-0.954 | GX:1.237 GY:-0.031 GZ:1.740 | T:25.00 C
I (640215) mpu6050 stream: AX:-0.004 AY:0.091 AZ:-0.957 | GX:0.901 GY:0.015 GZ:1.756 | T:24.91 C
I (640225) mpu6050 stream: AX:-0.013 AY:0.088 AZ:-0.962 | GX:0.595 GY:-0.031 GZ:1.450 | T:25.00 C
I (640235) mpu6050 stream: AX:-0.006 AY:0.088 AZ:-0.963 | GX:0.260 GY:0.244 GZ:1.420 | T:25.00 C
I (640245) mpu6050 stream: AX:-0.012 AY:0.091 AZ:-0.959 | GX:0.229 GY:0.168 GZ:1.450 | T:25.00 C
I (640255) mpu6050 stream: AX:-0.014 AY:0.090 AZ:-0.951 | GX:0.214 GY:0.321 GZ:1.466 | T:25.00 C
I (640265) mpu6050 stream: AX:-0.011 AY:0.089 AZ:-0.964 | GX:0.595 GY:0.122 GZ:1.481 | T:25.00 C
I (640275) mpu6050 stream: AX:-0.012 AY:0.092 AZ:-0.962 | GX:0.565 GY:0.504 GZ:1.481 | T:24.91 C
I (640285) mpu6050 stream: AX:-0.011 AY:0.093 AZ:-0.956 | GX:0.565 GY:0.763 GZ:1.450 | T:25.00 C
I (640295) mpu6050 stream: AX:-0.011 AY:0.086 AZ:-0.958 | GX:0.809 GY:0.626 GZ:1.221 | T:25.00 C
I (640305) mpu6050 stream: AX:-0.011 AY:0.090 AZ:-0.955 | GX:0.977 GY:0.473 GZ:1.267 | T:25.00 C
I (640315) mpu6050 stream: AX:-0.004 AY:0.087 AZ:-0.950 | GX:1.069 GY:0.641 GZ:1.267 | T:25.00 C
I (640325) mpu6050 stream: AX:-0.010 AY:0.084 AZ:-0.955 | GX:0.855 GY:0.382 GZ:1.237 | T:24.91 C
I (640335) mpu6050 stream: AX:-0.004 AY:0.083 AZ:-0.960 | GX:0.641 GY:0.168 GZ:1.298 | T:25.00 C
I (640345) mpu6050 stream: AX:-0.001 AY:0.087 AZ:-0.961 | GX:0.397 GY:0.305 GZ:1.176 | T:25.00 C
I (640355) mpu6050 stream: AX:-0.007 AY:0.087 AZ:-0.958 | GX:0.000 GY:0.092 GZ:0.962 | T:25.00 C
I (640365) mpu6050 stream: AX:-0.005 AY:0.086 AZ:-0.960 | GX:-0.153 GY:0.015 GZ:0.855 | T:24.91 C
I (640375) mpu6050 stream: AX:-0.010 AY:0.088 AZ:-0.960 | GX:-0.275 GY:-0.061 GZ:0.931 | T:25.00 C
I (640385) mpu6050 stream: AX:-0.011 AY:0.090 AZ:-0.958 | GX:-0.412 GY:0.275 GZ:0.840 | T:24.91 C
I (640395) mpu6050 stream: AX:-0.004 AY:0.091 AZ:-0.955 | GX:-0.153 GY:0.321 GZ:0.916 | T:24.91 C
I (640405) mpu6050 stream: AX:-0.008 AY:0.095 AZ:-0.954 | GX:-0.229 GY:-0.031 GZ:0.733 | T:24.91 C
I (640415) mpu6050 stream: AX:-0.007 AY:0.092 AZ:-0.955 | GX:-0.046 GY:-0.076 GZ:0.840 | T:25.09 C
I (640425) mpu6050 stream: AX:-0.010 AY:0.092 AZ:-0.960 | GX:-0.107 GY:-0.244 GZ:0.595 | T:24.91 C
I (640435) mpu6050 stream: AX:-0.006 AY:0.096 AZ:-0.968 | GX:-0.092 GY:-0.672 GZ:0.763 | T:25.00 C
I (640445) mpu6050 stream: AX:-0.007 AY:0.088 AZ:-0.963 | GX:-0.229 GY:-0.504 GZ:0.626 | T:25.00 C
I (640455) mpu6050 stream: AX:-0.010 AY:0.094 AZ:-0.964 | GX:-0.382 GY:-0.672 GZ:0.656 | T:24.91 C
I (640465) mpu6050 stream: AX:-0.007 AY:0.100 AZ:-0.968 | GX:-0.336 GY:-0.366 GZ:0.687 | T:24.91 C
I (640475) mpu6050 stream: AX:-0.012 AY:0.095 AZ:-0.968 | GX:-0.260 GY:0.015 GZ:0.702 | T:25.00 C
I (640485) mpu6050 stream: AX:-0.010 AY:0.095 AZ:-0.954 | GX:0.137 GY:0.534 GZ:0.855 | T:25.00 C
I (640495) mpu6050 stream: AX:-0.011 AY:0.096 AZ:-0.954 | GX:0.351 GY:0.580 GZ:0.885 | T:25.00 C
I (640505) mpu6050 stream: AX:-0.002 AY:0.097 AZ:-0.957 | GX:0.031 GY:0.794 GZ:0.885 | T:24.91 C
I (640515) mpu6050 stream: AX:-0.001 AY:0.094 AZ:-0.963 | GX:-0.412 GY:0.687 GZ:0.748 | T:25.00 C
I (640525) mpu6050 stream: AX:-0.008 AY:0.096 AZ:-0.969 | GX:-0.779 GY:0.779 GZ:0.824 | T:25.00 C
I (640535) mpu6050 stream: AX:-0.005 AY:0.103 AZ:-0.971 | GX:-1.466 GY:0.779 GZ:0.824 | T:25.00 C
I (640545) mpu6050 stream: AX:-0.001 AY:0.101 AZ:-0.953 | GX:-0.947 GY:0.641 GZ:1.130 | T:25.00 C
I (640555) mpu6050 stream: AX:0.004 AY:0.101 AZ:-0.955 | GX:0.321 GY:-0.046 GZ:1.176 | T:24.91 C
I (640565) mpu6050 stream: AX:-0.004 AY:0.106 AZ:-0.959 | GX:1.908 GY:0.168 GZ:1.450 | T:25.00 C
I (640575) mpu6050 stream: AX:-0.006 AY:0.088 AZ:-0.960 | GX:2.366 GY:0.061 GZ:1.588 | T:25.09 C
I (640585) mpu6050 stream: AX:-0.007 AY:0.086 AZ:-0.960 | GX:1.786 GY:0.275 GZ:1.573 | T:25.00 C
I (640595) mpu6050 stream: AX:-0.006 AY:0.088 AZ:-0.963 | GX:0.504 GY:0.153 GZ:1.573 | T:25.00 C
I (640605) mpu6050 stream: AX:-0.006 AY:0.078 AZ:-0.961 | GX:-0.794 GY:0.031 GZ:1.191 | T:25.00 C
I (640615) mpu6050 stream: AX:-0.011 AY:0.093 AZ:-0.956 | GX:-1.786 GY:-0.397 GZ:1.313 | T:24.91 C
I (640625) mpu6050 stream: AX:-0.014 AY:0.094 AZ:-0.959 | GX:-1.542 GY:-0.168 GZ:1.527 | T:25.00 C
I (640635) mpu6050 stream: AX:-0.011 AY:0.098 AZ:-0.958 | GX:-1.252 GY:0.000 GZ:1.588 | T:25.00 C
I (640645) mpu6050 stream: AX:-0.007 AY:0.105 AZ:-0.961 | GX:-0.275 GY:-0.061 GZ:1.710 | T:25.00 C
I (640655) mpu6050 stream: AX:-0.015 AY:0.089 AZ:-0.953 | GX:0.153 GY:0.015 GZ:1.664 | T:25.00 C
I (640665) mpu6050 stream: AX:-0.010 AY:0.090 AZ:-0.958 | GX:0.321 GY:0.244 GZ:1.679 | T:25.00 C
I (640675) mpu6050 stream: AX:-0.009 AY:0.089 AZ:-0.963 | GX:0.031 GY:0.290 GZ:1.359 | T:25.00 C
I (640685) mpu6050 stream: AX:-0.005 AY:0.093 AZ:-0.962 | GX:-0.412 GY:0.336 GZ:0.977 | T:24.91 C
I (640695) mpu6050 stream: AX:-0.010 AY:0.090 AZ:-0.960 | GX:-0.519 GY:0.153 GZ:0.565 | T:25.00 C
I (640705) mpu6050 stream: AX:0.000 AY:0.091 AZ:-0.953 | GX:-0.519 GY:0.351 GZ:0.382 | T:25.00 C
I (640715) mpu6050 stream: AX:-0.010 AY:0.096 AZ:-0.961 | GX:-0.092 GY:0.382 GZ:0.214 | T:25.00 C
I (640725) mpu6050 stream: AX:-0.008 AY:0.094 AZ:-0.951 | GX:0.137 GY:0.534 GZ:0.015 | T:25.00 C
I (640735) mpu6050 stream: AX:0.002 AY:0.090 AZ:-0.955 | GX:0.702 GY:0.260 GZ:0.000 | T:24.91 C
I (640745) mpu6050 stream: AX:-0.009 AY:0.097 AZ:-0.968 | GX:0.519 GY:0.092 GZ:0.122 | T:25.00 C
