I (541635) mpu6050 stream: AX:-0.079 AY:0.099 AZ:-0.950 | GX:-2.443 GY:-1.450 GZ:0.748 | T:25.05 C
I (541645) mpu6050 stream: AX:-0.083 AY:0.100 AZ:-0.963 | GX:-2.947 GY:-2.168 GZ:0.183 | T:24.95 C
I (541655) mpu6050 stream: AX:-0.088 AY:0.105 AZ:-0.960 | GX:-2.611 GY:-1.786 GZ:-0.076 | T:25.00 C
I (541665) mpu6050 stream: AX:-0.093 AY:0.107 AZ:-0.958 | GX:-1.511 GY:-1.221 GZ:-0.534 | T:25.00 C
I (541675) mpu6050 stream: AX:-0.090 AY:0.100 AZ:-0.940 | GX:-0.855 GY:-1.344 GZ:-1.130 | T:25.00 C
I (541685) mpu6050 stream: AX:-0.091 AY:0.093 AZ:-0.962 | GX:-0.718 GY:-1.038 GZ:-1.511 | T:24.91 C
I (541695) mpu6050 stream: AX:-0.099 AY:0.100 AZ:-0.959 | GX:-1.313 GY:-0.244 GZ:-2.000 | T:25.00 C
I (541705) mpu6050 stream: AX:-0.093 AY:0.106 AZ:-0.946 | GX:-1.771 GY:-0.473 GZ:-2.366 | T:25.09 C
I (541715) mpu6050 stream: AX:-0.091 AY:0.109 AZ:-0.929 | GX:-2.031 GY:-0.779 GZ:-2.580 | T:25.00 C
I (541725) mpu6050 stream: AX:-0.092 AY:0.117 AZ:-0.945 | GX:-2.000 GY:-1.511 GZ:-2.443 | T:25.00 C
I (541735) mpu6050 stream: AX:-0.087 AY:0.124 AZ:-0.945 | GX:-1.359 GY:-2.321 GZ:-2.061 | T:24.91 C
I (541745) mpu6050 stream: AX:-0.097 AY:0.122 AZ:-0.944 | GX:-0.504 GY:-2.443 GZ:-1.527 | T:25.00 C
I (541755) mpu6050 stream: AX:-0.092 AY:0.126 AZ:-0.949 | GX:0.260 GY:-2.901 GZ:-1.084 | T:25.09 C
I (541765) mpu6050 stream: AX:-0.099 AY:0.124 AZ:-0.960 | GX:0.534 GY:-2.855 GZ:-0.626 | T:25.00 C
