I (395335) mpu6050 stream: AX:-0.116 AY:0.100 AZ:-0.948 | GX:-0.336 GY:0.168 GZ:0.489 | T:25.24 C
I (395345) mpu6050 stream: AX:-0.109 AY:0.104 AZ:-0.942 | GX:-0.275 GY:0.076 GZ:0.504 | T:25.14 C
I (395355) mpu6050 stream: AX:-0.111 AY:0.106 AZ:-0.943 | GX:-0.260 GY:-0.076 GZ:0.840 | T:25.24 C
I (395365) mpu6050 stream: AX:-0.113 AY:0.106 AZ:-0.949 | GX:0.061 GY:-0.076 GZ:0.962 | T:25.05 C
I (395375) mpu6050 stream: AX:-0.111 AY:0.106 AZ:-0.945 | GX:0.076 GY:-0.137 GZ:0.947 | T:25.24 C
I (395385) mpu6050 stream: AX:-0.107 AY:0.102 AZ:-0.943 | GX:-0.305 GY:-0.290 GZ:1.145 | T:25.14 C
I (395395) mpu6050 stream: AX:-0.114 AY:0.104 AZ:-0.949 | GX:-0.214 GY:-0.595 GZ:1.237 | T:25.24 C
I (395405) mpu6050 stream: AX:-0.114 AY:0.107 AZ:-0.947 | GX:-0.107 GY:-0.321 GZ:1.176 | T:25.14 C
I (395415) mpu6050 stream: AX:-0.114 AY:0.101 AZ:-0.948 | GX:0.046 GY:-0.412 GZ:1.359 | T:25.24 C
I (395425) mpu6050 stream: AX:-0.115 AY:0.100 AZ:-0.953 | GX:-0.061 GY:-0.443 GZ:1.328 | T:25.24 C
I (395435) mpu6050 stream: AX:-0.117 AY:0.099 AZ:-0.950 | GX:-0.107 GY:0.076 GZ:1.191 | T:25.24 C
I (395445) mpu6050 stream: AX:-0.119 AY:0.095 AZ:-0.951 | GX:-0.061 GY:0.382 GZ:1.008 | T:25.14 C
I (395455) mpu6050 stream: AX:-0.115 AY:0.096 AZ:-0.958 | GX:0.061 GY:0.427 GZ:0.931 | T:25.28 C
I (395465) mpu6050 stream: AX:-0.112 AY:0.103 AZ:-0.948 | GX:0.244 GY:0.351 GZ:0.855 | T:25.09 C
I (395475) mpu6050 stream: AX:-0.111 AY:0.099 AZ:-0.944 | GX:0.366 GY:0.458 GZ:0.824 | T:25.19 C
I (395485) mpu6050 stream: AX:-0.108 AY:0.100 AZ:-0.946 | GX:0.519 GY:0.656 GZ:0.824 | T:25.19 C
I (395495) mpu6050 stream: AX:-0.107 AY:0.094 AZ:-0.946 | GX:0.366 GY:0.458 GZ:0.626 | T:25.09 C
I (395505) mpu6050 stream: AX:-0.110 AY:0.096 AZ:-0.945 | GX:-0.290 GY:0.321 GZ:0.626 | T:25.09 C
I (395515) mpu6050 stream: AX:-0.108 AY:0.096 AZ:-0.961 | GX:-0.931 GY:0.046 GZ:0.412 | T:25.09 C
I (395525) mpu6050 stream: AX:-0.110 AY:0.103 AZ:-0.955 | GX:-1.511 GY:0.092 GZ:0.382 | T:25.09 C
