I (402135) mpu6050 stream: AX:-0.127 AY:0.113 AZ:-0.955 | GX:-1.145 GY:-0.611 GZ:0.321 | T:25.14 C
I (402145) mpu6050 stream: AX:-0.125 AY:0.115 AZ:-0.963 | GX:-0.824 GY:-0.305 GZ:0.336 | T:25.24 C
I (402155) mpu6050 stream: AX:-0.125 AY:0.112 AZ:-0.960 | GX:-0.382 GY:-0.137 GZ:0.382 | T:25.14 C
I (402165) mpu6050 stream: AX:-0.127 AY:0.111 AZ:-0.955 | GX:-0.366 GY:0.046 GZ:0.458 | T:25.14 C
I (402175) mpu6050 stream: AX:-0.125 AY:0.111 AZ:-0.952 | GX:-0.198 GY:-0.046 GZ:0.489 | T:25.09 C
I (402185) mpu6050 stream: AX:-0.128 AY:0.108 AZ:-0.958 | GX:-0.244 GY:0.137 GZ:0.702 | T:25.09 C
I (402195) mpu6050 stream: AX:-0.123 AY:0.108 AZ:-0.948 | GX:-0.229 GY:0.244 GZ:0.809 | T:25.19 C
I (402205) mpu6050 stream: AX:-0.132 AY:0.118 AZ:-0.950 | GX:-0.122 GY:0.183 GZ:1.115 | T:25.19 C
I (402215) mpu6050 stream: AX:-0.131 AY:0.112 AZ:-0.949 | GX:0.000 GY:0.229 GZ:1.099 | T:25.19 C
I (402225) mpu6050 stream: AX:-0.129 AY:0.113 AZ:-0.938 | GX:0.076 GY:0.122 GZ:1.298 | T:25.19 C
I (402235) mpu6050 stream: AX:-0.128 AY:0.109 AZ:-0.946 | GX:0.107 GY:0.351 GZ:1.374 | T:25.19 C
I (402245) mpu6050 stream: AX:-0.126 AY:0.101 AZ:-0.950 | GX:-0.198 GY:0.550 GZ:1.435 | T:25.19 C
I (402255) mpu6050 stream: AX:-0.121 AY:0.112 AZ:-0.947 | GX:-0.412 GY:0.672 GZ:1.557 | T:25.09 C
I (402265) mpu6050 stream: AX:-0.119 AY:0.105 AZ:-0.938 | GX:-0.351 GY:0.534 GZ:1.405 | T:25.28 C
I (402275) mpu6050 stream: AX:-0.122 AY:0.103 AZ:-0.944 | GX:-0.061 GY:0.290 GZ:1.405 | T:25.14 C
I (402285) mpu6050 stream: AX:-0.130 AY:0.099 AZ:-0.942 | GX:0.046 GY:0.672 GZ:1.298 | T:25.19 C
I (402295) mpu6050 stream: AX:-0.123 AY:0.102 AZ:-0.935 | GX:0.031 GY:0.718 GZ:1.115 | T:25.09 C
I (402305) mpu6050 stream: AX:-0.116 AY:0.102 AZ:-0.955 | GX:-0.107 GY:1.038 GZ:1.176 | T:25.19 C
I (402315) mpu6050 stream: AX:-0.117 AY:0.104 AZ:-0.958 | GX:-0.733 GY:0.626 GZ:1.115 | T:25.19 C
I (402325) mpu6050 stream: AX:-0.120 AY:0.105 AZ:-0.958 | GX:-1.206 GY:0.992 GZ:0.962 | T:25.19 C
I (402335) mpu6050 stream: AX:-0.111 AY:0.113 AZ:-0.942 | GX:-0.656 GY:0.397 GZ:0.779 | T:25.09 C
I (402345) mpu6050 stream: AX:-0.119 AY:0.112 AZ:-0.936 | GX:0.565 GY:-0.275 GZ:0.779 | T:25.09 C
I (402355) mpu6050 stream: AX:-0.112 AY:0.110 AZ:-0.931 | GX:1.573 GY:-1.069 GZ:0.855 | T:25.19 C
I (402365) mpu6050 stream: AX:-0.115 AY:0.107 AZ:-0.933 | GX:1.679 GY:-1.405 GZ:0.992 | T:25.28 C
I (402375) mpu6050 stream: AX:-0.120 AY:0.099 AZ:-0.930 | GX:0.595 GY:-1.603 GZ:0.809 | T:25.19 C
I (402385) mpu6050 stream: AX:-0.129 AY:0.103 AZ:-0.939 | GX:-0.763 GY:-1.939 GZ:0.962 | T:25.09 C
I (402395) mpu6050 stream: AX:-0.125 AY:0.111 AZ:-0.931 | GX:-1.832 GY:-1.893 GZ:0.840 | T:25.19 C
I (402405) mpu6050 stream: AX:-0.132 AY:0.107 AZ:-0.945 | GX:-1.634 GY:-2.137 GZ:1.145 | T:25.19 C
I (402415) mpu6050 stream: AX:-0.135 AY:0.123 AZ:-0.952 | GX:-0.977 GY:-1.664 GZ:1.374 | T:25.19 C
I (402425) mpu6050 stream: AX:-0.130 AY:0.115 AZ:-0.949 | GX:-0.076 GY:-1.237 GZ:1.695 | T:25.19 C
