I (628095) mpu6050 stream: AX:0.008 AY:0.095 AZ:-0.961 | GX:0.809 GY:-0.015 GZ:1.878 | T:24.91 C
I (628105) mpu6050 stream: AX:0.010 AY:0.095 AZ:-0.958 | GX:0.611 GY:-0.061 GZ:1.542 | T:25.00 C
I (628115) mpu6050 stream: AX:0.003 AY:0.090 AZ:-0.953 | GX:0.412 GY:-0.076 GZ:1.389 | T:24.91 C
I (628125) mpu6050 stream: AX:0.008 AY:0.094 AZ:-0.958 | GX:0.061 GY:-0.519 GZ:1.267 | T:25.00 C
I (628135) mpu6050 stream: AX:0.012 AY:0.095 AZ:-0.958 | GX:-0.046 GY:-0.901 GZ:0.977 | T:25.00 C
I (628145) mpu6050 stream: AX:0.005 AY:0.093 AZ:-0.963 | GX:-0.168 GY:-0.733 GZ:0.916 | T:25.00 C
I (628155) mpu6050 stream: AX:-0.002 AY:0.100 AZ:-0.966 | GX:-0.260 GY:-0.687 GZ:0.809 | T:24.95 C
I (628165) mpu6050 stream: AX:-0.002 AY:0.093 AZ:-0.961 | GX:-0.137 GY:-0.122 GZ:0.626 | T:24.91 C
I (628175) mpu6050 stream: AX:0.010 AY:0.098 AZ:-0.957 | GX:-0.565 GY:-0.351 GZ:0.885 | T:24.95 C
I (628185) mpu6050 stream: AX:0.004 AY:0.097 AZ:-0.954 | GX:-0.031 GY:-0.137 GZ:0.534 | T:25.05 C
I (628195) mpu6050 stream: AX:0.004 AY:0.102 AZ:-0.949 | GX:-0.046 GY:-0.275 GZ:0.626 | T:25.05 C
I (628205) mpu6050 stream: AX:0.000 AY:0.100 AZ:-0.952 | GX:-0.183 GY:-0.351 GZ:0.412 | T:25.05 C
I (628215) mpu6050 stream: AX:0.005 AY:0.103 AZ:-0.961 | GX:-0.214 GY:-0.580 GZ:0.626 | T:24.95 C
I (628225) mpu6050 stream: AX:0.008 AY:0.099 AZ:-0.965 | GX:-0.397 GY:-0.885 GZ:0.412 | T:24.86 C
I (628235) mpu6050 stream: AX:0.008 AY:0.101 AZ:-0.967 | GX:-0.611 GY:-0.885 GZ:0.611 | T:24.95 C
I (628245) mpu6050 stream: AX:0.007 AY:0.103 AZ:-0.959 | GX:-0.733 GY:-0.656 GZ:0.809 | T:24.86 C
I (628255) mpu6050 stream: AX:0.002 AY:0.101 AZ:-0.960 | GX:-0.366 GY:-0.321 GZ:0.840 | T:24.86 C
I (628265) mpu6050 stream: AX:-0.002 AY:0.105 AZ:-0.969 | GX:-0.122 GY:0.153 GZ:0.977 | T:24.95 C
I (628275) mpu6050 stream: AX:0.000 AY:0.101 AZ:-0.957 | GX:0.076 GY:0.137 GZ:0.809 | T:24.95 C
I (628285) mpu6050 stream: AX:0.003 AY:0.102 AZ:-0.960 | GX:-0.183 GY:0.336 GZ:1.069 | T:24.95 C
I (628295) mpu6050 stream: AX:0.003 AY:0.098 AZ:-0.966 | GX:-1.267 GY:0.565 GZ:0.855 | T:25.05 C
I (628305) mpu6050 stream: AX:0.002 AY:0.111 AZ:-0.965 | GX:-1.939 GY:0.122 GZ:0.641 | T:24.95 C
I (628315) mpu6050 stream: AX:0.005 AY:0.107 AZ:-0.961 | GX:-1.695 GY:0.061 GZ:0.840 | T:24.95 C
I (628325) mpu6050 stream: AX:0.004 AY:0.107 AZ:-0.951 | GX:-0.321 GY:-0.305 GZ:0.763 | T:24.95 C
I (628335) mpu6050 stream: AX:0.006 AY:0.111 AZ:-0.947 | GX:1.084 GY:-0.290 GZ:0.794 | T:24.86 C
I (628345) mpu6050 stream: AX:0.005 AY:0.105 AZ:-0.958 | GX:1.939 GY:-0.275 GZ:0.840 | T:24.95 C
I (628355) mpu6050 stream: AX:0.001 AY:0.096 AZ:-0.958 | GX:1.863 GY:-0.122 GZ:0.931 | T:24.95 C
I (628365) mpu6050 stream: AX:0.007 AY:0.093 AZ:-0.962 | GX:0.550 GY:-0.214 GZ:0.885 | T:24.95 C
I (628375) mpu6050 stream: AX:0.007 AY:0.095 AZ:-0.955 | GX:-0.794 GY:-0.748 GZ:0.824 | T:25.05 C
I (628385) mpu6050 stream: AX:0.004 AY:0.101 AZ:-0.958 | GX:-1.832 GY:-0.641 GZ:0.763 | T:24.86 C
I (628395) mpu6050 stream: AX:-0.000 AY:0.103 AZ:-0.952 | GX:-2.153 GY:-0.947 GZ:0.962 | T:24.86 C
I (628405) mpu6050 stream: AX:-0.006 AY:0.109 AZ:-0.947 | GX:-1.573 GY:-0.962 GZ:1.191 | T:24.95 C
I (628415) mpu6050 stream: AX:0.007 AY:0.103 AZ:-0.952 | GX:-0.794 GY:-0.840 GZ:1.405 | T:24.86 C
I (628425) mpu6050 stream: AX:-0.002 AY:0.103 AZ:-0.943 | GX:-0.595 GY:-1.176 GZ:1.573 | T:24.95 C
I (628435) mpu6050 stream: AX:0.002 AY:0.104 AZ:-0.957 | GX:0.305 GY:-1.282 GZ:1.527 | T:24.95 C
I (628445) mpu6050 stream: AX:-0.002 AY:0.098 AZ:-0.966 | GX:0.214 GY:-0.779 GZ:1.481 | T:24.95 C
I (628455) mpu6050 stream: AX:0.000 AY:0.101 AZ:-0.956 | GX:-0.336 GY:-1.084 GZ:1.145 | T:24.95 C
I (628465) mpu6050 stream: AX:0.001 AY:0.097 AZ:-0.956 | GX:-0.855 GY:-1.191 GZ:0.824 | T:25.05 C
I (628475) mpu6050 stream: AX:0.002 AY:0.100 AZ:-0.953 | GX:-1.053 GY:-1.115 GZ:0.504 | T:24.95 C
I (628485) mpu6050 stream: AX:-0.002 AY:0.104 AZ:-0.965 | GX:-1.023 GY:-1.282 GZ:0.168 | T:25.05 C
I (628495) mpu6050 stream: AX:-0.002 AY:0.104 AZ:-0.954 | GX:-0.382 GY:-1.115 GZ:-0.015 | T:24.95 C
I (628505) mpu6050 stream: AX:-0.001 AY:0.104 AZ:-0.960 | GX:0.534 GY:-1.298 GZ:-0.092 | T:24.95 C
I (628515) mpu6050 stream: AX:-0.006 AY:0.104 AZ:-0.960 | GX:0.519 GY:-1.145 GZ:-0.107 | T:25.00 C
I (628525) mpu6050 stream: AX:-0.012 AY:0.100 AZ:-0.970 | GX:0.046 GY:-0.947 GZ:0.061 | T:25.00 C
I (628535) mpu6050 stream: AX:-0.008 AY:0.103 AZ:-0.968 | GX:-0.779 GY:-0.840 GZ:-0.046 | T:25.00 C
I (628545) mpu6050 stream: AX:-0.003 AY:0.106 AZ:-0.962 | GX:-1.282 GY:-0.885 GZ:0.153 | T:25.00 C
I (628555) mpu6050 stream: AX:-0.010 AY:0.116 AZ:-0.960 | GX:-0.992 GY:-1.450 GZ:0.061 | T:25.09 C
I (628565) mpu6050 stream: AX:-0.009 AY:0.115 AZ:-0.961 | GX:-0.565 GY:-0.855 GZ:0.702 | T:24.91 C
I (628575) mpu6050 stream: AX:-0.009 AY:0.111 AZ:-0.967 | GX:0.229 GY:-0.336 GZ:0.870 | T:25.00 C
I (628585) mpu6050 stream: AX:-0.007 AY:0.108 AZ:-0.974 | GX:0.214 GY:0.031 GZ:1.374 | T:25.00 C
I (628595) mpu6050 stream: AX:-0.008 AY:0.100 AZ:-0.958 | GX:0.443 GY:0.519 GZ:1.298 | T:25.00 C
I (628605) mpu6050 stream: AX:-0.006 AY:0.099 AZ:-0.966 | GX:0.168 GY:0.641 GZ:1.206 | T:25.00 C
I (628615) mpu6050 stream: AX:0.006 AY:0.103 AZ:-0.952 | GX:-0.519 GY:0.672 GZ:1.267 | T:25.00 C
I (628625) mpu6050 stream: AX:-0.002 AY:0.109 AZ:-0.956 | GX:-0.931 GY:0.321 GZ:1.267 | T:24.91 C
I (628635) mpu6050 stream: AX:-0.000 AY:0.106 AZ:-0.948 | GX:-0.779 GY:0.122 GZ:1.405 | T:25.00 C
I (628645) mpu6050 stream: AX:0.000 AY:0.107 AZ:-0.953 | GX:-0.595 GY:-0.336 GZ:1.237 | T:25.00 C
I (628655) mpu6050 stream: AX:-0.003 AY:0.108 AZ:-0.958 | GX:-0.015 GY:-0.137 GZ:1.191 | T:24.91 C
I (628665) mpu6050 stream: AX:-0.009 AY:0.107 AZ:-0.957 | GX:0.748 GY:0.076 GZ:1.450 | T:24.91 C
I (628675) mpu6050 stream: AX:-0.004 AY:0.103 AZ:-0.965 | GX:0.840 GY:0.076 GZ:1.298 | T:24.91 C
I (628685) mpu6050 stream: AX:-0.005 AY:0.113 AZ:-0.963 | GX:0.885 GY:0.519 GZ:1.282 | T:25.00 C
I (628695) mpu6050 stream: AX:-0.000 AY:0.101 AZ:-0.965 | GX:0.641 GY:0.733 GZ:1.328 | T:24.91 C
I (628705) mpu6050 stream: AX:-0.008 AY:0.101 AZ:-0.958 | GX:0.473 GY:0.489 GZ:1.496 | T:25.00 C
I (628715) mpu6050 stream: AX:-0.007 AY:0.103 AZ:-0.958 | GX:-0.015 GY:0.366 GZ:1.435 | T:25.00 C
I (628725) mpu6050 stream: AX:-0.003 AY:0.107 AZ:-0.955 | GX:-0.031 GY:0.260 GZ:1.237 | T:25.00 C
I (628735) mpu6050 stream: AX:0.000 AY:0.106 AZ:-0.964 | GX:0.489 GY:0.321 GZ:1.511 | T:24.91 C
I (628745) mpu6050 stream: AX:0.002 AY:0.110 AZ:-0.951 | GX:0.870 GY:0.351 GZ:1.557 | T:24.91 C
I (628755) mpu6050 stream: AX:-0.001 AY:0.108 AZ:-0.957 | GX:0.855 GY:0.427 GZ:1.634 | T:24.95 C
I (628765) mpu6050 stream: AX:0.002 AY:0.104 AZ:-0.954 | GX:0.244 GY:0.153 GZ:1.756 | T:24.95 C
I (628775) mpu6050 stream: AX:-0.006 AY:0.098 AZ:-0.957 | GX:0.290 GY:0.229 GZ:1.725 | T:24.95 C
I (628785) mpu6050 stream: AX:-0.003 AY:0.103 AZ:-0.957 | GX:0.183 GY:0.214 GZ:1.786 | T:24.95 C
I (628795) mpu6050 stream: AX:-0.006 AY:0.101 AZ:-0.956 | GX:0.183 GY:0.321 GZ:1.878 | T:24.95 C
I (628805) mpu6050 stream: AX:0.000 AY:0.097 AZ:-0.951 | GX:0.275 GY:0.260 GZ:1.786 | T:24.95 C
I (628815) mpu6050 stream: AX:-0.002 AY:0.104 AZ:-0.953 | GX:0.534 GY:0.321 GZ:2.046 | T:24.95 C
I (628825) mpu6050 stream: AX:0.002 AY:0.102 AZ:-0.958 | GX:0.550 GY:0.107 GZ:1.832 | T:24.95 C
I (628835) mpu6050 stream: AX:-0.001 AY:0.099 AZ:-0.955 | GX:0.397 GY:0.244 GZ:1.710 | T:24.95 C
I (628845) mpu6050 stream: AX:0.007 AY:0.095 AZ:-0.954 | GX:0.260 GY:-0.153 GZ:1.450 | T:24.95 C
I (628855) mpu6050 stream: AX:-0.003 AY:0.096 AZ:-0.963 | GX:-0.015 GY:-0.351 GZ:1.359 | T:24.95 C
I (628865) mpu6050 stream: AX:0.002 AY:0.095 AZ:-0.954 | GX:-0.305 GY:-0.809 GZ:1.160 | T:24.95 C
I (628875) mpu6050 stream: AX:0.004 AY:0.094 AZ:-0.961 | GX:-0.183 GY:-0.763 GZ:0.977 | T:24.91 C
I (628885) mpu6050 stream: AX:0.002 AY:0.095 AZ:-0.961 | GX:-0.321 GY:-0.687 GZ:0.855 | T:24.86 C
I (628895) mpu6050 stream: AX:-0.000 AY:0.093 AZ:-0.955 | GX:-0.305 GY:-1.099 GZ:0.672 | T:25.00 C
I (628905) mpu6050 stream: AX:0.003 AY:0.100 AZ:-0.961 | GX:-0.397 GY:-1.374 GZ:0.534 | T:25.00 C
I (628915) mpu6050 stream: AX:0.004 AY:0.104 AZ:-0.948 | GX:-0.489 GY:-1.328 GZ:0.611 | T:25.00 C
I (628925) mpu6050 stream: AX:-0.007 AY:0.102 AZ:-0.960 | GX:-0.489 GY:-0.977 GZ:0.366 | T:25.00 C
I (628935) mpu6050 stream: AX:-0.001 AY:0.101 AZ:-0.965 | GX:-0.397 GY:-0.611 GZ:0.504 | T:25.00 C
I (628945) mpu6050 stream: AX:-0.010 AY:0.103 AZ:-0.960 | GX:-0.214 GY:-0.885 GZ:0.534 | T:25.00 C
I (628955) mpu6050 stream: AX:-0.008 AY:0.104 AZ:-0.962 | GX:-0.290 GY:-0.840 GZ:0.611 | T:25.00 C
I (628965) mpu6050 stream: AX:-0.006 AY:0.108 AZ:-0.963 | GX:-0.015 GY:-0.534 GZ:1.038 | T:25.00 C
I (628975) mpu6050 stream: AX:-0.005 AY:0.106 AZ:-0.953 | GX:0.214 GY:-0.229 GZ:1.008 | T:24.91 C
I (628985) mpu6050 stream: AX:-0.007 AY:0.100 AZ:-0.964 | GX:0.336 GY:-0.015 GZ:1.176 | T:25.00 C
I (628995) mpu6050 stream: AX:-0.006 AY:0.105 AZ:-0.960 | GX:0.305 GY:0.397 GZ:1.176 | T:24.91 C
