I (547795) mpu6050 stream: AX:-0.053 AY:0.086 AZ:-0.956 | GX:-0.427 GY:-0.443 GZ:1.267 | T:24.95 C
I (547805) mpu6050 stream: AX:-0.055 AY:0.084 AZ:-0.961 | GX:-0.779 GY:-0.366 GZ:1.160 | T:24.95 C
I (547815) mpu6050 stream: AX:-0.051 AY:0.085 AZ:-0.957 | GX:-0.641 GY:-0.153 GZ:1.206 | T:25.05 C
I (547825) mpu6050 stream: AX:-0.046 AY:0.088 AZ:-0.959 | GX:-0.702 GY:-0.229 GZ:0.992 | T:25.05 C
I (547835) mpu6050 stream: AX:-0.050 AY:0.090 AZ:-0.947 | GX:-0.733 GY:-0.809 GZ:1.023 | T:25.00 C
I (547845) mpu6050 stream: AX:-0.049 AY:0.094 AZ:-0.951 | GX:-0.489 GY:-0.763 GZ:0.702 | T:24.95 C
I (547855) mpu6050 stream: AX:-0.048 AY:0.090 AZ:-0.952 | GX:-0.427 GY:-0.763 GZ:0.870 | T:24.91 C
I (547865) mpu6050 stream: AX:-0.056 AY:0.089 AZ:-0.948 | GX:-1.496 GY:-0.687 GZ:0.901 | T:25.00 C
I (547875) mpu6050 stream: AX:-0.049 AY:0.090 AZ:-0.959 | GX:-0.656 GY:-0.779 GZ:0.672 | T:25.09 C
I (547885) mpu6050 stream: AX:-0.048 AY:0.093 AZ:-0.960 | GX:-0.244 GY:-0.458 GZ:0.779 | T:25.00 C
I (547895) mpu6050 stream: AX:-0.051 AY:0.095 AZ:-0.958 | GX:-0.305 GY:-0.260 GZ:0.656 | T:25.00 C
I (547905) mpu6050 stream: AX:-0.053 AY:0.097 AZ:-0.956 | GX:-0.260 GY:-0.397 GZ:0.809 | T:24.91 C
I (547915) mpu6050 stream: AX:-0.052 AY:0.085 AZ:-0.961 | GX:-0.229 GY:-0.092 GZ:0.992 | T:25.00 C
I (547925) mpu6050 stream: AX:-0.048 AY:0.091 AZ:-0.938 | GX:0.183 GY:0.153 GZ:1.038 | T:25.00 C
I (547935) mpu6050 stream: AX:-0.047 AY:0.086 AZ:-0.958 | GX:-0.366 GY:-0.321 GZ:0.977 | T:25.00 C
I (547945) mpu6050 stream: AX:-0.046 AY:0.086 AZ:-0.958 | GX:-1.191 GY:-0.763 GZ:0.885 | T:24.91 C
I (547955) mpu6050 stream: AX:-0.043 AY:0.090 AZ:-0.966 | GX:-1.817 GY:-0.916 GZ:0.992 | T:25.00 C
I (547965) mpu6050 stream: AX:-0.050 AY:0.104 AZ:-0.965 | GX:-2.122 GY:-1.252 GZ:0.916 | T:25.00 C
I (547975) mpu6050 stream: AX:-0.057 AY:0.108 AZ:-0.956 | GX:-1.466 GY:-0.947 GZ:1.053 | T:25.09 C
I (547985) mpu6050 stream: AX:-0.054 AY:0.100 AZ:-0.959 | GX:-0.168 GY:-0.977 GZ:1.328 | T:25.00 C
I (547995) mpu6050 stream: AX:-0.054 AY:0.096 AZ:-0.958 | GX:1.435 GY:-0.626 GZ:1.710 | T:25.00 C
I (548005) mpu6050 stream: AX:-0.047 AY:0.092 AZ:-0.948 | GX:1.664 GY:-0.427 GZ:1.847 | T:25.00 C
I (548015) mpu6050 stream: AX:-0.053 AY:0.087 AZ:-0.961 | GX:1.099 GY:-0.916 GZ:1.878 | T:25.00 C
I (548025) mpu6050 stream: AX:-0.057 AY:0.082 AZ:-0.957 | GX:0.275 GY:-0.947 GZ:1.466 | T:25.00 C
