I (254975) mpu6050 stream: AX:-0.176 AY:0.063 AZ:-0.942 | GX:-1.130 GY:1.481 GZ:1.527 | T:25.38 C
I (254985) mpu6050 stream: AX:-0.182 AY:0.063 AZ:-0.929 | GX:-1.573 GY:1.282 GZ:1.084 | T:25.28 C
I (254995) mpu6050 stream: AX:-0.180 AY:0.069 AZ:-0.930 | GX:-1.450 GY:1.084 GZ:0.840 | T:25.19 C
I (255005) mpu6050 stream: AX:-0.179 AY:0.068 AZ:-0.934 | GX:-1.252 GY:0.687 GZ:0.656 | T:25.28 C
I (255015) mpu6050 stream: AX:-0.178 AY:0.073 AZ:-0.945 | GX:-1.069 GY:0.626 GZ:0.504 | T:25.28 C
I (255025) mpu6050 stream: AX:-0.187 AY:0.069 AZ:-0.947 | GX:-1.115 GY:0.504 GZ:0.153 | T:25.28 C
I (255035) mpu6050 stream: AX:-0.186 AY:0.072 AZ:-0.947 | GX:-1.481 GY:0.794 GZ:0.076 | T:25.19 C
I (255045) mpu6050 stream: AX:-0.177 AY:0.068 AZ:-0.947 | GX:-1.267 GY:1.084 GZ:0.015 | T:25.19 C
I (255055) mpu6050 stream: AX:-0.187 AY:0.073 AZ:-0.942 | GX:-1.328 GY:1.069 GZ:-0.076 | T:25.28 C
I (255065) mpu6050 stream: AX:-0.181 AY:0.071 AZ:-0.950 | GX:-1.344 GY:1.206 GZ:-0.336 | T:25.28 C
I (255075) mpu6050 stream: AX:-0.181 AY:0.074 AZ:-0.941 | GX:-1.023 GY:1.023 GZ:-0.412 | T:25.19 C
I (255085) mpu6050 stream: AX:-0.176 AY:0.076 AZ:-0.934 | GX:-0.840 GY:0.992 GZ:-0.519 | T:25.28 C
I (255095) mpu6050 stream: AX:-0.174 AY:0.080 AZ:-0.941 | GX:-0.916 GY:0.748 GZ:-0.336 | T:25.28 C
I (255105) mpu6050 stream: AX:-0.173 AY:0.080 AZ:-0.935 | GX:-1.145 GY:0.122 GZ:-0.336 | T:25.19 C
I (255115) mpu6050 stream: AX:-0.175 AY:0.081 AZ:-0.922 | GX:-1.008 GY:0.046 GZ:-0.229 | T:25.38 C
I (255125) mpu6050 stream: AX:-0.171 AY:0.078 AZ:-0.928 | GX:-0.977 GY:-0.824 GZ:-0.168 | T:25.28 C
I (255135) mpu6050 stream: AX:-0.181 AY:0.079 AZ:-0.942 | GX:-0.931 GY:-0.977 GZ:-0.061 | T:25.28 C
I (255145) mpu6050 stream: AX:-0.190 AY:0.082 AZ:-0.940 | GX:-1.298 GY:-1.069 GZ:0.382 | T:25.19 C
I (255155) mpu6050 stream: AX:-0.180 AY:0.078 AZ:-0.955 | GX:-1.298 GY:-0.824 GZ:0.336 | T:25.19 C
I (255165) mpu6050 stream: AX:-0.188 AY:0.082 AZ:-0.954 | GX:-1.252 GY:-0.336 GZ:0.504 | T:25.19 C
I (255175) mpu6050 stream: AX:-0.183 AY:0.077 AZ:-0.942 | GX:-1.023 GY:-0.122 GZ:0.565 | T:25.28 C
I (255185) mpu6050 stream: AX:-0.190 AY:0.076 AZ:-0.947 | GX:-0.916 GY:-0.229 GZ:0.565 | T:25.28 C
I (255195) mpu6050 stream: AX:-0.181 AY:0.080 AZ:-0.949 | GX:-1.176 GY:-0.046 GZ:0.718 | T:25.24 C
I (255205) mpu6050 stream: AX:-0.188 AY:0.076 AZ:-0.947 | GX:-1.435 GY:0.046 GZ:0.595 | T:25.24 C
I (255215) mpu6050 stream: AX:-0.185 AY:0.077 AZ:-0.947 | GX:-1.481 GY:0.473 GZ:0.763 | T:25.19 C
I (255225) mpu6050 stream: AX:-0.180 AY:0.077 AZ:-0.944 | GX:-1.008 GY:0.534 GZ:0.565 | T:25.24 C
I (255235) mpu6050 stream: AX:-0.181 AY:0.078 AZ:-0.942 | GX:-0.824 GY:0.855 GZ:0.504 | T:25.33 C
I (255245) mpu6050 stream: AX:-0.178 AY:0.075 AZ:-0.946 | GX:-0.824 GY:0.885 GZ:0.611 | T:25.24 C
I (255255) mpu6050 stream: AX:-0.174 AY:0.080 AZ:-0.944 | GX:-1.206 GY:0.947 GZ:0.321 | T:25.14 C
I (255265) mpu6050 stream: AX:-0.171 AY:0.078 AZ:-0.952 | GX:-1.557 GY:0.779 GZ:0.275 | T:25.24 C
I (255275) mpu6050 stream: AX:-0.180 AY:0.080 AZ:-0.941 | GX:-1.771 GY:0.855 GZ:-0.015 | T:25.24 C
I (255285) mpu6050 stream: AX:-0.171 AY:0.085 AZ:-0.941 | GX:-1.008 GY:0.733 GZ:-0.061 | T:25.24 C
I (255295) mpu6050 stream: AX:-0.173 AY:0.087 AZ:-0.930 | GX:0.168 GY:0.046 GZ:0.076 | T:25.24 C
I (255305) mpu6050 stream: AX:-0.172 AY:0.078 AZ:-0.935 | GX:1.191 GY:-0.687 GZ:0.183 | T:25.33 C
I (255315) mpu6050 stream: AX:-0.178 AY:0.077 AZ:-0.941 | GX:1.252 GY:-0.855 GZ:0.382 | T:25.24 C
I (255325) mpu6050 stream: AX:-0.173 AY:0.074 AZ:-0.938 | GX:0.550 GY:-0.885 GZ:0.565 | T:25.33 C
I (255335) mpu6050 stream: AX:-0.178 AY:0.072 AZ:-0.933 | GX:-0.427 GY:-1.023 GZ:0.580 | T:25.24 C
I (255345) mpu6050 stream: AX:-0.180 AY:0.077 AZ:-0.936 | GX:-1.130 GY:-1.435 GZ:0.733 | T:25.24 C
I (255355) mpu6050 stream: AX:-0.188 AY:0.082 AZ:-0.941 | GX:-1.496 GY:-1.679 GZ:0.870 | T:25.33 C
I (255365) mpu6050 stream: AX:-0.185 AY:0.089 AZ:-0.946 | GX:-1.038 GY:-1.374 GZ:1.038 | T:25.24 C
I (255375) mpu6050 stream: AX:-0.186 AY:0.081 AZ:-0.941 | GX:-0.382 GY:-1.359 GZ:1.176 | T:25.24 C
I (255385) mpu6050 stream: AX:-0.190 AY:0.083 AZ:-0.941 | GX:0.107 GY:-0.763 GZ:1.435 | T:25.33 C
I (255395) mpu6050 stream: AX:-0.189 AY:0.079 AZ:-0.942 | GX:-0.031 GY:-0.718 GZ:1.405 | T:25.24 C
I (255405) mpu6050 stream: AX:-0.189 AY:0.075 AZ:-0.947 | GX:0.321 GY:-0.763 GZ:1.450 | T:25.24 C
I (255415) mpu6050 stream: AX:-0.183 AY:0.073 AZ:-0.937 | GX:-0.046 GY:-0.794 GZ:1.237 | T:25.24 C
I (255425) mpu6050 stream: AX:-0.186 AY:0.075 AZ:-0.939 | GX:-0.336 GY:-0.718 GZ:1.267 | T:25.24 C
I (255435) mpu6050 stream: AX:-0.185 AY:0.075 AZ:-0.936 | GX:-0.687 GY:-0.641 GZ:1.130 | T:25.33 C
I (255445) mpu6050 stream: AX:-0.184 AY:0.074 AZ:-0.940 | GX:-0.840 GY:-0.504 GZ:0.947 | T:25.24 C
I (255455) mpu6050 stream: AX:-0.188 AY:0.078 AZ:-0.945 | GX:-0.779 GY:-0.687 GZ:0.718 | T:25.33 C
I (255465) mpu6050 stream: AX:-0.184 AY:0.077 AZ:-0.936 | GX:-0.626 GY:-0.977 GZ:0.794 | T:25.24 C
I (255475) mpu6050 stream: AX:-0.184 AY:0.079 AZ:-0.942 | GX:-0.550 GY:-1.130 GZ:0.595 | T:25.24 C
I (255485) mpu6050 stream: AX:-0.186 AY:0.081 AZ:-0.943 | GX:-0.519 GY:-1.038 GZ:0.748 | T:25.24 C
I (255495) mpu6050 stream: AX:-0.184 AY:0.083 AZ:-0.940 | GX:-0.412 GY:-0.702 GZ:0.748 | T:25.24 C
I (255505) mpu6050 stream: AX:-0.190 AY:0.078 AZ:-0.949 | GX:-0.427 GY:-0.443 GZ:0.947 | T:25.24 C
I (255515) mpu6050 stream: AX:-0.190 AY:0.079 AZ:-0.936 | GX:-0.656 GY:-0.290 GZ:0.885 | T:25.28 C
I (255525) mpu6050 stream: AX:-0.189 AY:0.078 AZ:-0.935 | GX:-0.885 GY:-0.473 GZ:0.885 | T:25.28 C
I (255535) mpu6050 stream: AX:-0.188 AY:0.084 AZ:-0.941 | GX:-1.084 GY:-0.748 GZ:0.947 | T:25.19 C
I (255545) mpu6050 stream: AX:-0.193 AY:0.080 AZ:-0.947 | GX:-0.870 GY:-0.427 GZ:0.824 | T:25.19 C
I (255555) mpu6050 stream: AX:-0.182 AY:0.082 AZ:-0.938 | GX:-0.489 GY:-0.198 GZ:0.977 | T:25.28 C
I (255565) mpu6050 stream: AX:-0.186 AY:0.085 AZ:-0.945 | GX:0.122 GY:-0.061 GZ:1.313 | T:25.38 C
I (255575) mpu6050 stream: AX:-0.185 AY:0.084 AZ:-0.934 | GX:0.427 GY:-0.153 GZ:1.099 | T:25.19 C
I (255585) mpu6050 stream: AX:-0.195 AY:0.077 AZ:-0.935 | GX:0.275 GY:-0.168 GZ:1.221 | T:25.28 C
I (255595) mpu6050 stream: AX:-0.185 AY:0.074 AZ:-0.937 | GX:-0.519 GY:-0.031 GZ:1.099 | T:25.28 C
I (255605) mpu6050 stream: AX:-0.189 AY:0.075 AZ:-0.943 | GX:-0.809 GY:-0.046 GZ:0.916 | T:25.28 C
I (255615) mpu6050 stream: AX:-0.187 AY:0.078 AZ:-0.935 | GX:-0.824 GY:-0.611 GZ:0.962 | T:25.38 C
I (255625) mpu6050 stream: AX:-0.193 AY:0.088 AZ:-0.934 | GX:-0.366 GY:-0.534 GZ:1.053 | T:25.19 C
I (255635) mpu6050 stream: AX:-0.190 AY:0.087 AZ:-0.940 | GX:0.061 GY:-0.519 GZ:1.374 | T:25.19 C
I (255645) mpu6050 stream: AX:-0.190 AY:0.085 AZ:-0.937 | GX:0.397 GY:-0.672 GZ:1.267 | T:25.28 C
I (255655) mpu6050 stream: AX:-0.190 AY:0.085 AZ:-0.941 | GX:0.748 GY:-0.397 GZ:1.344 | T:25.28 C
I (255665) mpu6050 stream: AX:-0.192 AY:0.079 AZ:-0.946 | GX:0.763 GY:-0.519 GZ:1.695 | T:25.19 C
I (255675) mpu6050 stream: AX:-0.190 AY:0.082 AZ:-0.947 | GX:0.809 GY:-0.427 GZ:1.786 | T:25.28 C
I (255685) mpu6050 stream: AX:-0.187 AY:0.080 AZ:-0.939 | GX:0.595 GY:-0.260 GZ:1.847 | T:25.28 C
I (255695) mpu6050 stream: AX:-0.191 AY:0.085 AZ:-0.938 | GX:0.489 GY:-0.214 GZ:1.969 | T:25.19 C
I (255705) mpu6050 stream: AX:-0.193 AY:0.079 AZ:-0.935 | GX:0.397 GY:-0.290 GZ:2.107 | T:25.28 C
I (255715) mpu6050 stream: AX:-0.189 AY:0.077 AZ:-0.944 | GX:0.366 GY:-0.473 GZ:2.244 | T:25.28 C
I (255725) mpu6050 stream: AX:-0.196 AY:0.081 AZ:-0.933 | GX:0.534 GY:-0.489 GZ:2.305 | T:25.28 C
I (255735) mpu6050 stream: AX:-0.188 AY:0.074 AZ:-0.938 | GX:0.779 GY:-0.336 GZ:2.382 | T:25.28 C
I (255745) mpu6050 stream: AX:-0.187 AY:0.070 AZ:-0.941 | GX:0.733 GY:-0.122 GZ:2.305 | T:25.38 C
I (255755) mpu6050 stream: AX:-0.191 AY:0.071 AZ:-0.938 | GX:0.595 GY:-0.015 GZ:2.504 | T:25.19 C
I (255765) mpu6050 stream: AX:-0.192 AY:0.072 AZ:-0.940 | GX:0.305 GY:-0.092 GZ:2.321 | T:25.19 C
I (255775) mpu6050 stream: AX:-0.189 AY:0.072 AZ:-0.942 | GX:-0.076 GY:0.092 GZ:2.168 | T:25.28 C
I (255785) mpu6050 stream: AX:-0.194 AY:0.070 AZ:-0.953 | GX:-0.305 GY:-0.244 GZ:1.985 | T:25.28 C
I (255795) mpu6050 stream: AX:-0.191 AY:0.068 AZ:-0.933 | GX:-0.458 GY:0.046 GZ:1.649 | T:25.28 C
I (255805) mpu6050 stream: AX:-0.187 AY:0.075 AZ:-0.929 | GX:-0.458 GY:-0.061 GZ:1.557 | T:25.19 C
I (255815) mpu6050 stream: AX:-0.191 AY:0.071 AZ:-0.944 | GX:-0.473 GY:0.153 GZ:1.313 | T:25.24 C
I (255825) mpu6050 stream: AX:-0.198 AY:0.067 AZ:-0.944 | GX:-0.656 GY:0.137 GZ:1.160 | T:25.24 C
I (255835) mpu6050 stream: AX:-0.186 AY:0.073 AZ:-0.945 | GX:-0.809 GY:0.061 GZ:0.885 | T:25.24 C
I (255845) mpu6050 stream: AX:-0.189 AY:0.073 AZ:-0.947 | GX:-1.099 GY:-0.046 GZ:0.824 | T:25.33 C
I (255855) mpu6050 stream: AX:-0.194 AY:0.071 AZ:-0.938 | GX:-1.206 GY:0.153 GZ:0.473 | T:25.24 C
I (255865) mpu6050 stream: AX:-0.187 AY:0.080 AZ:-0.944 | GX:-0.962 GY:0.046 GZ:0.305 | T:25.42 C
I (255875) mpu6050 stream: AX:-0.186 AY:0.080 AZ:-0.951 | GX:-1.099 GY:0.382 GZ:0.275 | T:25.24 C
I (255885) mpu6050 stream: AX:-0.186 AY:0.075 AZ:-0.944 | GX:-1.069 GY:0.489 GZ:0.076 | T:25.24 C
I (255895) mpu6050 stream: AX:-0.185 AY:0.083 AZ:-0.940 | GX:-0.977 GY:0.611 GZ:0.244 | T:25.33 C
I (255905) mpu6050 stream: AX:-0.186 AY:0.084 AZ:-0.939 | GX:-0.824 GY:0.458 GZ:0.244 | T:25.33 C
I (255915) mpu6050 stream: AX:-0.186 AY:0.087 AZ:-0.940 | GX:-0.687 GY:0.397 GZ:0.244 | T:25.33 C
I (255925) mpu6050 stream: AX:-0.190 AY:0.082 AZ:-0.952 | GX:-0.718 GY:0.214 GZ:0.290 | T:25.24 C
I (255935) mpu6050 stream: AX:-0.181 AY:0.085 AZ:-0.950 | GX:-0.809 GY:0.015 GZ:0.443 | T:25.24 C
I (255945) mpu6050 stream: AX:-0.184 AY:0.082 AZ:-0.948 | GX:-0.733 GY:0.336 GZ:0.748 | T:25.33 C
I (255955) mpu6050 stream: AX:-0.190 AY:0.088 AZ:-0.941 | GX:-0.550 GY:0.351 GZ:0.947 | T:25.24 C
I (255965) mpu6050 stream: AX:-0.185 AY:0.086 AZ:-0.933 | GX:-0.321 GY:0.000 GZ:0.977 | T:25.24 C
I (255975) mpu6050 stream: AX:-0.189 AY:0.081 AZ:-0.942 | GX:-0.107 GY:0.260 GZ:1.160 | T:25.14 C
I (255985) mpu6050 stream: AX:-0.186 AY:0.084 AZ:-0.935 | GX:-0.290 GY:-0.046 GZ:1.603 | T:25.14 C
I (255995) mpu6050 stream: AX:-0.188 AY:0.085 AZ:-0.937 | GX:-0.382 GY:-0.107 GZ:1.802 | T:25.33 C
I (256005) mpu6050 stream: AX:-0.186 AY:0.079 AZ:-0.942 | GX:-0.656 GY:0.000 GZ:1.893 | T:25.24 C
I (256015) mpu6050 stream: AX:-0.180 AY:0.076 AZ:-0.929 | GX:-0.779 GY:-0.061 GZ:2.000 | T:25.24 C
I (256025) mpu6050 stream: AX:-0.188 AY:0.075 AZ:-0.938 | GX:-0.977 GY:-0.382 GZ:1.969 | T:25.33 C
I (256035) mpu6050 stream: AX:-0.178 AY:0.075 AZ:-0.941 | GX:-0.901 GY:-0.366 GZ:1.832 | T:25.33 C
I (256045) mpu6050 stream: AX:-0.193 AY:0.075 AZ:-0.936 | GX:-0.962 GY:-0.489 GZ:1.588 | T:25.24 C
I (256055) mpu6050 stream: AX:-0.189 AY:0.074 AZ:-0.936 | GX:-0.885 GY:-0.534 GZ:1.282 | T:25.24 C
I (256065) mpu6050 stream: AX:-0.189 AY:0.076 AZ:-0.938 | GX:-1.069 GY:-0.611 GZ:0.916 | T:25.24 C
I (256075) mpu6050 stream: AX:-0.195 AY:0.076 AZ:-0.943 | GX:-1.176 GY:-0.061 GZ:0.550 | T:25.33 C
I (256085) mpu6050 stream: AX:-0.189 AY:0.082 AZ:-0.940 | GX:-1.160 GY:-0.092 GZ:0.397 | T:25.24 C
I (256095) mpu6050 stream: AX:-0.190 AY:0.080 AZ:-0.946 | GX:-0.809 GY:-0.153 GZ:0.107 | T:25.24 C
