I (365435) mpu6050 stream: AX:-0.076 AY:0.086 AZ:-0.955 | GX:-0.137 GY:0.107 GZ:-0.351 | T:25.28 C
I (365445) mpu6050 stream: AX:-0.074 AY:0.085 AZ:-0.951 | GX:0.107 GY:0.031 GZ:-0.412 | T:25.24 C
I (365455) mpu6050 stream: AX:-0.081 AY:0.086 AZ:-0.960 | GX:0.137 GY:-0.458 GZ:-0.076 | T:25.19 C
I (365465) mpu6050 stream: AX:-0.078 AY:0.081 AZ:-0.963 | GX:0.046 GY:-0.504 GZ:-0.031 | T:25.24 C
I (365475) mpu6050 stream: AX:-0.076 AY:0.081 AZ:-0.959 | GX:-0.015 GY:-0.504 GZ:-0.015 | T:25.19 C
I (365485) mpu6050 stream: AX:-0.082 AY:0.081 AZ:-0.967 | GX:-0.046 GY:-0.458 GZ:0.000 | T:25.14 C
I (365495) mpu6050 stream: AX:-0.081 AY:0.078 AZ:-0.955 | GX:-0.214 GY:-0.153 GZ:-0.076 | T:25.14 C
I (365505) mpu6050 stream: AX:-0.080 AY:0.075 AZ:-0.956 | GX:-0.336 GY:0.168 GZ:-0.061 | T:25.24 C
I (365515) mpu6050 stream: AX:-0.081 AY:0.085 AZ:-0.956 | GX:-0.550 GY:0.229 GZ:-0.031 | T:25.19 C
I (365525) mpu6050 stream: AX:-0.073 AY:0.087 AZ:-0.956 | GX:-0.336 GY:0.290 GZ:0.229 | T:25.24 C
I (365535) mpu6050 stream: AX:-0.084 AY:0.087 AZ:-0.960 | GX:-0.122 GY:0.458 GZ:0.489 | T:25.19 C
I (365545) mpu6050 stream: AX:-0.077 AY:0.088 AZ:-0.948 | GX:0.183 GY:0.260 GZ:0.321 | T:25.19 C
I (365555) mpu6050 stream: AX:-0.069 AY:0.079 AZ:-0.947 | GX:0.382 GY:0.076 GZ:0.534 | T:25.28 C
I (365565) mpu6050 stream: AX:-0.076 AY:0.086 AZ:-0.948 | GX:0.534 GY:0.122 GZ:0.672 | T:25.09 C
I (365575) mpu6050 stream: AX:-0.082 AY:0.084 AZ:-0.957 | GX:0.519 GY:-0.031 GZ:0.687 | T:25.09 C
I (365585) mpu6050 stream: AX:-0.074 AY:0.074 AZ:-0.951 | GX:0.290 GY:-0.275 GZ:0.672 | T:25.19 C
I (365595) mpu6050 stream: AX:-0.075 AY:0.080 AZ:-0.958 | GX:0.061 GY:-0.412 GZ:0.870 | T:25.19 C
