I (488185) mpu6050 stream: AX:-0.104 AY:0.082 AZ:-0.962 | GX:0.382 GY:0.504 GZ:0.962 | T:25.05 C
I (488195) mpu6050 stream: AX:-0.098 AY:0.081 AZ:-0.962 | GX:1.176 GY:0.809 GZ:1.282 | T:25.05 C
I (488205) mpu6050 stream: AX:-0.104 AY:0.070 AZ:-0.953 | GX:1.069 GY:1.130 GZ:1.359 | T:25.05 C
I (488215) mpu6050 stream: AX:-0.097 AY:0.072 AZ:-0.966 | GX:0.504 GY:1.466 GZ:1.221 | T:25.14 C
I (488225) mpu6050 stream: AX:-0.097 AY:0.077 AZ:-0.959 | GX:-0.290 GY:1.664 GZ:1.237 | T:25.05 C
I (488235) mpu6050 stream: AX:-0.097 AY:0.078 AZ:-0.954 | GX:-0.580 GY:1.511 GZ:1.099 | T:25.05 C
I (488245) mpu6050 stream: AX:-0.089 AY:0.084 AZ:-0.956 | GX:-0.397 GY:1.496 GZ:1.221 | T:25.05 C
I (488255) mpu6050 stream: AX:-0.092 AY:0.080 AZ:-0.952 | GX:0.031 GY:1.374 GZ:1.237 | T:25.05 C
I (488265) mpu6050 stream: AX:-0.090 AY:0.079 AZ:-0.944 | GX:0.763 GY:1.344 GZ:1.374 | T:25.14 C
I (488275) mpu6050 stream: AX:-0.093 AY:0.068 AZ:-0.955 | GX:0.824 GY:1.374 GZ:1.328 | T:25.14 C
I (488285) mpu6050 stream: AX:-0.093 AY:0.067 AZ:-0.949 | GX:0.763 GY:1.374 GZ:1.298 | T:24.95 C
I (488295) mpu6050 stream: AX:-0.093 AY:0.067 AZ:-0.956 | GX:0.427 GY:1.237 GZ:1.298 | T:25.05 C
I (488305) mpu6050 stream: AX:-0.092 AY:0.068 AZ:-0.953 | GX:-0.122 GY:1.237 GZ:1.267 | T:25.05 C
I (488315) mpu6050 stream: AX:-0.089 AY:0.074 AZ:-0.952 | GX:-0.427 GY:1.130 GZ:1.221 | T:25.05 C
I (488325) mpu6050 stream: AX:-0.091 AY:0.074 AZ:-0.947 | GX:-0.107 GY:1.099 GZ:1.206 | T:25.05 C
I (488335) mpu6050 stream: AX:-0.094 AY:0.074 AZ:-0.953 | GX:0.107 GY:1.160 GZ:1.176 | T:25.05 C
I (488345) mpu6050 stream: AX:-0.092 AY:0.073 AZ:-0.957 | GX:0.168 GY:1.221 GZ:1.252 | T:25.14 C
I (488355) mpu6050 stream: AX:-0.092 AY:0.076 AZ:-0.957 | GX:0.244 GY:1.374 GZ:1.221 | T:24.95 C
I (488365) mpu6050 stream: AX:-0.093 AY:0.075 AZ:-0.949 | GX:-0.137 GY:1.191 GZ:1.237 | T:25.14 C
I (488375) mpu6050 stream: AX:-0.086 AY:0.079 AZ:-0.959 | GX:-0.046 GY:1.145 GZ:1.298 | T:25.09 C
I (488385) mpu6050 stream: AX:-0.092 AY:0.079 AZ:-0.947 | GX:-0.046 GY:1.053 GZ:1.160 | T:25.00 C
I (488395) mpu6050 stream: AX:-0.083 AY:0.078 AZ:-0.949 | GX:-0.107 GY:0.931 GZ:1.496 | T:25.09 C
I (488405) mpu6050 stream: AX:-0.090 AY:0.067 AZ:-0.948 | GX:-0.061 GY:1.191 GZ:1.557 | T:25.09 C
I (488415) mpu6050 stream: AX:-0.092 AY:0.067 AZ:-0.958 | GX:0.000 GY:1.435 GZ:1.496 | T:25.09 C
I (488425) mpu6050 stream: AX:-0.089 AY:0.069 AZ:-0.961 | GX:-0.031 GY:1.588 GZ:1.481 | T:25.09 C
I (488435) mpu6050 stream: AX:-0.084 AY:0.076 AZ:-0.952 | GX:0.092 GY:1.496 GZ:1.374 | T:25.09 C
