I (303075) mpu6050 stream: AX:-0.164 AY:0.094 AZ:-0.943 | GX:-0.733 GY:0.687 GZ:0.641 | T:25.33 C
I (303085) mpu6050 stream: AX:-0.160 AY:0.095 AZ:-0.945 | GX:-0.504 GY:-0.092 GZ:0.580 | T:25.33 C
I (303095) mpu6050 stream: AX:-0.165 AY:0.097 AZ:-0.948 | GX:-0.015 GY:0.458 GZ:0.947 | T:25.24 C
I (303105) mpu6050 stream: AX:-0.158 AY:0.102 AZ:-0.951 | GX:0.687 GY:0.473 GZ:1.130 | T:25.24 C
I (303115) mpu6050 stream: AX:-0.168 AY:0.093 AZ:-0.960 | GX:0.992 GY:0.947 GZ:1.267 | T:25.24 C
I (303125) mpu6050 stream: AX:-0.161 AY:0.086 AZ:-0.950 | GX:0.763 GY:1.237 GZ:1.450 | T:25.33 C
I (303135) mpu6050 stream: AX:-0.154 AY:0.084 AZ:-0.948 | GX:0.214 GY:1.420 GZ:1.359 | T:25.33 C
I (303145) mpu6050 stream: AX:-0.153 AY:0.085 AZ:-0.938 | GX:-0.153 GY:1.252 GZ:1.206 | T:25.24 C
I (303155) mpu6050 stream: AX:-0.152 AY:0.083 AZ:-0.934 | GX:-0.519 GY:1.221 GZ:1.053 | T:25.24 C
I (303165) mpu6050 stream: AX:-0.152 AY:0.088 AZ:-0.935 | GX:-0.290 GY:0.916 GZ:0.885 | T:25.24 C
I (303175) mpu6050 stream: AX:-0.152 AY:0.092 AZ:-0.937 | GX:-0.076 GY:0.397 GZ:1.053 | T:25.24 C
I (303185) mpu6050 stream: AX:-0.153 AY:0.090 AZ:-0.946 | GX:0.137 GY:0.458 GZ:0.947 | T:25.24 C
I (303195) mpu6050 stream: AX:-0.155 AY:0.089 AZ:-0.954 | GX:0.244 GY:0.458 GZ:1.130 | T:25.24 C
I (303205) mpu6050 stream: AX:-0.157 AY:0.090 AZ:-0.941 | GX:0.458 GY:0.290 GZ:1.053 | T:25.24 C
I (303215) mpu6050 stream: AX:-0.150 AY:0.086 AZ:-0.948 | GX:0.519 GY:0.382 GZ:1.099 | T:25.33 C
I (303225) mpu6050 stream: AX:-0.158 AY:0.085 AZ:-0.941 | GX:0.183 GY:0.260 GZ:1.344 | T:25.24 C
I (303235) mpu6050 stream: AX:-0.153 AY:0.084 AZ:-0.951 | GX:-0.198 GY:0.275 GZ:1.084 | T:25.24 C
I (303245) mpu6050 stream: AX:-0.157 AY:0.083 AZ:-0.950 | GX:-0.412 GY:-0.015 GZ:1.221 | T:25.33 C
I (303255) mpu6050 stream: AX:-0.152 AY:0.092 AZ:-0.938 | GX:-0.351 GY:0.229 GZ:1.099 | T:25.33 C
I (303265) mpu6050 stream: AX:-0.158 AY:0.085 AZ:-0.941 | GX:-0.397 GY:-0.031 GZ:1.145 | T:25.14 C
I (303275) mpu6050 stream: AX:-0.154 AY:0.090 AZ:-0.942 | GX:-0.366 GY:-0.031 GZ:1.069 | T:25.24 C
I (303285) mpu6050 stream: AX:-0.154 AY:0.087 AZ:-0.947 | GX:-0.366 GY:0.153 GZ:1.267 | T:25.24 C
I (303295) mpu6050 stream: AX:-0.153 AY:0.095 AZ:-0.943 | GX:-0.198 GY:0.153 GZ:1.191 | T:25.24 C
I (303305) mpu6050 stream: AX:-0.154 AY:0.092 AZ:-0.948 | GX:-0.290 GY:0.244 GZ:1.069 | T:25.24 C
I (303315) mpu6050 stream: AX:-0.160 AY:0.079 AZ:-0.948 | GX:-0.351 GY:0.321 GZ:1.099 | T:25.33 C
I (303325) mpu6050 stream: AX:-0.154 AY:0.086 AZ:-0.940 | GX:-0.336 GY:0.427 GZ:1.053 | T:25.14 C
I (303335) mpu6050 stream: AX:-0.153 AY:0.090 AZ:-0.945 | GX:-0.351 GY:0.290 GZ:1.099 | T:25.14 C
I (303345) mpu6050 stream: AX:-0.153 AY:0.082 AZ:-0.954 | GX:-0.489 GY:0.336 GZ:1.130 | T:25.33 C
I (303355) mpu6050 stream: AX:-0.155 AY:0.083 AZ:-0.944 | GX:-0.519 GY:0.290 GZ:1.084 | T:25.14 C
I (303365) mpu6050 stream: AX:-0.150 AY:0.081 AZ:-0.941 | GX:-0.580 GY:0.366 GZ:0.901 | T:25.33 C
I (303375) mpu6050 stream: AX:-0.154 AY:0.087 AZ:-0.946 | GX:-0.702 GY:0.183 GZ:0.641 | T:25.33 C
I (303385) mpu6050 stream: AX:-0.152 AY:0.089 AZ:-0.945 | GX:-0.947 GY:-0.015 GZ:0.595 | T:25.33 C
I (303395) mpu6050 stream: AX:-0.158 AY:0.087 AZ:-0.953 | GX:-1.069 GY:-0.260 GZ:0.397 | T:25.24 C
