I (475745) mpu6050 stream: AX:-0.091 AY:0.093 AZ:-0.956 | GX:0.565 GY:0.351 GZ:1.557 | T:25.09 C
I (475755) mpu6050 stream: AX:-0.082 AY:0.085 AZ:-0.957 | GX:0.931 GY:0.305 GZ:1.710 | T:25.00 C
I (475765) mpu6050 stream: AX:-0.091 AY:0.086 AZ:-0.951 | GX:1.069 GY:0.565 GZ:1.847 | T:25.09 C
I (475775) mpu6050 stream: AX:-0.086 AY:0.091 AZ:-0.957 | GX:0.687 GY:0.718 GZ:1.679 | T:25.09 C
I (475785) mpu6050 stream: AX:-0.087 AY:0.083 AZ:-0.959 | GX:0.565 GY:0.427 GZ:1.695 | T:25.09 C
I (475795) mpu6050 stream: AX:-0.080 AY:0.076 AZ:-0.963 | GX:0.382 GY:0.076 GZ:1.603 | T:25.09 C
I (475805) mpu6050 stream: AX:-0.088 AY:0.079 AZ:-0.959 | GX:0.260 GY:0.137 GZ:1.771 | T:25.09 C
I (475815) mpu6050 stream: AX:-0.086 AY:0.084 AZ:-0.953 | GX:0.290 GY:0.000 GZ:1.618 | T:25.09 C
I (475825) mpu6050 stream: AX:-0.090 AY:0.091 AZ:-0.963 | GX:0.244 GY:0.046 GZ:1.664 | T:25.19 C
I (475835) mpu6050 stream: AX:-0.080 AY:0.081 AZ:-0.951 | GX:0.168 GY:0.198 GZ:1.542 | T:25.00 C
I (475845) mpu6050 stream: AX:-0.084 AY:0.084 AZ:-0.955 | GX:-0.061 GY:0.015 GZ:1.618 | T:25.09 C
I (475855) mpu6050 stream: AX:-0.090 AY:0.083 AZ:-0.955 | GX:0.168 GY:0.031 GZ:1.985 | T:25.09 C
I (475865) mpu6050 stream: AX:-0.084 AY:0.088 AZ:-0.953 | GX:-0.107 GY:-0.046 GZ:1.725 | T:25.09 C
I (475875) mpu6050 stream: AX:-0.085 AY:0.081 AZ:-0.956 | GX:0.183 GY:0.244 GZ:1.740 | T:25.00 C
I (475885) mpu6050 stream: AX:-0.088 AY:0.083 AZ:-0.958 | GX:0.244 GY:0.229 GZ:1.954 | T:25.09 C
I (475895) mpu6050 stream: AX:-0.086 AY:0.088 AZ:-0.958 | GX:0.382 GY:0.458 GZ:2.092 | T:25.09 C
I (475905) mpu6050 stream: AX:-0.084 AY:0.082 AZ:-0.951 | GX:0.260 GY:0.595 GZ:2.092 | T:25.09 C
I (475915) mpu6050 stream: AX:-0.089 AY:0.080 AZ:-0.960 | GX:0.214 GY:0.611 GZ:2.076 | T:25.00 C
I (475925) mpu6050 stream: AX:-0.081 AY:0.081 AZ:-0.960 | GX:0.122 GY:0.763 GZ:1.939 | T:25.09 C
I (475935) mpu6050 stream: AX:-0.084 AY:0.081 AZ:-0.951 | GX:-0.168 GY:0.656 GZ:1.878 | T:25.09 C
I (475945) mpu6050 stream: AX:-0.082 AY:0.079 AZ:-0.958 | GX:-0.351 GY:0.687 GZ:1.756 | T:25.19 C
