I (249725) mpu6050 stream: AX:-0.202 AY:0.084 AZ:-0.928 | GX:0.183 GY:0.031 GZ:0.519 | T:25.24 C
I (249735) mpu6050 stream: AX:-0.202 AY:0.088 AZ:-0.939 | GX:0.046 GY:0.076 GZ:0.565 | T:25.33 C
I (249745) mpu6050 stream: AX:-0.199 AY:0.086 AZ:-0.925 | GX:-0.031 GY:-0.015 GZ:0.748 | T:25.14 C
I (249755) mpu6050 stream: AX:-0.203 AY:0.092 AZ:-0.936 | GX:-0.076 GY:-0.260 GZ:0.687 | T:25.14 C
I (249765) mpu6050 stream: AX:-0.204 AY:0.088 AZ:-0.932 | GX:-0.260 GY:-0.504 GZ:0.916 | T:25.24 C
I (249775) mpu6050 stream: AX:-0.200 AY:0.083 AZ:-0.933 | GX:-0.183 GY:-0.443 GZ:0.885 | T:25.33 C
I (249785) mpu6050 stream: AX:-0.206 AY:0.086 AZ:-0.935 | GX:-0.275 GY:-0.794 GZ:0.840 | T:25.24 C
I (249795) mpu6050 stream: AX:-0.208 AY:0.086 AZ:-0.939 | GX:-0.229 GY:-0.855 GZ:0.885 | T:25.33 C
I (249805) mpu6050 stream: AX:-0.210 AY:0.085 AZ:-0.933 | GX:-0.290 GY:-0.473 GZ:0.840 | T:25.24 C
I (249815) mpu6050 stream: AX:-0.209 AY:0.081 AZ:-0.942 | GX:-0.260 GY:-0.504 GZ:1.038 | T:25.24 C
I (249825) mpu6050 stream: AX:-0.208 AY:0.087 AZ:-0.940 | GX:-0.076 GY:-0.198 GZ:0.779 | T:25.33 C
I (249835) mpu6050 stream: AX:-0.204 AY:0.079 AZ:-0.933 | GX:-0.198 GY:-0.198 GZ:0.840 | T:25.33 C
I (249845) mpu6050 stream: AX:-0.204 AY:0.086 AZ:-0.923 | GX:0.031 GY:-0.092 GZ:0.870 | T:25.24 C
I (249855) mpu6050 stream: AX:-0.200 AY:0.086 AZ:-0.928 | GX:0.214 GY:-0.565 GZ:0.824 | T:25.24 C
I (249865) mpu6050 stream: AX:-0.205 AY:0.079 AZ:-0.934 | GX:0.015 GY:-0.443 GZ:0.870 | T:25.33 C
I (249875) mpu6050 stream: AX:-0.209 AY:0.085 AZ:-0.930 | GX:-0.290 GY:-0.962 GZ:1.053 | T:25.33 C
I (249885) mpu6050 stream: AX:-0.210 AY:0.082 AZ:-0.939 | GX:-0.519 GY:-0.550 GZ:1.099 | T:25.33 C
I (249895) mpu6050 stream: AX:-0.203 AY:0.089 AZ:-0.935 | GX:-0.656 GY:-0.336 GZ:1.176 | T:25.33 C
I (249905) mpu6050 stream: AX:-0.206 AY:0.088 AZ:-0.943 | GX:-0.809 GY:-0.137 GZ:1.344 | T:25.33 C
I (249915) mpu6050 stream: AX:-0.203 AY:0.086 AZ:-0.936 | GX:-0.519 GY:0.382 GZ:1.481 | T:25.24 C
I (249925) mpu6050 stream: AX:-0.212 AY:0.083 AZ:-0.934 | GX:-0.214 GY:-0.092 GZ:1.679 | T:25.24 C
I (249935) mpu6050 stream: AX:-0.201 AY:0.079 AZ:-0.937 | GX:-0.214 GY:-0.092 GZ:1.710 | T:25.24 C
I (249945) mpu6050 stream: AX:-0.208 AY:0.082 AZ:-0.932 | GX:-0.183 GY:-0.168 GZ:1.481 | T:25.33 C
I (249955) mpu6050 stream: AX:-0.191 AY:0.079 AZ:-0.935 | GX:-0.611 GY:-0.122 GZ:1.344 | T:25.24 C
I (249965) mpu6050 stream: AX:-0.197 AY:0.077 AZ:-0.932 | GX:-1.130 GY:-0.550 GZ:1.252 | T:25.33 C
I (249975) mpu6050 stream: AX:-0.199 AY:0.087 AZ:-0.934 | GX:-1.817 GY:-0.641 GZ:0.885 | T:25.33 C
I (249985) mpu6050 stream: AX:-0.199 AY:0.089 AZ:-0.925 | GX:-1.710 GY:-0.473 GZ:0.733 | T:25.24 C
I (249995) mpu6050 stream: AX:-0.203 AY:0.094 AZ:-0.927 | GX:-0.855 GY:-0.626 GZ:0.458 | T:25.24 C
I (250005) mpu6050 stream: AX:-0.198 AY:0.095 AZ:-0.926 | GX:0.473 GY:-1.038 GZ:0.504 | T:25.24 C
I (250015) mpu6050 stream: AX:-0.206 AY:0.098 AZ:-0.938 | GX:1.679 GY:-1.298 GZ:0.656 | T:25.28 C
I (250025) mpu6050 stream: AX:-0.211 AY:0.087 AZ:-0.935 | GX:2.015 GY:-1.344 GZ:0.977 | T:25.28 C
I (250035) mpu6050 stream: AX:-0.209 AY:0.081 AZ:-0.943 | GX:1.145 GY:-1.557 GZ:0.992 | T:25.28 C
I (250045) mpu6050 stream: AX:-0.215 AY:0.080 AZ:-0.934 | GX:-0.336 GY:-1.206 GZ:1.069 | T:25.19 C
I (250055) mpu6050 stream: AX:-0.215 AY:0.085 AZ:-0.938 | GX:-1.267 GY:-1.221 GZ:1.344 | T:25.19 C
I (250065) mpu6050 stream: AX:-0.208 AY:0.088 AZ:-0.930 | GX:-1.450 GY:-1.481 GZ:1.511 | T:25.19 C
I (250075) mpu6050 stream: AX:-0.217 AY:0.090 AZ:-0.931 | GX:-1.038 GY:-1.389 GZ:1.511 | T:25.19 C
I (250085) mpu6050 stream: AX:-0.216 AY:0.093 AZ:-0.931 | GX:-0.595 GY:-1.282 GZ:1.695 | T:25.28 C
I (250095) mpu6050 stream: AX:-0.211 AY:0.085 AZ:-0.933 | GX:-0.076 GY:-1.359 GZ:1.649 | T:25.19 C
I (250105) mpu6050 stream: AX:-0.221 AY:0.089 AZ:-0.947 | GX:0.061 GY:-0.931 GZ:1.527 | T:25.28 C
I (250115) mpu6050 stream: AX:-0.218 AY:0.083 AZ:-0.943 | GX:-0.076 GY:-0.733 GZ:1.634 | T:25.28 C
I (250125) mpu6050 stream: AX:-0.216 AY:0.076 AZ:-0.943 | GX:-0.382 GY:-0.321 GZ:1.435 | T:25.28 C
I (250135) mpu6050 strI (250385) mpu6050 stream: AX:-0.207 AY:0.087 AZ:-0.935 | GX:0.366 GY:-0.595 GZ:1.252 | T:25.33 C
I (250395) mpu6050 stream: AX:-0.213 AY:0.087 AZ:-0.937 | GX:0.061 GY:-0.626 GZ:1.267 | T:25.14 C
I (250405) mpu6050 stream: AX:-0.211 AY:0.086 AZ:-0.934 | GX:0.244 GY:-0.687 GZ:1.481 | T:25.24 C
I (250415) mpu6050 stream: AX:-0.206 AY:0.090 AZ:-0.934 | GX:0.198 GY:-0.565 GZ:1.466 | T:25.24 C
I (250425) mpu6050 stream: AX:-0.219 AY:0.094 AZ:-0.935 | GX:0.290 GY:-0.656 GZ:1.740 | T:25.24 C
I (250435) mpu6050 stream: AX:-0.219 AY:0.090 AZ:-0.945 | GX:0.550 GY:-0.336 GZ:1.863 | T:25.33 C
I (250445) mpu6050 stream: AX:-0.218 AY:0.081 AZ:-0.938 | GX:0.351 GY:-0.305 GZ:2.137 | T:25.33 C
I (250455) mpu6050 stream: AX:-0.223 AY:0.084 AZ:-0.937 | GX:-0.092 GY:0.122 GZ:2.137 | T:25.33 C
I (250465) mpu6050 stream: AX:-0.221 AY:0.085 AZ:-0.935 | GX:-0.168 GY:0.153 GZ:2.046 | T:25.24 C
I (250475) mpu6050 stream: AX:-0.218 AY:0.076 AZ:-0.937 | GX:-0.137 GY:0.489 GZ:1.985 | T:25.33 C
I (250485) mpu6050 stream: AX:-0.209 AY:0.082 AZ:-0.937 | GX:0.000 GY:0.412 GZ:1.939 | T:25.24 C
I (250495) mpu6050 stream: AX:-0.213 AY:0.075 AZ:-0.930 | GX:-0.015 GY:0.656 GZ:1.573 | T:25.24 C
I (250505) mpu6050 stream: AX:-0.209 AY:0.079 AZ:-0.929 | GX:-0.244 GY:0.168 GZ:1.725 | T:25.33 C
I (250515) mpu6050 stream: AX:-0.208 AY:0.081 AZ:-0.928 | GX:-0.672 GY:0.290 GZ:1.221 | T:25.28 C
I (250525) mpu6050 stream: AX:-0.206 AY:0.084 AZ:-0.933 | GX:-0.794 GY:0.092 GZ:0.855 | T:25.19 C
I (250535) mpu6050 stream: AX:-0.215 AY:0.084 AZ:-0.930 | GX:-0.840 GY:-0.244 GZ:0.718 | T:25.28 C
