I (536095) mpu6050 stream: AX:-0.073 AY:0.076 AZ:-0.952 | GX:0.229 GY:0.229 GZ:2.183 | T:24.95 C
I (536105) mpu6050 stream: AX:-0.073 AY:0.071 AZ:-0.961 | GX:0.565 GY:0.260 GZ:1.756 | T:25.05 C
I (536115) mpu6050 stream: AX:-0.073 AY:0.073 AZ:-0.956 | GX:0.366 GY:0.122 GZ:1.634 | T:25.05 C
I (536125) mpu6050 stream: AX:-0.067 AY:0.075 AZ:-0.963 | GX:0.458 GY:0.229 GZ:1.527 | T:25.05 C
I (536135) mpu6050 stream: AX:-0.068 AY:0.069 AZ:-0.956 | GX:0.183 GY:0.397 GZ:1.466 | T:24.95 C
I (536145) mpu6050 stream: AX:-0.071 AY:0.076 AZ:-0.960 | GX:0.046 GY:0.275 GZ:1.267 | T:24.95 C
I (536155) mpu6050 stream: AX:-0.071 AY:0.075 AZ:-0.958 | GX:0.061 GY:0.290 GZ:0.992 | T:24.95 C
I (536165) mpu6050 stream: AX:-0.069 AY:0.074 AZ:-0.954 | GX:0.122 GY:0.565 GZ:1.053 | T:24.95 C
I (536175) mpu6050 stream: AX:-0.067 AY:0.071 AZ:-0.953 | GX:0.382 GY:0.550 GZ:0.916 | T:25.05 C
I (536185) mpu6050 stream: AX:-0.066 AY:0.076 AZ:-0.958 | GX:0.305 GY:0.168 GZ:0.885 | T:24.95 C
I (536195) mpu6050 stream: AX:-0.067 AY:0.076 AZ:-0.958 | GX:0.198 GY:0.336 GZ:1.053 | T:24.95 C
I (536205) mpu6050 stream: AX:-0.074 AY:0.075 AZ:-0.952 | GX:-0.076 GY:0.275 GZ:0.901 | T:25.05 C
I (536215) mpu6050 stream: AX:-0.067 AY:0.069 AZ:-0.958 | GX:-0.366 GY:0.000 GZ:1.069 | T:24.95 C
I (536225) mpu6050 stream: AX:-0.066 AY:0.073 AZ:-0.955 | GX:-0.504 GY:-0.031 GZ:0.916 | T:25.05 C
I (536235) mpu6050 stream: AX:-0.061 AY:0.074 AZ:-0.948 | GX:-0.626 GY:0.107 GZ:0.962 | T:24.95 C
I (536245) mpu6050 stream: AX:-0.064 AY:0.080 AZ:-0.955 | GX:-0.534 GY:-0.351 GZ:0.855 | T:25.05 C
I (536255) mpu6050 stream: AX:-0.066 AY:0.076 AZ:-0.950 | GX:-0.427 GY:-0.656 GZ:0.962 | T:24.95 C
I (536265) mpu6050 stream: AX:-0.056 AY:0.075 AZ:-0.957 | GX:-0.382 GY:-0.290 GZ:1.038 | T:24.95 C
I (536275) mpu6050 stream: AX:-0.073 AY:0.076 AZ:-0.955 | GX:-0.504 GY:-0.534 GZ:0.870 | T:24.91 C
I (536285) mpu6050 stream: AX:-0.067 AY:0.078 AZ:-0.950 | GX:-0.275 GY:-0.458 GZ:0.962 | T:25.00 C
I (536295) mpu6050 stream: AX:-0.068 AY:0.086 AZ:-0.955 | GX:-0.275 GY:-0.702 GZ:0.809 | T:25.00 C
I (536305) mpu6050 stream: AX:-0.074 AY:0.076 AZ:-0.957 | GX:-0.198 GY:-0.824 GZ:0.702 | T:25.00 C
I (536315) mpu6050 stream: AX:-0.070 AY:0.075 AZ:-0.951 | GX:-0.458 GY:-0.031 GZ:0.885 | T:24.91 C
I (536325) mpu6050 stream: AX:-0.067 AY:0.076 AZ:-0.953 | GX:-0.779 GY:-0.748 GZ:0.580 | T:25.00 C
I (536335) mpu6050 stream: AX:-0.063 AY:0.081 AZ:-0.955 | GX:-0.626 GY:-0.779 GZ:0.763 | T:25.00 C
I (536345) mpu6050 stream: AX:-0.074 AY:0.077 AZ:-0.958 | GX:-1.282 GY:-0.687 GZ:0.855 | T:25.00 C
I (536355) mpu6050 stream: AX:-0.063 AY:0.089 AZ:-0.960 | GX:-1.710 GY:-0.733 GZ:0.794 | T:24.91 C
I (536365) mpu6050 stream: AX:-0.071 AY:0.087 AZ:-0.963 | GX:-1.328 GY:-0.519 GZ:0.901 | T:25.00 C
I (536375) mpu6050 stream: AX:-0.074 AY:0.089 AZ:-0.958 | GX:-0.107 GY:-0.214 GZ:1.008 | T:24.91 C
I (536385) mpu6050 stream: AX:-0.070 AY:0.086 AZ:-0.957 | GX:1.435 GY:-0.336 GZ:1.160 | T:24.91 C
I (536395) mpu6050 stream: AX:-0.071 AY:0.080 AZ:-0.955 | GX:2.092 GY:-0.076 GZ:1.634 | T:24.91 C
I (536405) mpu6050 stream: AX:-0.062 AY:0.073 AZ:-0.949 | GX:1.725 GY:-0.290 GZ:1.649 | T:24.91 C
I (536415) mpu6050 stream: AX:-0.067 AY:0.071 AZ:-0.949 | GX:0.397 GY:-0.840 GZ:1.740 | T:25.00 C
I (536425) mpu6050 stream: AX:-0.071 AY:0.066 AZ:-0.952 | GX:-0.901 GY:-1.053 GZ:1.542 | T:25.00 C
I (536435) mpu6050 stream: AX:-0.074 AY:0.069 AZ:-0.958 | GX:-2.519 GY:-1.832 GZ:1.618 | T:24.91 C
I (536445) mpu6050 stream: AX:-0.074 AY:0.085 AZ:-0.953 | GX:-2.183 GY:-1.603 GZ:1.511 | T:25.00 C
I (536455) mpu6050 stream: AX:-0.077 AY:0.081 AZ:-0.955 | GX:-1.221 GY:-1.481 GZ:1.649 | T:25.00 C
I (536465) mpu6050 stream: AX:-0.083 AY:0.085 AZ:-0.956 | GX:-0.443 GY:-1.115 GZ:1.573 | T:25.00 C
I (536475) mpu6050 stream: AX:-0.082 AY:0.081 AZ:-0.957 | GX:0.260 GY:-0.611 GZ:1.710 | T:25.00 C
I (536485) mpu6050 stream: AX:-0.078 AY:0.076 AZ:-0.958 | GX:0.061 GY:-0.611 GZ:1.466 | T:25.00 C
I (536495) mpu6050 stream: AX:-0.075 AY:0.077 AZ:-0.964 | GX:-0.198 GY:-0.473 GZ:1.160 | T:24.91 C
I (536505) mpu6050 stream: AX:-0.081 AY:0.074 AZ:-0.951 | GX:-0.748 GY:-0.824 GZ:0.931 | T:25.00 C
I (536515) mpu6050 stream: AX:-0.078 AY:0.081 AZ:-0.958 | GX:-1.176 GY:-0.580 GZ:0.672 | T:25.05 C
I (536525) mpu6050 stream: AX:-0.078 AY:0.084 AZ:-0.948 | GX:-0.992 GY:-0.763 GZ:0.489 | T:24.95 C
I (536535) mpu6050 stream: AX:-0.076 AY:0.090 AZ:-0.952 | GX:-0.458 GY:-0.580 GZ:0.458 | T:24.86 C
I (536545) mpu6050 stream: AX:-0.075 AY:0.092 AZ:-0.958 | GX:0.321 GY:-0.473 GZ:0.443 | T:24.95 C
I (536555) mpu6050 stream: AX:-0.086 AY:0.081 AZ:-0.955 | GX:0.794 GY:-0.519 GZ:0.550 | T:24.95 C
I (536565) mpu6050 stream: AX:-0.080 AY:0.077 AZ:-0.968 | GX:0.321 GY:-0.260 GZ:0.748 | T:25.05 C
I (536575) mpu6050 stream: AX:-0.079 AY:0.083 AZ:-0.965 | GX:-0.565 GY:0.198 GZ:1.008 | T:24.95 C
I (536585) mpu6050 stream: AX:-0.070 AY:0.086 AZ:-0.967 | GX:-0.931 GY:0.076 GZ:1.053 | T:24.95 C
I (536595) mpu6050 stream: AX:-0.073 AY:0.092 AZ:-0.960 | GX:-0.672 GY:0.229 GZ:1.206 | T:24.86 C
I (536605) mpu6050 stream: AX:-0.075 AY:0.094 AZ:-0.961 | GX:0.137 GY:0.244 GZ:1.450 | T:24.95 C
I (536615) mpu6050 stream: AX:-0.079 AY:0.087 AZ:-0.966 | GX:0.885 GY:0.244 GZ:1.664 | T:25.05 C
I (536625) mpu6050 stream: AX:-0.077 AY:0.076 AZ:-0.956 | GX:1.313 GY:0.382 GZ:1.908 | T:24.86 C
I (536635) mpu6050 stream: AX:-0.074 AY:0.085 AZ:-0.963 | GX:0.901 GY:0.366 GZ:1.618 | T:24.95 C
I (536645) mpu6050 stream: AX:-0.077 AY:0.075 AZ:-0.953 | GX:0.092 GY:0.214 GZ:1.817 | T:24.95 C
I (536655) mpu6050 stream: AX:-0.072 AY:0.077 AZ:-0.952 | GX:-0.611 GY:0.015 GZ:1.511 | T:25.05 C
I (536665) mpu6050 stream: AX:-0.074 AY:0.083 AZ:-0.955 | GX:-0.794 GY:0.137 GZ:1.527 | T:24.95 C
I (536675) mpu6050 stream: AX:-0.078 AY:0.077 AZ:-0.955 | GX:-0.489 GY:0.076 GZ:1.588 | T:24.95 C
I (536685) mpu6050 stream: AX:-0.070 AY:0.079 AZ:-0.950 | GX:0.168 GY:-0.107 GZ:1.664 | T:25.05 C
I (536695) mpu6050 stream: AX:-0.078 AY:0.079 AZ:-0.963 | GX:0.763 GY:-0.061 GZ:1.527 | T:24.95 C
I (536705) mpu6050 stream: AX:-0.074 AY:0.077 AZ:-0.957 | GX:1.115 GY:-0.076 GZ:1.481 | T:25.05 C
I (536715) mpu6050 stream: AX:-0.072 AY:0.076 AZ:-0.955 | GX:0.824 GY:-0.031 GZ:1.328 | T:24.95 C
I (536725) mpu6050 stream: AX:-0.072 AY:0.074 AZ:-0.954 | GX:0.321 GY:0.061 GZ:1.481 | T:24.95 C
I (536735) mpu6050 stream: AX:-0.076 AY:0.081 AZ:-0.955 | GX:-0.076 GY:0.092 GZ:1.359 | T:24.95 C
I (536745) mpu6050 stream: AX:-0.069 AY:0.075 AZ:-0.948 | GX:-0.290 GY:0.198 GZ:1.466 | T:24.95 C
I (536755) mpu6050 stream: AX:-0.066 AY:0.078 AZ:-0.959 | GX:-0.275 GY:-0.076 GZ:1.252 | T:24.95 C
I (536765) mpu6050 stream: AX:-0.075 AY:0.07) mpu6050 stream: AX:-0.072 AY:0.079 AZ:-0.958 | GX:0.031 GY:-0.229 GZ:0.076 | T:24.95 C
I (537015) mpu6050 stream: AX:-0.074 AY:0.085 AZ:-0.961 | GX:-0.534 GY:-0.718 GZ:0.305 | T:24.95 C
I (537025) mpu6050 stream: AX:-0.072 AY:0.081 AZ:-0.958 | GX:-0.885 GY:-0.458 GZ:0.183 | T:24.95 C
I (537035) mpu6050 stream: AX:-0.069 AY:0.093 AZ:-0.952 | GX:-0.550 GY:-0.992 GZ:0.504 | T:25.05 C
I (537045) mpu6050 stream: AX:-0.074 AY:0.089 AZ:-0.951 | GX:0.305 GY:-0.885 GZ:0.870 | T:24.95 C
I (537055) mpu6050 stream: AX:-0.078 AY:0.084 AZ:-0.947 | GX:1.328 GY:-0.641 GZ:1.481 | T:24.86 C
I (537065) mpu6050 stream: AX:-0.083 AY:0.076 AZ:-0.960 | GX:1.802 GY:-0.214 GZ:1.985 | T:24.95 C
I (537075) mpu6050 stream: AX:-0.081 AY:0.070 AZ:-0.956 | GX:1.359 GY:-0.641 GZ:1.939 | T:25.05 C
