I (652235) mpu6050 stream: AX:0.029 AY:0.083 AZ:-0.965 | GX:-1.267 GY:0.382 GZ:0.443 | T:25.09 C
I (652245) mpu6050 stream: AX:0.030 AY:0.088 AZ:-0.963 | GX:-0.901 GY:-0.092 GZ:0.611 | T:25.00 C
I (652255) mpu6050 stream: AX:0.025 AY:0.088 AZ:-0.961 | GX:0.626 GY:-0.076 GZ:0.580 | T:24.91 C
I (652265) mpu6050 stream: AX:0.035 AY:0.089 AZ:-0.959 | GX:1.802 GY:0.046 GZ:1.084 | T:25.00 C
I (652275) mpu6050 stream: AX:0.024 AY:0.083 AZ:-0.959 | GX:2.427 GY:0.076 GZ:1.221 | T:25.00 C
I (652285) mpu6050 stream: AX:0.022 AY:0.071 AZ:-0.956 | GX:2.076 GY:0.107 GZ:1.282 | T:24.91 C
I (652295) mpu6050 stream: AX:0.027 AY:0.070 AZ:-0.965 | GX:0.794 GY:0.198 GZ:1.328 | T:25.09 C
I (652305) mpu6050 stream: AX:0.026 AY:0.069 AZ:-0.956 | GX:-0.550 GY:-0.321 GZ:1.374 | T:25.00 C
I (652315) mpu6050 stream: AX:0.032 AY:0.071 AZ:-0.958 | GX:-1.252 GY:-0.626 GZ:1.420 | T:25.00 C
I (652325) mpu6050 stream: AX:0.028 AY:0.082 AZ:-0.959 | GX:-1.557 GY:-0.901 GZ:1.603 | T:25.00 C
I (652335) mpu6050 stream: AX:0.020 AY:0.078 AZ:-0.952 | GX:-0.992 GY:-0.885 GZ:1.878 | T:25.00 C
I (652345) mpu6050 stream: AX:0.023 AY:0.081 AZ:-0.950 | GX:-0.260 GY:-0.672 GZ:1.847 | T:24.91 C
I (652355) mpu6050 stream: AX:0.021 AY:0.079 AZ:-0.962 | GX:0.321 GY:-0.687 GZ:2.031 | T:25.00 C
I (652365) mpu6050 stream: AX:0.019 AY:0.077 AZ:-0.969 | GX:0.229 GY:-0.672 GZ:1.863 | T:25.00 C
I (652375) mpu6050 stream: AX:0.022 AY:0.078 AZ:-0.957 | GX:0.015 GY:-0.366 GZ:1.664 | T:24.81 C
I (652385) mpu6050 stream: AX:0.027 AY:0.069 AZ:-0.971 | GX:-0.489 GY:-0.443 GZ:1.282 | T:25.00 C
I (652395) mpu6050 stream: AX:0.018 AY:0.072 AZ:-0.961 | GX:-0.672 GY:-0.427 GZ:1.023 | T:25.00 C
I (652405) mpu6050 stream: AX:0.021 AY:0.079 AZ:-0.961 | GX:-0.443 GY:-0.443 GZ:0.687 | T:25.00 C
I (652415) mpu6050 stream: AX:0.020 AY:0.077 AZ:-0.959 | GX:0.000 GY:-0.122 GZ:0.519 | T:25.00 C
I (652425) mpu6050 stream: AX:0.022 AY:0.078 AZ:-0.958 | GX:0.672 GY:0.168 GZ:0.260 | T:25.00 C
I (652435) mpu6050 stream: AX:0.023 AY:0.074 AZ:-0.961 | GX:1.176 GY:0.137 GZ:0.366 | T:24.91 C
I (652445) mpu6050 stream: AX:0.020 AY:0.081 AZ:-0.971 | GX:0.779 GY:0.534 GZ:0.534 | T:25.00 C
I (652455) mpu6050 stream: AX:0.018 AY:0.080 AZ:-0.979 | GX:0.473 GY:0.580 GZ:0.473 | T:25.00 C
I (652465) mpu6050 stream: AX:0.026 AY:0.082 AZ:-0.968 | GX:-0.321 GY:0.809 GZ:0.427 | T:24.91 C
I (652475) mpu6050 stream: AX:0.022 AY:0.083 AZ:-0.965 | GX:0.076 GY:0.473 GZ:0.443 | T:25.00 C
I (652485) mpu6050 stream: AX:0.028 AY:0.078 AZ:-0.963 | GX:0.031 GY:-0.153 GZ:1.008 | T:24.91 C
I (652495) mpu6050 stream: AX:0.023 AY:0.080 AZ:-0.943 | GX:0.611 GY:-0.046 GZ:1.282 | T:25.00 C
I (652505) mpu6050 stream: AX:0.017 AY:0.076 AZ:-0.970 | GX:1.038 GY:0.382 GZ:1.634 | T:25.00 C
I (652515) mpu6050 stream: AX:0.018 AY:0.075 AZ:-0.959 | GX:0.794 GY:0.687 GZ:1.832 | T:25.00 C
I (652525) mpu6050 stream: AX:0.025 AY:0.074 AZ:-0.962 | GX:0.443 GY:0.687 GZ:1.802 | T:24.91 C
I (652535) mpu6050 stream: AX:0.025 AY:0.073 AZ:-0.962 | GX:-0.122 GY:0.855 GZ:1.695 | T:24.91 C
I (652545) mpu6050 stream: AX:0.028 AY:0.073 AZ:-0.953 | GX:-0.840 GY:0.763 GZ:1.557 | T:24.91 C
I (652555) mpu6050 stream: AX:0.027 AY:0.073 AZ:-0.954 | GX:-0.397 GY:0.504 GZ:1.649 | T:25.00 C
I (652565) mpu6050 stream: AX:0.022 AY:0.074 AZ:-0.950 | GX:-0.260 GY:0.489 GZ:1.573 | T:25.00 C
I (652575) mpu6050 stream: AX:0.022 AY:0.081 AZ:-0.961 | GX:0.321 GY:0.305 GZ:1.695 | T:25.00 C
I (652585) mpu6050 stream: AX:0.026 AY:0.075 AZ:-0.962 | GX:0.992 GY:0.412 GZ:1.511 | T:25.00 C
